row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__study20__pair124,gt,090_Kocira_2020_Biochemical and economical effect of app,yield,bean,seaweed,foliar,0.7,pooled,single_cell,unresolved,absolute_control,0.322289156626506,0.248493975903614,Supplementary Data 2 row pair=124 study=20,0,"study=20; author='Kocira, Sławomir' 2020; crop='bean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.7; Frequency=1; ContinusStudy=1; CtrlFreshYield=0.248493975903614; TreatmentFreshYield=0.322289156626506; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study20__pair125,gt,090_Kocira_2020_Biochemical and economical effect of app,yield,bean,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,0.32379518072289104,0.248493975903614,Supplementary Data 2 row pair=125 study=20,0,"study=20; author='Kocira, Sławomir' 2020; crop='bean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=1; ContinusStudy=1; CtrlFreshYield=0.248493975903614; TreatmentFreshYield=0.32379518072289104; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study20__pair126,gt,090_Kocira_2020_Biochemical and economical effect of app,yield,bean,seaweed,foliar,0.7,pooled,single_cell,unresolved,absolute_control,0.329819277108433,0.248493975903614,Supplementary Data 2 row pair=126 study=20,0,"study=20; author='Kocira, Sławomir' 2020; crop='bean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.7; Frequency=2; ContinusStudy=1; CtrlFreshYield=0.248493975903614; TreatmentFreshYield=0.329819277108433; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study20__pair127,gt,090_Kocira_2020_Biochemical and economical effect of app,yield,bean,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,0.338855421686747,0.248493975903614,Supplementary Data 2 row pair=127 study=20,0,"study=20; author='Kocira, Sławomir' 2020; crop='bean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=2; ContinusStudy=1; CtrlFreshYield=0.248493975903614; TreatmentFreshYield=0.338855421686747; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study20__pair128,gt,090_Kocira_2020_Biochemical and economical effect of app,yield,bean,protein_hydrolysate,foliar,0.7,pooled,single_cell,unresolved,absolute_control,0.359939759036144,0.278614457831325,Supplementary Data 2 row pair=128 study=20,0,"study=20; author='Kocira, Sławomir' 2020; crop='bean'; PBsCategory='PHs'->protein_hydrolysate; method='Foliar'->foliar; dose=0.7; Frequency=1; ContinusStudy=1; CtrlFreshYield=0.278614457831325; TreatmentFreshYield=0.359939759036144; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study20__pair129,gt,090_Kocira_2020_Biochemical and economical effect of app,yield,bean,protein_hydrolysate,foliar,1,pooled,single_cell,unresolved,absolute_control,0.31927710843373397,0.278614457831325,Supplementary Data 2 row pair=129 study=20,0,"study=20; author='Kocira, Sławomir' 2020; crop='bean'; PBsCategory='PHs'->protein_hydrolysate; method='Foliar'->foliar; dose=1; Frequency=1; ContinusStudy=1; CtrlFreshYield=0.278614457831325; TreatmentFreshYield=0.31927710843373397; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study20__pair130,gt,090_Kocira_2020_Biochemical and economical effect of app,yield,bean,protein_hydrolysate,foliar,0.7,pooled,single_cell,unresolved,absolute_control,0.332831325301204,0.278614457831325,Supplementary Data 2 row pair=130 study=20,0,"study=20; author='Kocira, Sławomir' 2020; crop='bean'; PBsCategory='PHs'->protein_hydrolysate; method='Foliar'->foliar; dose=0.7; Frequency=2; ContinusStudy=1; CtrlFreshYield=0.278614457831325; TreatmentFreshYield=0.332831325301204; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study20__pair131,gt,090_Kocira_2020_Biochemical and economical effect of app,yield,bean,protein_hydrolysate,foliar,1,pooled,single_cell,unresolved,absolute_control,0.371987951807228,0.278614457831325,Supplementary Data 2 row pair=131 study=20,0,"study=20; author='Kocira, Sławomir' 2020; crop='bean'; PBsCategory='PHs'->protein_hydrolysate; method='Foliar'->foliar; dose=1; Frequency=2; ContinusStudy=1; CtrlFreshYield=0.278614457831325; TreatmentFreshYield=0.371987951807228; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study20__pair132,gt,090_Kocira_2020_Biochemical and economical effect of app,yield,bean,seaweed,foliar,0.7,pooled,single_cell,unresolved,absolute_control,0.394578313253012,0.317771084337349,Supplementary Data 2 row pair=132 study=20,0,"study=20; author='Kocira, Sławomir' 2020; crop='bean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.7; Frequency=1; ContinusStudy=2; CtrlFreshYield=0.317771084337349; TreatmentFreshYield=0.394578313253012; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study20__pair133,gt,090_Kocira_2020_Biochemical and economical effect of app,yield,bean,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,0.335843373493975,0.317771084337349,Supplementary Data 2 row pair=133 study=20,0,"study=20; author='Kocira, Sławomir' 2020; crop='bean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=1; ContinusStudy=2; CtrlFreshYield=0.317771084337349; TreatmentFreshYield=0.335843373493975; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
