row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__study75__pair444,gt,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,soybean,seaweed,foliar,0.7,pooled,single_cell,unresolved,absolute_control,0.3073,0.2812,Supplementary Data 2 row pair=444 study=75,0,"study=75; author='Kocira S' 2018; crop='soybean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.7; Frequency=1; ContinusStudy=1; CtrlFreshYield=0.2812; TreatmentFreshYield=0.3073; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study75__pair445,gt,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,soybean,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,0.3078,0.2812,Supplementary Data 2 row pair=445 study=75,0,"study=75; author='Kocira S' 2018; crop='soybean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=1; ContinusStudy=1; CtrlFreshYield=0.2812; TreatmentFreshYield=0.3078; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study75__pair446,gt,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,soybean,seaweed,foliar,0.7,pooled,single_cell,unresolved,absolute_control,0.3151,0.2812,Supplementary Data 2 row pair=446 study=75,0,"study=75; author='Kocira S' 2018; crop='soybean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.7; Frequency=2; ContinusStudy=1; CtrlFreshYield=0.2812; TreatmentFreshYield=0.3151; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study75__pair447,gt,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,soybean,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,0.3368,0.2812,Supplementary Data 2 row pair=447 study=75,0,"study=75; author='Kocira S' 2018; crop='soybean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=2; ContinusStudy=1; CtrlFreshYield=0.2812; TreatmentFreshYield=0.3368; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study75__pair448,gt,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,soybean,seaweed,foliar,0.7,pooled,single_cell,unresolved,absolute_control,0.3324,0.2859,Supplementary Data 2 row pair=448 study=75,0,"study=75; author='Kocira S' 2018; crop='soybean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.7; Frequency=1; ContinusStudy=2; CtrlFreshYield=0.2859; TreatmentFreshYield=0.3324; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study75__pair449,gt,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,soybean,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,0.3234,0.2859,Supplementary Data 2 row pair=449 study=75,0,"study=75; author='Kocira S' 2018; crop='soybean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=1; ContinusStudy=2; CtrlFreshYield=0.2859; TreatmentFreshYield=0.3234; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study75__pair450,gt,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,soybean,seaweed,foliar,0.7,pooled,single_cell,unresolved,absolute_control,0.3152,0.2859,Supplementary Data 2 row pair=450 study=75,0,"study=75; author='Kocira S' 2018; crop='soybean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.7; Frequency=2; ContinusStudy=2; CtrlFreshYield=0.2859; TreatmentFreshYield=0.3152; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study75__pair451,gt,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,soybean,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,0.3446,0.2859,Supplementary Data 2 row pair=451 study=75,0,"study=75; author='Kocira S' 2018; crop='soybean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=2; ContinusStudy=2; CtrlFreshYield=0.2859; TreatmentFreshYield=0.3446; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study75__pair452,gt,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,soybean,seaweed,foliar,0.7,pooled,single_cell,unresolved,absolute_control,0.3963,0.2969,Supplementary Data 2 row pair=452 study=75,0,"study=75; author='Kocira S' 2018; crop='soybean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.7; Frequency=1; ContinusStudy=3; CtrlFreshYield=0.2969; TreatmentFreshYield=0.3963; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study75__pair453,gt,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,soybean,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,0.3277,0.2969,Supplementary Data 2 row pair=453 study=75,0,"study=75; author='Kocira S' 2018; crop='soybean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=1; ContinusStudy=3; CtrlFreshYield=0.2969; TreatmentFreshYield=0.3277; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
