row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__study5__pair17,gt,120_Pohl_2019_The Eggplant Yield and Fruit Composition,yield,eggplant,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,4.18,4.59,Supplementary Data 2 row pair=17 study=5,0,"study=5; author='Pohl A' 2019; crop='eggplant'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=3; ContinusStudy=1; CtrlFreshYield=4.59; TreatmentFreshYield=4.18; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study5__pair18,gt,120_Pohl_2019_The Eggplant Yield and Fruit Composition,yield,eggplant,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,3.93,3.61,Supplementary Data 2 row pair=18 study=5,0,"study=5; author='Pohl A' 2019; crop='eggplant'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=3; ContinusStudy=1; CtrlFreshYield=3.61; TreatmentFreshYield=3.93; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study5__pair19,gt,120_Pohl_2019_The Eggplant Yield and Fruit Composition,yield,eggplant,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,3.26,2.54,Supplementary Data 2 row pair=19 study=5,0,"study=5; author='Pohl A' 2019; crop='eggplant'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=3; ContinusStudy=1; CtrlFreshYield=2.54; TreatmentFreshYield=3.26; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study5__pair20,gt,120_Pohl_2019_The Eggplant Yield and Fruit Composition,yield,eggplant,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,3.38,2.54,Supplementary Data 2 row pair=20 study=5,0,"study=5; author='Pohl A' 2019; crop='eggplant'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=3; ContinusStudy=1; CtrlFreshYield=2.54; TreatmentFreshYield=3.38; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study5__pair21,gt,120_Pohl_2019_The Eggplant Yield and Fruit Composition,yield,eggplant,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,4.04,3.67,Supplementary Data 2 row pair=21 study=5,0,"study=5; author='Pohl A' 2019; crop='eggplant'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=3; ContinusStudy=1; CtrlFreshYield=3.67; TreatmentFreshYield=4.04; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study5__pair22,gt,120_Pohl_2019_The Eggplant Yield and Fruit Composition,yield,eggplant,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,3.81,3.11,Supplementary Data 2 row pair=22 study=5,0,"study=5; author='Pohl A' 2019; crop='eggplant'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=3; ContinusStudy=1; CtrlFreshYield=3.11; TreatmentFreshYield=3.81; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study5__pair23,gt,120_Pohl_2019_The Eggplant Yield and Fruit Composition,yield,eggplant,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,3.2,3.14,Supplementary Data 2 row pair=23 study=5,0,"study=5; author='Pohl A' 2019; crop='eggplant'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=3; ContinusStudy=2; CtrlFreshYield=3.14; TreatmentFreshYield=3.2; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study5__pair24,gt,120_Pohl_2019_The Eggplant Yield and Fruit Composition,yield,eggplant,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,3.72,2.68,Supplementary Data 2 row pair=24 study=5,0,"study=5; author='Pohl A' 2019; crop='eggplant'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=3; ContinusStudy=2; CtrlFreshYield=2.68; TreatmentFreshYield=3.72; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study5__pair25,gt,120_Pohl_2019_The Eggplant Yield and Fruit Composition,yield,eggplant,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,2.51,1.6,Supplementary Data 2 row pair=25 study=5,0,"study=5; author='Pohl A' 2019; crop='eggplant'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=3; ContinusStudy=2; CtrlFreshYield=1.6; TreatmentFreshYield=2.51; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study5__pair26,gt,120_Pohl_2019_The Eggplant Yield and Fruit Composition,yield,eggplant,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,2.29,1.84,Supplementary Data 2 row pair=26 study=5,0,"study=5; author='Pohl A' 2019; crop='eggplant'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=3; ContinusStudy=2; CtrlFreshYield=1.84; TreatmentFreshYield=2.29; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
