row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__study33__pair216,gt,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,humic,foliar,0.6,pooled,single_cell,unresolved,absolute_control,0.923552,0.8610559999999999,Supplementary Data 2 row pair=216 study=33,0,"study=33; author='Popescu G C' 2018; crop='grape'; PBsCategory='HFA'->humic; method='Foliar'->foliar; dose=0.6; Frequency=2; ContinusStudy=1; CtrlFreshYield=0.8610559999999999; TreatmentFreshYield=0.923552; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study33__pair217,gt,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,humic,foliar,0.8,pooled,single_cell,unresolved,absolute_control,1.11104,0.8610559999999999,Supplementary Data 2 row pair=217 study=33,0,"study=33; author='Popescu G C' 2018; crop='grape'; PBsCategory='HFA'->humic; method='Foliar'->foliar; dose=0.8; Frequency=2; ContinusStudy=1; CtrlFreshYield=0.8610559999999999; TreatmentFreshYield=1.11104; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study33__pair218,gt,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,humic,foliar,1,pooled,single_cell,unresolved,absolute_control,1.1249280000000002,0.8610559999999999,Supplementary Data 2 row pair=218 study=33,0,"study=33; author='Popescu G C' 2018; crop='grape'; PBsCategory='HFA'->humic; method='Foliar'->foliar; dose=1; Frequency=2; ContinusStudy=1; CtrlFreshYield=0.8610559999999999; TreatmentFreshYield=1.1249280000000002; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study33__pair219,gt,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,humic,foliar,0.6,pooled,single_cell,unresolved,absolute_control,0.784672,0.743008,Supplementary Data 2 row pair=219 study=33,0,"study=33; author='Popescu G C' 2018; crop='grape'; PBsCategory='HFA'->humic; method='Foliar'->foliar; dose=0.6; Frequency=2; ContinusStudy=1; CtrlFreshYield=0.743008; TreatmentFreshYield=0.784672; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study33__pair220,gt,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,humic,foliar,0.8,pooled,single_cell,unresolved,absolute_control,0.97216,0.743008,Supplementary Data 2 row pair=220 study=33,0,"study=33; author='Popescu G C' 2018; crop='grape'; PBsCategory='HFA'->humic; method='Foliar'->foliar; dose=0.8; Frequency=2; ContinusStudy=1; CtrlFreshYield=0.743008; TreatmentFreshYield=0.97216; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study33__pair221,gt,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,humic,foliar,1,pooled,single_cell,unresolved,absolute_control,1.013824,0.743008,Supplementary Data 2 row pair=221 study=33,0,"study=33; author='Popescu G C' 2018; crop='grape'; PBsCategory='HFA'->humic; method='Foliar'->foliar; dose=1; Frequency=2; ContinusStudy=1; CtrlFreshYield=0.743008; TreatmentFreshYield=1.013824; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study33__pair222,gt,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,humic,foliar,0.6,pooled,single_cell,unresolved,absolute_control,0.9374399999999999,0.8714719999999999,Supplementary Data 2 row pair=222 study=33,0,"study=33; author='Popescu G C' 2018; crop='grape'; PBsCategory='HFA'->humic; method='Foliar'->foliar; dose=0.6; Frequency=2; ContinusStudy=2; CtrlFreshYield=0.8714719999999999; TreatmentFreshYield=0.9374399999999999; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study33__pair223,gt,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,humic,foliar,0.8,pooled,single_cell,unresolved,absolute_control,1.09368,0.8714719999999999,Supplementary Data 2 row pair=223 study=33,0,"study=33; author='Popescu G C' 2018; crop='grape'; PBsCategory='HFA'->humic; method='Foliar'->foliar; dose=0.8; Frequency=2; ContinusStudy=2; CtrlFreshYield=0.8714719999999999; TreatmentFreshYield=1.09368; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study33__pair224,gt,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,humic,foliar,1,pooled,single_cell,unresolved,absolute_control,1.149232,0.8714719999999999,Supplementary Data 2 row pair=224 study=33,0,"study=33; author='Popescu G C' 2018; crop='grape'; PBsCategory='HFA'->humic; method='Foliar'->foliar; dose=1; Frequency=2; ContinusStudy=2; CtrlFreshYield=0.8714719999999999; TreatmentFreshYield=1.149232; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study33__pair225,gt,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,humic,foliar,0.6,pooled,single_cell,unresolved,absolute_control,0.819392,0.76384,Supplementary Data 2 row pair=225 study=33,0,"study=33; author='Popescu G C' 2018; crop='grape'; PBsCategory='HFA'->humic; method='Foliar'->foliar; dose=0.6; Frequency=2; ContinusStudy=2; CtrlFreshYield=0.76384; TreatmentFreshYield=0.819392; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study33__pair226,gt,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,humic,foliar,0.8,pooled,single_cell,unresolved,absolute_control,0.9409120000000001,0.76384,Supplementary Data 2 row pair=226 study=33,0,"study=33; author='Popescu G C' 2018; crop='grape'; PBsCategory='HFA'->humic; method='Foliar'->foliar; dose=0.8; Frequency=2; ContinusStudy=2; CtrlFreshYield=0.76384; TreatmentFreshYield=0.9409120000000001; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study33__pair227,gt,"121_Popescu_2018_Yield, berry quality and physiological r",yield,grape,humic,foliar,1,pooled,single_cell,unresolved,absolute_control,1.00688,0.76384,Supplementary Data 2 row pair=227 study=33,0,"study=33; author='Popescu G C' 2018; crop='grape'; PBsCategory='HFA'->humic; method='Foliar'->foliar; dose=1; Frequency=2; ContinusStudy=2; CtrlFreshYield=0.76384; TreatmentFreshYield=1.00688; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
