row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__0,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,other,none,0.1%,pooled,single_cell,t/ha,absolute_control,40.514,40.041,Table 4,0,"element='potato yield'; treatment_description='0.1% Asahi SL biostimulator'; moderators={""cultivar"": ""Irga"", ""year"": ""2013"", ""treatment_type"": ""biostimulator""}; declared_unit='kg/ha'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__1,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,seaweed,none,1%,pooled,single_cell,t/ha,absolute_control,44.486,40.041,Table 4,0,"element='potato yield'; treatment_description='1.0% Bio-Algeen S-90 seaweed extract'; moderators={""cultivar"": ""Irga"", ""year"": ""2013"", ""treatment_type"": ""seaweed extract""}; declared_unit='kg/ha'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__2,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,seaweed,none,0.2%,pooled,single_cell,t/ha,absolute_control,52.467,40.041,Table 4,0,"element='potato yield'; treatment_description='0.2% Kelpak SL brown algae extract'; moderators={""cultivar"": ""Irga"", ""year"": ""2013"", ""treatment_type"": ""seaweed extract""}; declared_unit='kg/ha'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__3,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,other,none,0.1%,pooled,single_cell,t/ha,absolute_control,42.737,38.436,Table 4,0,"element='potato yield'; treatment_description='0.1% Asahi SL biostimulator'; moderators={""cultivar"": ""Satina"", ""year"": ""2013"", ""treatment_type"": ""biostimulator""}; declared_unit='kg/ha'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__4,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,seaweed,none,1%,pooled,single_cell,t/ha,absolute_control,44.115,38.436,Table 4,0,"element='potato yield'; treatment_description='1.0% Bio-Algeen S-90 seaweed extract'; moderators={""cultivar"": ""Satina"", ""year"": ""2013"", ""treatment_type"": ""seaweed extract""}; declared_unit='kg/ha'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__5,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,seaweed,none,0.2%,pooled,single_cell,t/ha,absolute_control,42.768,38.436,Table 4,0,"element='potato yield'; treatment_description='0.2% Kelpak SL brown algae extract'; moderators={""cultivar"": ""Satina"", ""year"": ""2013"", ""treatment_type"": ""seaweed extract""}; declared_unit='kg/ha'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__6,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,other,none,0.1%,pooled,single_cell,t/ha,absolute_control,16.849,19.053,Table 4,0,"element='potato yield'; treatment_description='0.1% Asahi SL biostimulator'; moderators={""cultivar"": ""Valfi"", ""year"": ""2013"", ""treatment_type"": ""biostimulator""}; declared_unit='kg/ha'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__7,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,seaweed,none,1%,pooled,single_cell,t/ha,absolute_control,20.165,19.053,Table 4,0,"element='potato yield'; treatment_description='1.0% Bio-Algeen S-90 seaweed extract'; moderators={""cultivar"": ""Valfi"", ""year"": ""2013"", ""treatment_type"": ""seaweed extract""}; declared_unit='kg/ha'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__8,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,seaweed,none,0.2%,pooled,single_cell,t/ha,absolute_control,19.012,19.053,Table 4,0,"element='potato yield'; treatment_description='0.2% Kelpak SL brown algae extract'; moderators={""cultivar"": ""Valfi"", ""year"": ""2013"", ""treatment_type"": ""seaweed extract""}; declared_unit='kg/ha'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__9,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,other,none,0.1%,pooled,single_cell,t/ha,absolute_control,8.954,8.561,Table 4,0,"element='potato yield'; treatment_description='0.1% Asahi SL biostimulator'; moderators={""cultivar"": ""Blaue St. Galler"", ""year"": ""2013"", ""treatment_type"": ""biostimulator""}; declared_unit='kg/ha'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__10,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,seaweed,none,1%,pooled,single_cell,t/ha,absolute_control,9.965,8.561,Table 4,0,"element='potato yield'; treatment_description='1.0% Bio-Algeen S-90 seaweed extract'; moderators={""cultivar"": ""Blaue St. Galler"", ""year"": ""2013"", ""treatment_type"": ""seaweed extract""}; declared_unit='kg/ha'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__11,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,seaweed,none,0.2%,pooled,single_cell,t/ha,absolute_control,10.83,8.561,Table 4,0,"element='potato yield'; treatment_description='0.2% Kelpak SL brown algae extract'; moderators={""cultivar"": ""Blaue St. Galler"", ""year"": ""2013"", ""treatment_type"": ""seaweed extract""}; declared_unit='kg/ha'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__12,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,other,none,0.1%,pooled,single_cell,t/ha,absolute_control,22.643,19.099,Table 4,0,"element='potato yield'; treatment_description='0.1% Asahi SL biostimulator'; moderators={""cultivar"": ""Highland Burgundy Red"", ""year"": ""2013"", ""treatment_type"": ""biostimulator""}; declared_unit='kg/ha'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__13,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,seaweed,none,1%,pooled,single_cell,t/ha,absolute_control,28.616,19.099,Table 4,0,"element='potato yield'; treatment_description='1.0% Bio-Algeen S-90 seaweed extract'; moderators={""cultivar"": ""Highland Burgundy Red"", ""year"": ""2013"", ""treatment_type"": ""seaweed extract""}; declared_unit='kg/ha'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__14,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,seaweed,none,0.2%,pooled,single_cell,t/ha,absolute_control,21.613,19.099,Table 4,0,"element='potato yield'; treatment_description='0.2% Kelpak SL brown algae extract'; moderators={""cultivar"": ""Highland Burgundy Red"", ""year"": ""2013"", ""treatment_type"": ""seaweed extract""}; declared_unit='kg/ha'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__15,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,other,none,0.1%,pooled,single_cell,t/ha,absolute_control,23.691,20.21,Table 4,0,"element='potato yield'; treatment_description='0.1% Asahi SL biostimulator'; moderators={""cultivar"": ""Irga"", ""year"": ""2014"", ""treatment_type"": ""biostimulator""}; declared_unit='kg/ha'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__16,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,seaweed,none,1%,pooled,single_cell,t/ha,absolute_control,25.296,20.21,Table 4,0,"element='potato yield'; treatment_description='1.0% Bio-Algeen S-90 seaweed extract'; moderators={""cultivar"": ""Irga"", ""year"": ""2014"", ""treatment_type"": ""seaweed extract""}; declared_unit='kg/ha'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__17,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,seaweed,none,0.2%,pooled,single_cell,t/ha,absolute_control,26.333,20.21,Table 4,0,"element='potato yield'; treatment_description='0.2% Kelpak SL brown algae extract'; moderators={""cultivar"": ""Irga"", ""year"": ""2014"", ""treatment_type"": ""seaweed extract""}; declared_unit='kg/ha'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__18,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,other,none,0.1%,pooled,single_cell,t/ha,absolute_control,21.376,20.963,Table 4,0,"element='potato yield'; treatment_description='0.1% Asahi SL biostimulator'; moderators={""cultivar"": ""Satina"", ""year"": ""2014"", ""treatment_type"": ""biostimulator""}; declared_unit='kg/ha'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__19,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,seaweed,none,1%,pooled,single_cell,t/ha,absolute_control,22.63,20.963,Table 4,0,"element='potato yield'; treatment_description='1.0% Bio-Algeen S-90 seaweed extract'; moderators={""cultivar"": ""Satina"", ""year"": ""2014"", ""treatment_type"": ""seaweed extract""}; declared_unit='kg/ha'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi__ai__20,ai,062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,yield,potato,seaweed,none,0.2%,pooled,single_cell,t/ha,absolute_control,23.358,20.963,Table 4,0,"element='potato yield'; treatment_description='0.2% Kelpak SL brown algae extract'; moderators={""cultivar"": ""Satina"", ""year"": ""2014"", ""treatment_type"": ""seaweed extract""}; declared_unit='kg/ha'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
