row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
"091_Kocira_2018_Modeling biometric traits, yield and nut__ai__12",ai,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,,seaweed,foliar,1%,pooled,single_cell,t/ha,absolute_control,3.153,2.88,Table 5,0,"element='Seed yield (t ha⁻¹)'; treatment_description='Single spraying 1.0% Fylloton'; moderators={""cultivar"": ""Annushka"", ""biostimulant_type"": ""seaweed extract + amino acids"", ""application_timing"": ""single"", ""concentration"": ""1.0%""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
"091_Kocira_2018_Modeling biometric traits, yield and nut__ai__13",ai,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,,seaweed,foliar,0.7%,pooled,single_cell,t/ha,absolute_control,3.453,2.88,Table 5,0,"element='Seed yield (t ha⁻¹)'; treatment_description='Single spraying 0.7% Fylloton'; moderators={""cultivar"": ""Annushka"", ""biostimulant_type"": ""seaweed extract + amino acids"", ""application_timing"": ""single"", ""concentration"": ""0.7%""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
"091_Kocira_2018_Modeling biometric traits, yield and nut__ai__14",ai,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,,seaweed,foliar,1%,pooled,single_cell,t/ha,absolute_control,3.407,2.88,Table 5,0,"element='Seed yield (t ha⁻¹)'; treatment_description='Double spraying 1.0% Fylloton'; moderators={""cultivar"": ""Annushka"", ""biostimulant_type"": ""seaweed extract + amino acids"", ""application_timing"": ""double"", ""concentration"": ""1.0%""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='double'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
"091_Kocira_2018_Modeling biometric traits, yield and nut__ai__15",ai,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,,seaweed,foliar,0.7%,pooled,single_cell,t/ha,absolute_control,3.196,2.88,Table 5,0,"element='Seed yield (t ha⁻¹)'; treatment_description='Double spraying 0.7% Fylloton'; moderators={""cultivar"": ""Annushka"", ""biostimulant_type"": ""seaweed extract + amino acids"", ""application_timing"": ""double"", ""concentration"": ""0.7%""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='double'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
"091_Kocira_2018_Modeling biometric traits, yield and nut__ai__16",ai,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,,seaweed,foliar,1%,pooled,single_cell,t/ha,absolute_control,3.925,3.391,Table 5,0,"element='Seed yield (t ha⁻¹)'; treatment_description='Single spraying 1.0% Fylloton'; moderators={""cultivar"": ""Mavka"", ""biostimulant_type"": ""seaweed extract + amino acids"", ""application_timing"": ""single"", ""concentration"": ""1.0%""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
"091_Kocira_2018_Modeling biometric traits, yield and nut__ai__17",ai,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,,seaweed,foliar,0.7%,pooled,single_cell,t/ha,absolute_control,3.798,3.391,Table 5,0,"element='Seed yield (t ha⁻¹)'; treatment_description='Single spraying 0.7% Fylloton'; moderators={""cultivar"": ""Mavka"", ""biostimulant_type"": ""seaweed extract + amino acids"", ""application_timing"": ""single"", ""concentration"": ""0.7%""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
"091_Kocira_2018_Modeling biometric traits, yield and nut__ai__18",ai,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,,seaweed,foliar,1%,pooled,single_cell,t/ha,absolute_control,4.185,3.391,Table 5,0,"element='Seed yield (t ha⁻¹)'; treatment_description='Double spraying 1.0% Fylloton'; moderators={""cultivar"": ""Mavka"", ""biostimulant_type"": ""seaweed extract + amino acids"", ""application_timing"": ""double"", ""concentration"": ""1.0%""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='double'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
"091_Kocira_2018_Modeling biometric traits, yield and nut__ai__19",ai,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,,seaweed,foliar,0.7%,pooled,single_cell,t/ha,absolute_control,3.73,3.391,Table 5,0,"element='Seed yield (t ha⁻¹)'; treatment_description='Double spraying 0.7% Fylloton'; moderators={""cultivar"": ""Mavka"", ""biostimulant_type"": ""seaweed extract + amino acids"", ""application_timing"": ""double"", ""concentration"": ""0.7%""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='double'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
"091_Kocira_2018_Modeling biometric traits, yield and nut__ai__20",ai,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,,seaweed,foliar,1%,pooled,single_cell,t/ha,absolute_control,4.065,3.41,Table 5,0,"element='Seed yield (t ha⁻¹)'; treatment_description='Single spraying 1.0% Fylloton'; moderators={""cultivar"": ""Atlanta"", ""biostimulant_type"": ""seaweed extract + amino acids"", ""application_timing"": ""single"", ""concentration"": ""1.0%""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
"091_Kocira_2018_Modeling biometric traits, yield and nut__ai__21",ai,"091_Kocira_2018_Modeling biometric traits, yield and nut",yield,,seaweed,foliar,0.7%,pooled,single_cell,t/ha,absolute_control,3.867,3.41,Table 5,0,"element='Seed yield (t ha⁻¹)'; treatment_description='Single spraying 0.7% Fylloton'; moderators={""cultivar"": ""Atlanta"", ""biostimulant_type"": ""seaweed extract + amino acids"", ""application_timing"": ""single"", ""concentration"": ""0.7%""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token='single'; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
