row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
094_Kowalska_2021_Effect of Different Forms of Silicon on__ai__0,ai,094_Kowalska_2021_Effect of Different Forms of Silicon on,yield,,silicon,soil,10kg/ha,pooled,single_cell,t/ha,absolute_control,4.75,3.88,Table 7,0,"element='Yield [t per ha]'; treatment_description='AdeSil (diatomaceous earth) 10 kg/ha, soil application'; moderators={""cultivar"": ""Arabella"", ""year"": ""2017-2018"", ""silicon_form"": ""AdeSil"", ""application_method"": ""soil"", ""silicon_product"": ""AdeSil"", ""years"": ""2017-2018""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
094_Kowalska_2021_Effect of Different Forms of Silicon on__ai__1,ai,094_Kowalska_2021_Effect of Different Forms of Silicon on,yield,,silicon,foliar,10kg/ha,pooled,single_cell,t/ha,absolute_control,5.35,3.88,Table 7,0,"element='Yield [t per ha]'; treatment_description='AdeSil (diatomaceous earth) 10 kg/ha, soil plus foliar application'; moderators={""cultivar"": ""Arabella"", ""year"": ""2017-2018"", ""silicon_form"": ""AdeSil"", ""application_method"": ""combined"", ""silicon_product"": ""AdeSil"", ""years"": ""2017-2018""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
094_Kowalska_2021_Effect of Different Forms of Silicon on__ai__2,ai,094_Kowalska_2021_Effect of Different Forms of Silicon on,yield,,silicon,foliar,10kg/ha,pooled,single_cell,t/ha,absolute_control,4.25,3.88,Table 7,0,"element='Yield [t per ha]'; treatment_description='AdeSil (diatomaceous earth) 10 kg/ha, foliar application'; moderators={""cultivar"": ""Arabella"", ""year"": ""2017-2018"", ""silicon_form"": ""AdeSil"", ""application_method"": ""foliar"", ""silicon_product"": ""AdeSil"", ""years"": ""2017-2018""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
094_Kowalska_2021_Effect of Different Forms of Silicon on__ai__3,ai,094_Kowalska_2021_Effect of Different Forms of Silicon on,yield,,silicon,soil,0.3l/ha,pooled,single_cell,t/ha,absolute_control,4.49,3.88,Table 7,0,"element='Yield [t per ha]'; treatment_description='ZumSil (monosilicic acid) 0.3 l/ha, soil application'; moderators={""cultivar"": ""Arabella"", ""year"": ""2017-2018"", ""silicon_form"": ""ZumSil"", ""application_method"": ""soil"", ""silicon_product"": ""ZumSil"", ""years"": ""2017-2018""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
094_Kowalska_2021_Effect of Different Forms of Silicon on__ai__4,ai,094_Kowalska_2021_Effect of Different Forms of Silicon on,yield,,silicon,foliar,0.3l/ha,pooled,single_cell,t/ha,absolute_control,4.97,3.88,Table 7,0,"element='Yield [t per ha]'; treatment_description='ZumSil (monosilicic acid) 0.3 l/ha, soil plus foliar application'; moderators={""cultivar"": ""Arabella"", ""year"": ""2017-2018"", ""silicon_form"": ""ZumSil"", ""application_method"": ""combined"", ""silicon_product"": ""ZumSil"", ""years"": ""2017-2018""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
094_Kowalska_2021_Effect of Different Forms of Silicon on__ai__5,ai,094_Kowalska_2021_Effect of Different Forms of Silicon on,yield,,silicon,foliar,0.3l/ha,pooled,single_cell,t/ha,absolute_control,4.84,3.88,Table 7,0,"element='Yield [t per ha]'; treatment_description='ZumSil (monosilicic acid) 0.3 l/ha, foliar application'; moderators={""cultivar"": ""Arabella"", ""year"": ""2017-2018"", ""silicon_form"": ""ZumSil"", ""application_method"": ""foliar"", ""silicon_product"": ""ZumSil"", ""years"": ""2017-2018""}; declared_unit='t/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
094_Kowalska_2021_Effect of Different Forms of Silicon on__ai__6,ai,094_Kowalska_2021_Effect of Different Forms of Silicon on,yield,,silicon,soil,10kg/ha,pooled,single_cell,kg,absolute_control,9.46,7.72,Table 7,0,"element='Weight of grain per plot/16 m² [kg]'; treatment_description='AdeSil (diatomaceous earth) 10 kg/ha, soil application'; moderators={""cultivar"": ""Arabella"", ""year"": ""2017-2018"", ""silicon_form"": ""AdeSil"", ""application_method"": ""soil"", ""silicon_product"": ""AdeSil"", ""years"": ""2017-2018""}; declared_unit='kg'; crop_basis=undeterminable; freq_token=''; conv_factor=None; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
094_Kowalska_2021_Effect of Different Forms of Silicon on__ai__7,ai,094_Kowalska_2021_Effect of Different Forms of Silicon on,yield,,silicon,foliar,10kg/ha,pooled,single_cell,kg,absolute_control,10.64,7.72,Table 7,0,"element='Weight of grain per plot/16 m² [kg]'; treatment_description='AdeSil (diatomaceous earth) 10 kg/ha, soil plus foliar application'; moderators={""cultivar"": ""Arabella"", ""year"": ""2017-2018"", ""silicon_form"": ""AdeSil"", ""application_method"": ""combined"", ""silicon_product"": ""AdeSil"", ""years"": ""2017-2018""}; declared_unit='kg'; crop_basis=undeterminable; freq_token=''; conv_factor=None; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
094_Kowalska_2021_Effect of Different Forms of Silicon on__ai__8,ai,094_Kowalska_2021_Effect of Different Forms of Silicon on,yield,,silicon,foliar,10kg/ha,pooled,single_cell,kg,absolute_control,8.44,7.72,Table 7,0,"element='Weight of grain per plot/16 m² [kg]'; treatment_description='AdeSil (diatomaceous earth) 10 kg/ha, foliar application'; moderators={""cultivar"": ""Arabella"", ""year"": ""2017-2018"", ""silicon_form"": ""AdeSil"", ""application_method"": ""foliar"", ""silicon_product"": ""AdeSil"", ""years"": ""2017-2018""}; declared_unit='kg'; crop_basis=undeterminable; freq_token=''; conv_factor=None; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
094_Kowalska_2021_Effect of Different Forms of Silicon on__ai__9,ai,094_Kowalska_2021_Effect of Different Forms of Silicon on,yield,,silicon,soil,0.3l/ha,pooled,single_cell,kg,absolute_control,8.92,7.72,Table 7,0,"element='Weight of grain per plot/16 m² [kg]'; treatment_description='ZumSil (monosilicic acid) 0.3 l/ha, soil application'; moderators={""cultivar"": ""Arabella"", ""year"": ""2017-2018"", ""silicon_form"": ""ZumSil"", ""application_method"": ""soil"", ""silicon_product"": ""ZumSil"", ""years"": ""2017-2018""}; declared_unit='kg'; crop_basis=undeterminable; freq_token=''; conv_factor=None; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
