row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
126_Prokkola_2007_Effect of biological sprays on the incid__ai__0,ai,126_Prokkola_2007_Effect of biological sprays on the incid,yield,,microbial,foliar,0.1%,pooled,single_cell,g/plant,absolute_control,323.0,332.0,Table 1,0,"element='Total yield (g/plant)'; treatment_description='Trichoderma spp. spray (0.1% w/v)'; moderators={""cultivar"": ""Jonsok"", ""year"": ""2001"", ""site"": ""Ruukki and Mikkeli pooled"", ""experiment"": ""1""}; declared_unit='g/plant'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
126_Prokkola_2007_Effect of biological sprays on the incid__ai__1,ai,126_Prokkola_2007_Effect of biological sprays on the incid,yield,,microbial,foliar,0.1%,pooled,single_cell,g/plant,absolute_control,264.0,281.0,Table 1,0,"element='Marketable yield (g/plant)'; treatment_description='Trichoderma spp. spray (0.1% w/v)'; moderators={""cultivar"": ""Jonsok"", ""year"": ""2001"", ""site"": ""Ruukki and Mikkeli pooled"", ""experiment"": ""1""}; declared_unit='g/plant'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
126_Prokkola_2007_Effect of biological sprays on the incid__ai__2,ai,126_Prokkola_2007_Effect of biological sprays on the incid,yield,,plant_extract,foliar,1%,pooled,single_cell,g/plant,absolute_control,303.0,332.0,Table 1,0,"element='Total yield (g/plant)'; treatment_description='Compost extract spray (1% v/v)'; moderators={""cultivar"": ""Jonsok"", ""year"": ""2001"", ""site"": ""Ruukki and Mikkeli pooled"", ""experiment"": ""1""}; declared_unit='g/plant'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
126_Prokkola_2007_Effect of biological sprays on the incid__ai__3,ai,126_Prokkola_2007_Effect of biological sprays on the incid,yield,,plant_extract,foliar,1%,pooled,single_cell,g/plant,absolute_control,256.0,281.0,Table 1,0,"element='Marketable yield (g/plant)'; treatment_description='Compost extract spray (1% v/v)'; moderators={""cultivar"": ""Jonsok"", ""year"": ""2001"", ""site"": ""Ruukki and Mikkeli pooled"", ""experiment"": ""1""}; declared_unit='g/plant'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
126_Prokkola_2007_Effect of biological sprays on the incid__ai__4,ai,126_Prokkola_2007_Effect of biological sprays on the incid,yield,,seaweed,foliar,1%,pooled,single_cell,g/plant,absolute_control,337.0,332.0,Table 1,0,"element='Total yield (g/plant)'; treatment_description='Seaweed extract spray (1% v/v, Ascophyllum nodosum)'; moderators={""cultivar"": ""Jonsok"", ""year"": ""2001"", ""site"": ""Ruukki and Mikkeli pooled"", ""experiment"": ""1""}; declared_unit='g/plant'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
126_Prokkola_2007_Effect of biological sprays on the incid__ai__5,ai,126_Prokkola_2007_Effect of biological sprays on the incid,yield,,seaweed,foliar,1%,pooled,single_cell,g/plant,absolute_control,287.0,281.0,Table 1,0,"element='Marketable yield (g/plant)'; treatment_description='Seaweed extract spray (1% v/v, Ascophyllum nodosum)'; moderators={""cultivar"": ""Jonsok"", ""year"": ""2001"", ""site"": ""Ruukki and Mikkeli pooled"", ""experiment"": ""1""}; declared_unit='g/plant'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
126_Prokkola_2007_Effect of biological sprays on the incid__ai__6,ai,126_Prokkola_2007_Effect of biological sprays on the incid,yield,,silicon,foliar,0.4%,pooled,single_cell,g/plant,absolute_control,341.0,332.0,Table 1,0,"element='Total yield (g/plant)'; treatment_description='Silicon spray (0.4% v/v, Si 7.7%)'; moderators={""cultivar"": ""Jonsok"", ""year"": ""2001"", ""site"": ""Ruukki and Mikkeli pooled"", ""experiment"": ""1""}; declared_unit='g/plant'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
126_Prokkola_2007_Effect of biological sprays on the incid__ai__7,ai,126_Prokkola_2007_Effect of biological sprays on the incid,yield,,silicon,foliar,0.4%,pooled,single_cell,g/plant,absolute_control,291.0,281.0,Table 1,0,"element='Marketable yield (g/plant)'; treatment_description='Silicon spray (0.4% v/v, Si 7.7%)'; moderators={""cultivar"": ""Jonsok"", ""year"": ""2001"", ""site"": ""Ruukki and Mikkeli pooled"", ""experiment"": ""1""}; declared_unit='g/plant'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
126_Prokkola_2007_Effect of biological sprays on the incid__ai__8,ai,126_Prokkola_2007_Effect of biological sprays on the incid,yield,,microbial,foliar,0.1%,pooled,single_cell,g/plant,absolute_control,491.0,501.0,Table 1,0,"element='Total yield (g/plant)'; treatment_description='Trichoderma spp. spray (0.1% w/v)'; moderators={""cultivar"": ""Jonsok"", ""year"": ""2002"", ""site"": ""Ruukki and Mikkeli pooled"", ""experiment"": ""1""}; declared_unit='g/plant'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
126_Prokkola_2007_Effect of biological sprays on the incid__ai__9,ai,126_Prokkola_2007_Effect of biological sprays on the incid,yield,,microbial,foliar,0.1%,pooled,single_cell,g/plant,absolute_control,372.0,384.0,Table 1,0,"element='Marketable yield (g/plant)'; treatment_description='Trichoderma spp. spray (0.1% w/v)'; moderators={""cultivar"": ""Jonsok"", ""year"": ""2002"", ""site"": ""Ruukki and Mikkeli pooled"", ""experiment"": ""1""}; declared_unit='g/plant'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
