row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
604-615-14(3)2017BR-1503__ai__0,ai,604-615-14(3)2017BR-1503,yield,,protein_hydrolysate,foliar,0.96l/ha,pooled,single_cell,t/ha,absolute_control,13.24,9.64,Table 8,0,"element='Grain yield'; treatment_description='VIUSID agro 0.96 L/ha foliar spray (5 applications, 14-day interval)'; moderators={""cultivar"": ""SC-30k9"", ""year"": ""2015-2016 combined"", ""site"": ""Giza, Egypt"", ""biostimulant_type"": ""PHs"", ""biostimulant_category"": ""Amino acids/protein hydrolysate""}; declared_unit='ton/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
604-615-14(3)2017BR-1503__ai__1,ai,604-615-14(3)2017BR-1503,yield,,protein_hydrolysate,foliar,0.96l/ha,pooled,single_cell,t/ha,absolute_control,8.17,6.38,Table 8,0,"element='Grain yield'; treatment_description='VIUSID agro 0.96 L/ha foliar spray (5 applications, 14-day interval)'; moderators={""cultivar"": ""SC-110"", ""year"": ""2015-2016 combined"", ""site"": ""Giza, Egypt"", ""biostimulant_type"": ""PHs"", ""biostimulant_category"": ""Amino acids/protein hydrolysate""}; declared_unit='ton/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
604-615-14(3)2017BR-1503__ai__2,ai,604-615-14(3)2017BR-1503,yield,,protein_hydrolysate,foliar,0.96l/ha,pooled,single_cell,t/ha,absolute_control,7.37,4.06,Table 8,0,"element='Grain yield'; treatment_description='VIUSID agro 0.96 L/ha foliar spray (5 applications, 14-day interval)'; moderators={""cultivar"": ""SC-30k8"", ""year"": ""2015-2016 combined"", ""site"": ""Giza, Egypt"", ""biostimulant_type"": ""PHs"", ""biostimulant_category"": ""Amino acids/protein hydrolysate""}; declared_unit='ton/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
604-615-14(3)2017BR-1503__ai__3,ai,604-615-14(3)2017BR-1503,yield,,protein_hydrolysate,foliar,0.96l/ha,pooled,single_cell,t/ha,absolute_control,8.08,7.37,Table 8,0,"element='Grain yield'; treatment_description='VIUSID agro 0.96 L/ha foliar spray (5 applications, 14-day interval)'; moderators={""cultivar"": ""TWC-310"", ""year"": ""2015-2016 combined"", ""site"": ""Giza, Egypt"", ""biostimulant_type"": ""PHs"", ""biostimulant_category"": ""Amino acids/protein hydrolysate""}; declared_unit='ton/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
604-615-14(3)2017BR-1503__ai__4,ai,604-615-14(3)2017BR-1503,yield,,protein_hydrolysate,foliar,0.96l/ha,pooled,single_cell,t/ha,absolute_control,12.5,11.66,Table 8,0,"element='Grain yield'; treatment_description='VIUSID agro 0.96 L/ha foliar spray (5 applications, 14-day interval)'; moderators={""cultivar"": ""Cairo-1"", ""year"": ""2015-2016 combined"", ""site"": ""Giza, Egypt"", ""biostimulant_type"": ""PHs"", ""biostimulant_category"": ""Amino acids/protein hydrolysate""}; declared_unit='ton/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
604-615-14(3)2017BR-1503__ai__5,ai,604-615-14(3)2017BR-1503,yield,,protein_hydrolysate,foliar,1.44l/ha,pooled,single_cell,t/ha,absolute_control,9.4,9.64,Table 8,0,"element='Grain yield'; treatment_description='VIUSID agro 1.44 L/ha foliar spray (7 applications, 10-day interval)'; moderators={""cultivar"": ""SC-30k9"", ""year"": ""2015-2016 combined"", ""site"": ""Giza, Egypt"", ""biostimulant_type"": ""PHs"", ""biostimulant_category"": ""Amino acids/protein hydrolysate""}; declared_unit='ton/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
604-615-14(3)2017BR-1503__ai__6,ai,604-615-14(3)2017BR-1503,yield,,protein_hydrolysate,foliar,1.44l/ha,pooled,single_cell,t/ha,absolute_control,7.29,6.38,Table 8,0,"element='Grain yield'; treatment_description='VIUSID agro 1.44 L/ha foliar spray (7 applications, 10-day interval)'; moderators={""cultivar"": ""SC-110"", ""year"": ""2015-2016 combined"", ""site"": ""Giza, Egypt"", ""biostimulant_type"": ""PHs"", ""biostimulant_category"": ""Amino acids/protein hydrolysate""}; declared_unit='ton/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
604-615-14(3)2017BR-1503__ai__7,ai,604-615-14(3)2017BR-1503,yield,,protein_hydrolysate,foliar,1.44l/ha,pooled,single_cell,t/ha,absolute_control,3.5,4.06,Table 8,0,"element='Grain yield'; treatment_description='VIUSID agro 1.44 L/ha foliar spray (7 applications, 10-day interval)'; moderators={""cultivar"": ""SC-30k8"", ""year"": ""2015-2016 combined"", ""site"": ""Giza, Egypt"", ""biostimulant_type"": ""PHs"", ""biostimulant_category"": ""Amino acids/protein hydrolysate""}; declared_unit='ton/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
604-615-14(3)2017BR-1503__ai__8,ai,604-615-14(3)2017BR-1503,yield,,protein_hydrolysate,foliar,1.44l/ha,pooled,single_cell,t/ha,absolute_control,8.62,7.37,Table 8,0,"element='Grain yield'; treatment_description='VIUSID agro 1.44 L/ha foliar spray (7 applications, 10-day interval)'; moderators={""cultivar"": ""TWC-310"", ""year"": ""2015-2016 combined"", ""site"": ""Giza, Egypt"", ""biostimulant_type"": ""PHs"", ""biostimulant_category"": ""Amino acids/protein hydrolysate""}; declared_unit='ton/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
604-615-14(3)2017BR-1503__ai__9,ai,604-615-14(3)2017BR-1503,yield,,protein_hydrolysate,foliar,1.44l/ha,pooled,single_cell,t/ha,absolute_control,8.02,11.66,Table 8,0,"element='Grain yield'; treatment_description='VIUSID agro 1.44 L/ha foliar spray (7 applications, 10-day interval)'; moderators={""cultivar"": ""Cairo-1"", ""year"": ""2015-2016 combined"", ""site"": ""Giza, Egypt"", ""biostimulant_type"": ""PHs"", ""biostimulant_category"": ""Amino acids/protein hydrolysate""}; declared_unit='ton/ha'; crop_basis=undeterminable; freq_token=''; conv_factor=1.0; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
