row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
sustainability-11-02171__ai__0,ai,sustainability-11-02171,yield,cotton,plant_extract,foliar,0,pooled,single_cell,t/ha,absolute_control,3.09279,2.83094,Table 5,0,"element='seed cotton yield'; treatment_description='Foliar application of Moringa leaf extract (MLE) 30x diluted'; moderators={""cultivar"": ""CIM-573"", ""year"": ""2016""}; declared_unit='kg ha-1'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
sustainability-11-02171__ai__1,ai,sustainability-11-02171,yield,cotton,plant_extract,foliar,2%,pooled,single_cell,t/ha,absolute_control,3.20183,2.83094,Table 5,0,"element='seed cotton yield'; treatment_description='Foliar application of Moringa leaf extract (MLE) + Nitrogen (2%)'; moderators={""cultivar"": ""CIM-573"", ""year"": ""2016""}; declared_unit='kg ha-1'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
sustainability-11-02171__ai__2,ai,sustainability-11-02171,yield,cotton,plant_extract,foliar,2%,pooled,single_cell,t/ha,absolute_control,2.8911,2.83094,Table 5,0,"element='seed cotton yield'; treatment_description='Foliar application of Moringa leaf extract (MLE) + Potassium (2%)'; moderators={""cultivar"": ""CIM-573"", ""year"": ""2016""}; declared_unit='kg ha-1'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
sustainability-11-02171__ai__3,ai,sustainability-11-02171,yield,cotton,plant_extract,foliar,2%,pooled,single_cell,t/ha,absolute_control,3.26908,2.83094,Table 5,0,"element='seed cotton yield'; treatment_description='Foliar application of Moringa leaf extract (MLE) + Nitrogen (2%) + Potassium (2%)'; moderators={""cultivar"": ""CIM-573"", ""year"": ""2016""}; declared_unit='kg ha-1'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
sustainability-11-02171__ai__4,ai,sustainability-11-02171,yield,cotton,plant_extract,foliar,0,pooled,single_cell,t/ha,absolute_control,3.31288,3.09048,Table 5,0,"element='seed cotton yield'; treatment_description='Foliar application of Moringa leaf extract (MLE) 30x diluted'; moderators={""cultivar"": ""CIM-598"", ""year"": ""2016""}; declared_unit='kg ha-1'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
sustainability-11-02171__ai__5,ai,sustainability-11-02171,yield,cotton,plant_extract,foliar,2%,pooled,single_cell,t/ha,absolute_control,3.41064,3.09048,Table 5,0,"element='seed cotton yield'; treatment_description='Foliar application of Moringa leaf extract (MLE) + Nitrogen (2%)'; moderators={""cultivar"": ""CIM-598"", ""year"": ""2016""}; declared_unit='kg ha-1'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
sustainability-11-02171__ai__6,ai,sustainability-11-02171,yield,cotton,plant_extract,foliar,2%,pooled,single_cell,t/ha,absolute_control,3.17172,3.09048,Table 5,0,"element='seed cotton yield'; treatment_description='Foliar application of Moringa leaf extract (MLE) + Potassium (2%)'; moderators={""cultivar"": ""CIM-598"", ""year"": ""2016""}; declared_unit='kg ha-1'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
sustainability-11-02171__ai__7,ai,sustainability-11-02171,yield,cotton,plant_extract,foliar,2%,pooled,single_cell,t/ha,absolute_control,3.5705,3.09048,Table 5,0,"element='seed cotton yield'; treatment_description='Foliar application of Moringa leaf extract (MLE) + Nitrogen (2%) + Potassium (2%)'; moderators={""cultivar"": ""CIM-598"", ""year"": ""2016""}; declared_unit='kg ha-1'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
sustainability-11-02171__ai__8,ai,sustainability-11-02171,yield,cotton,plant_extract,foliar,0,pooled,single_cell,t/ha,absolute_control,3.12982,2.7274,Table 7,0,"element='seed cotton yield'; treatment_description='Foliar application of Moringa leaf extract (MLE) 30x diluted'; moderators={""cultivar"": ""CIM-573"", ""year"": ""2017""}; declared_unit='kg ha-1'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
sustainability-11-02171__ai__9,ai,sustainability-11-02171,yield,cotton,plant_extract,foliar,2%,pooled,single_cell,t/ha,absolute_control,3.20228,2.7274,Table 7,0,"element='seed cotton yield'; treatment_description='Foliar application of Moringa leaf extract (MLE) + Nitrogen (2%)'; moderators={""cultivar"": ""CIM-573"", ""year"": ""2017""}; declared_unit='kg ha-1'; crop_basis=element; freq_token=''; conv_factor=0.001; timepoint=per-paper sequential pair-index (GT 'pair' unseen; uniqueness device per P3)",claude-opus-4-8/decode_li2022_ai_v2
