row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__study8__pair51,gt,088_Kocira_2019_Effect of amino acid biostimulant on the,yield,soybean,seaweed,foliar,0.7,pooled,single_cell,unresolved,absolute_control,0.3677,0.3267,Supplementary Data 2 row pair=51 study=8,0,"study=8; author='Kocira S' 2019; crop='soybean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.7; Frequency=1; ContinusStudy=1; CtrlFreshYield=0.3267; TreatmentFreshYield=0.3677; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study8__pair52,gt,088_Kocira_2019_Effect of amino acid biostimulant on the,yield,soybean,seaweed,foliar,0.7,pooled,single_cell,unresolved,absolute_control,0.3805,0.3267,Supplementary Data 2 row pair=52 study=8,0,"study=8; author='Kocira S' 2019; crop='soybean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.7; Frequency=2; ContinusStudy=1; CtrlFreshYield=0.3267; TreatmentFreshYield=0.3805; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study8__pair53,gt,088_Kocira_2019_Effect of amino acid biostimulant on the,yield,soybean,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,0.3758,0.3267,Supplementary Data 2 row pair=53 study=8,0,"study=8; author='Kocira S' 2019; crop='soybean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=1; ContinusStudy=1; CtrlFreshYield=0.3267; TreatmentFreshYield=0.3758; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study8__pair54,gt,088_Kocira_2019_Effect of amino acid biostimulant on the,yield,soybean,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,0.4137,0.3267,Supplementary Data 2 row pair=54 study=8,0,"study=8; author='Kocira S' 2019; crop='soybean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=2; ContinusStudy=1; CtrlFreshYield=0.3267; TreatmentFreshYield=0.4137; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study8__pair55,gt,088_Kocira_2019_Effect of amino acid biostimulant on the,yield,soybean,seaweed,foliar,0.7,pooled,single_cell,unresolved,absolute_control,0.3636,0.2664,Supplementary Data 2 row pair=55 study=8,0,"study=8; author='Kocira S' 2019; crop='soybean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.7; Frequency=1; ContinusStudy=2; CtrlFreshYield=0.2664; TreatmentFreshYield=0.3636; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study8__pair56,gt,088_Kocira_2019_Effect of amino acid biostimulant on the,yield,soybean,seaweed,foliar,0.7,pooled,single_cell,unresolved,absolute_control,0.3876,0.2664,Supplementary Data 2 row pair=56 study=8,0,"study=8; author='Kocira S' 2019; crop='soybean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.7; Frequency=2; ContinusStudy=2; CtrlFreshYield=0.2664; TreatmentFreshYield=0.3876; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study8__pair57,gt,088_Kocira_2019_Effect of amino acid biostimulant on the,yield,soybean,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,0.3874,0.2664,Supplementary Data 2 row pair=57 study=8,0,"study=8; author='Kocira S' 2019; crop='soybean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=1; ContinusStudy=2; CtrlFreshYield=0.2664; TreatmentFreshYield=0.3874; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study8__pair58,gt,088_Kocira_2019_Effect of amino acid biostimulant on the,yield,soybean,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,0.4171,0.2664,Supplementary Data 2 row pair=58 study=8,0,"study=8; author='Kocira S' 2019; crop='soybean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=2; ContinusStudy=2; CtrlFreshYield=0.2664; TreatmentFreshYield=0.4171; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study8__pair59,gt,088_Kocira_2019_Effect of amino acid biostimulant on the,yield,soybean,seaweed,foliar,0.7,pooled,single_cell,unresolved,absolute_control,0.3767,0.3262,Supplementary Data 2 row pair=59 study=8,0,"study=8; author='Kocira S' 2019; crop='soybean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.7; Frequency=1; ContinusStudy=3; CtrlFreshYield=0.3262; TreatmentFreshYield=0.3767; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
gt__study8__pair60,gt,088_Kocira_2019_Effect of amino acid biostimulant on the,yield,soybean,seaweed,foliar,0.7,pooled,single_cell,unresolved,absolute_control,0.3852,0.3262,Supplementary Data 2 row pair=60 study=8,0,"study=8; author='Kocira S' 2019; crop='soybean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.7; Frequency=2; ContinusStudy=3; CtrlFreshYield=0.3262; TreatmentFreshYield=0.3852; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=matched_AI_token",claude-opus-4-8/decode_li2022_gt_v2
