row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__study165__pair964,gt,gt_study165,yield,bean,seaweed,foliar,0.7,pooled,single_cell,unresolved,absolute_control,0.3203,0.2479,Supplementary Data 2 row pair=964 study=165,0,"study=165; author='Kocira, Sławomir' 2020; crop='bean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.7; Frequency=1; ContinusStudy=1; CtrlFreshYield=0.2479; TreatmentFreshYield=0.3203; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=GT_native_no_AI_counterpart",claude-opus-4-8/decode_li2022_gt_v2
gt__study165__pair965,gt,gt_study165,yield,bean,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,0.3225,0.2479,Supplementary Data 2 row pair=965 study=165,0,"study=165; author='Kocira, Sławomir' 2020; crop='bean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=1; ContinusStudy=1; CtrlFreshYield=0.2479; TreatmentFreshYield=0.3225; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=GT_native_no_AI_counterpart",claude-opus-4-8/decode_li2022_gt_v2
gt__study165__pair966,gt,gt_study165,yield,bean,seaweed,foliar,0.7,pooled,single_cell,unresolved,absolute_control,0.3302,0.2479,Supplementary Data 2 row pair=966 study=165,0,"study=165; author='Kocira, Sławomir' 2020; crop='bean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.7; Frequency=2; ContinusStudy=1; CtrlFreshYield=0.2479; TreatmentFreshYield=0.3302; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=GT_native_no_AI_counterpart",claude-opus-4-8/decode_li2022_gt_v2
gt__study165__pair967,gt,gt_study165,yield,bean,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,0.3386,0.2479,Supplementary Data 2 row pair=967 study=165,0,"study=165; author='Kocira, Sławomir' 2020; crop='bean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=2; ContinusStudy=1; CtrlFreshYield=0.2479; TreatmentFreshYield=0.3386; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=GT_native_no_AI_counterpart",claude-opus-4-8/decode_li2022_gt_v2
gt__study165__pair968,gt,gt_study165,yield,bean,seaweed,foliar,0.7,pooled,single_cell,unresolved,absolute_control,0.3599,0.2784,Supplementary Data 2 row pair=968 study=165,0,"study=165; author='Kocira, Sławomir' 2020; crop='bean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.7; Frequency=1; ContinusStudy=2; CtrlFreshYield=0.2784; TreatmentFreshYield=0.3599; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=GT_native_no_AI_counterpart",claude-opus-4-8/decode_li2022_gt_v2
gt__study165__pair969,gt,gt_study165,yield,bean,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,0.3192,0.2784,Supplementary Data 2 row pair=969 study=165,0,"study=165; author='Kocira, Sławomir' 2020; crop='bean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=1; ContinusStudy=2; CtrlFreshYield=0.2784; TreatmentFreshYield=0.3192; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=GT_native_no_AI_counterpart",claude-opus-4-8/decode_li2022_gt_v2
gt__study165__pair970,gt,gt_study165,yield,bean,seaweed,foliar,0.7,pooled,single_cell,unresolved,absolute_control,0.3307,0.2784,Supplementary Data 2 row pair=970 study=165,0,"study=165; author='Kocira, Sławomir' 2020; crop='bean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.7; Frequency=2; ContinusStudy=2; CtrlFreshYield=0.2784; TreatmentFreshYield=0.3307; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=GT_native_no_AI_counterpart",claude-opus-4-8/decode_li2022_gt_v2
gt__study165__pair971,gt,gt_study165,yield,bean,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,0.3701,0.2784,Supplementary Data 2 row pair=971 study=165,0,"study=165; author='Kocira, Sławomir' 2020; crop='bean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=2; ContinusStudy=2; CtrlFreshYield=0.2784; TreatmentFreshYield=0.3701; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=GT_native_no_AI_counterpart",claude-opus-4-8/decode_li2022_gt_v2
gt__study165__pair972,gt,gt_study165,yield,bean,seaweed,foliar,0.7,pooled,single_cell,unresolved,absolute_control,0.3939,0.3162,Supplementary Data 2 row pair=972 study=165,0,"study=165; author='Kocira, Sławomir' 2020; crop='bean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.7; Frequency=1; ContinusStudy=3; CtrlFreshYield=0.3162; TreatmentFreshYield=0.3939; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=GT_native_no_AI_counterpart",claude-opus-4-8/decode_li2022_gt_v2
gt__study165__pair973,gt,gt_study165,yield,bean,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,0.3343,0.3162,Supplementary Data 2 row pair=973 study=165,0,"study=165; author='Kocira, Sławomir' 2020; crop='bean'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=1; ContinusStudy=3; CtrlFreshYield=0.3162; TreatmentFreshYield=0.3343; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=GT_native_no_AI_counterpart",claude-opus-4-8/decode_li2022_gt_v2
