row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
003_Baslam_2012__ai__0,ai,003_Baslam_2012,mineral_concentration,na,p,foliar,batavia_rubia_munguia,eco2_700_amb_392,single_cell,ratio,ambient_co2,0.5455,,Table 2,0,element='P'->p | tissue='outer leaf'->foliar | cultivar='Batavia Rubia Munguia (BRM)' | CO2->eco2_700_amb_392 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (700 umol/mol)' C_desc='Ambient CO2 (392 umol/mol)' | unit='mg/g FW' | src='Table 2' || NOTE: cultivar='Batavia Rubia Munguia (BRM)' ; CO2 e=700 a=392,rebuild_2026-08-19/loladze
003_Baslam_2012__ai__1,ai,003_Baslam_2012,mineral_concentration,na,p,foliar,batavia_rubia_munguia__inner_nm,eco2_700_amb_392,single_cell,ratio,ambient_co2,-0.25,,Table 2,0,element='P'->p | tissue='inner leaf'->foliar | cultivar='Batavia Rubia Munguia (BRM)' | CO2->eco2_700_amb_392 | lvl_suffix=['inner_nm'] tp_suffix=[] | T_desc='Elevated CO2 (700 umol/mol)' C_desc='Ambient CO2 (392 umol/mol)' | unit='mg/g FW' | src='Table 2' || NOTE: cultivar='Batavia Rubia Munguia (BRM)' ; CO2 e=700 a=392 ; age='inner'->inner_nm,rebuild_2026-08-19/loladze
003_Baslam_2012__ai__2,ai,003_Baslam_2012,mineral_concentration,na,p,foliar,batavia_rubia_munguia,eco2_700_amb_392,single_cell,ratio,ambient_co2,0.3846,,Table 2,0,element='P'->p | tissue='outer leaf'->foliar | cultivar='Batavia Rubia Munguia (BRM)' | CO2->eco2_700_amb_392 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (700 umol/mol)' C_desc='Ambient CO2 (392 umol/mol)' | unit='mg/g FW' | src='Table 2' || NOTE: cultivar='Batavia Rubia Munguia (BRM)' ; CO2 e=700 a=392,rebuild_2026-08-19/loladze
003_Baslam_2012__ai__3,ai,003_Baslam_2012,mineral_concentration,na,p,foliar,batavia_rubia_munguia__inner_nm,eco2_700_amb_392,single_cell,ratio,ambient_co2,0.3333,,Table 2,0,element='P'->p | tissue='inner leaf'->foliar | cultivar='Batavia Rubia Munguia (BRM)' | CO2->eco2_700_amb_392 | lvl_suffix=['inner_nm'] tp_suffix=[] | T_desc='Elevated CO2 (700 umol/mol)' C_desc='Ambient CO2 (392 umol/mol)' | unit='mg/g FW' | src='Table 2' || NOTE: cultivar='Batavia Rubia Munguia (BRM)' ; CO2 e=700 a=392 ; age='inner'->inner_nm,rebuild_2026-08-19/loladze
003_Baslam_2012__ai__4,ai,003_Baslam_2012,mineral_concentration,na,p,foliar,maravilla_de_verano,eco2_700_amb_392,single_cell,ratio,ambient_co2,0.1,,Table 2,0,element='P'->p | tissue='outer leaf'->foliar | cultivar='Maravilla de Verano (MV)' | CO2->eco2_700_amb_392 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (700 umol/mol)' C_desc='Ambient CO2 (392 umol/mol)' | unit='mg/g FW' | src='Table 2' || NOTE: cultivar='Maravilla de Verano (MV)' ; CO2 e=700 a=392,rebuild_2026-08-19/loladze
003_Baslam_2012__ai__5,ai,003_Baslam_2012,mineral_concentration,na,p,foliar,maravilla_de_verano__inner_nm,eco2_700_amb_392,single_cell,ratio,ambient_co2,0.1176,,Table 2,0,element='P'->p | tissue='inner leaf'->foliar | cultivar='Maravilla de Verano (MV)' | CO2->eco2_700_amb_392 | lvl_suffix=['inner_nm'] tp_suffix=[] | T_desc='Elevated CO2 (700 umol/mol)' C_desc='Ambient CO2 (392 umol/mol)' | unit='mg/g FW' | src='Table 2' || NOTE: cultivar='Maravilla de Verano (MV)' ; CO2 e=700 a=392 ; age='inner'->inner_nm,rebuild_2026-08-19/loladze
003_Baslam_2012__ai__6,ai,003_Baslam_2012,mineral_concentration,na,p,foliar,maravilla_de_verano,eco2_700_amb_392,single_cell,ratio,ambient_co2,-0.45,,Table 2,0,element='P'->p | tissue='outer leaf'->foliar | cultivar='Maravilla de Verano (MV)' | CO2->eco2_700_amb_392 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (700 umol/mol)' C_desc='Ambient CO2 (392 umol/mol)' | unit='mg/g FW' | src='Table 2' || NOTE: cultivar='Maravilla de Verano (MV)' ; CO2 e=700 a=392,rebuild_2026-08-19/loladze
003_Baslam_2012__ai__7,ai,003_Baslam_2012,mineral_concentration,na,p,foliar,maravilla_de_verano__inner_nm,eco2_700_amb_392,single_cell,ratio,ambient_co2,0.4167,,Table 2,0,element='P'->p | tissue='inner leaf'->foliar | cultivar='Maravilla de Verano (MV)' | CO2->eco2_700_amb_392 | lvl_suffix=['inner_nm'] tp_suffix=[] | T_desc='Elevated CO2 (700 umol/mol)' C_desc='Ambient CO2 (392 umol/mol)' | unit='mg/g FW' | src='Table 2' || NOTE: cultivar='Maravilla de Verano (MV)' ; CO2 e=700 a=392 ; age='inner'->inner_nm,rebuild_2026-08-19/loladze
003_Baslam_2012__ai__8,ai,003_Baslam_2012,mineral_concentration,na,k,foliar,batavia_rubia_munguia,eco2_700_amb_392,single_cell,ratio,ambient_co2,0.1,,Table 2,0,element='K'->k | tissue='outer leaf'->foliar | cultivar='Batavia Rubia Munguia (BRM)' | CO2->eco2_700_amb_392 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (700 umol/mol)' C_desc='Ambient CO2 (392 umol/mol)' | unit='mg/g FW' | src='Table 2' || NOTE: cultivar='Batavia Rubia Munguia (BRM)' ; CO2 e=700 a=392,rebuild_2026-08-19/loladze
003_Baslam_2012__ai__9,ai,003_Baslam_2012,mineral_concentration,na,k,foliar,batavia_rubia_munguia__inner_nm,eco2_700_amb_392,single_cell,ratio,ambient_co2,0.119,,Table 2,0,element='K'->k | tissue='inner leaf'->foliar | cultivar='Batavia Rubia Munguia (BRM)' | CO2->eco2_700_amb_392 | lvl_suffix=['inner_nm'] tp_suffix=[] | T_desc='Elevated CO2 (700 umol/mol)' C_desc='Ambient CO2 (392 umol/mol)' | unit='mg/g FW' | src='Table 2' || NOTE: cultivar='Batavia Rubia Munguia (BRM)' ; CO2 e=700 a=392 ; age='inner'->inner_nm,rebuild_2026-08-19/loladze
003_Baslam_2012__ai__10,ai,003_Baslam_2012,mineral_concentration,na,k,foliar,batavia_rubia_munguia,eco2_700_amb_392,single_cell,ratio,ambient_co2,0.0488,,Table 2,0,element='K'->k | tissue='outer leaf'->foliar | cultivar='Batavia Rubia Munguia (BRM)' | CO2->eco2_700_amb_392 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (700 umol/mol)' C_desc='Ambient CO2 (392 umol/mol)' | unit='mg/g FW' | src='Table 2' || NOTE: cultivar='Batavia Rubia Munguia (BRM)' ; CO2 e=700 a=392,rebuild_2026-08-19/loladze
