row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
004_Finzi_2001__ai__0,ai,004_Finzi_2001,mineral_concentration,na,n,foliar,cercis_canadensis,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,-0.1144,,Table 2,0,element='N'->n | tissue='green leaf'->foliar | species='Cercis canadensis (Red bud)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=[] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Cercis canadensis (Red bud)' ; CO2 e=560 a=360 ; year='1997'->y1997,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__1,ai,004_Finzi_2001,mineral_concentration,na,p,foliar,cercis_canadensis,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,-0.1692,,Table 2,0,element='P'->p | tissue='green leaf'->foliar | species='Cercis canadensis (Red bud)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=[] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Cercis canadensis (Red bud)' ; CO2 e=560 a=360 ; year='1997'->y1997,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__2,ai,004_Finzi_2001,mineral_concentration,na,n,foliar,cornus_florida,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,-0.0728,,Table 2,0,element='N'->n | tissue='green leaf'->foliar | species='Cornus florida (Dogwood)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=[] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Cornus florida (Dogwood)' ; CO2 e=560 a=360 ; year='1997'->y1997,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__3,ai,004_Finzi_2001,mineral_concentration,na,p,foliar,cornus_florida,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,-0.0935,,Table 2,0,element='P'->p | tissue='green leaf'->foliar | species='Cornus florida (Dogwood)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=[] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Cornus florida (Dogwood)' ; CO2 e=560 a=360 ; year='1997'->y1997,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__4,ai,004_Finzi_2001,mineral_concentration,na,n,foliar,pinus_taeda,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,-0.0348,,Table 2,0,element='N'->n | tissue='green leaf (new)'->foliar | species='Pinus taeda (Loblolly pine)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=[] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Pinus taeda (Loblolly pine)' ; CO2 e=560 a=360 ; year='1997'->y1997,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__5,ai,004_Finzi_2001,mineral_concentration,na,p,foliar,pinus_taeda,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,0,,Table 2,0,element='P'->p | tissue='green leaf (new)'->foliar | species='Pinus taeda (Loblolly pine)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=[] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Pinus taeda (Loblolly pine)' ; CO2 e=560 a=360 ; year='1997'->y1997,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__6,ai,004_Finzi_2001,mineral_concentration,na,n,foliar,pinus_taeda__old_leaves,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,-0.0645,,Table 2,0,element='N'->n | tissue='green leaf (old)'->foliar | species='Pinus taeda (Loblolly pine)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=['old_leaves'] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Pinus taeda (Loblolly pine)' ; CO2 e=560 a=360 ; age='old'->old_leaves ; year='1997'->y1997,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__7,ai,004_Finzi_2001,mineral_concentration,na,p,foliar,pinus_taeda__old_leaves,eco2_560_amb_360__y1997,single_cell,ratio,ambient_co2,0.0779,,Table 2,0,element='P'->p | tissue='green leaf (old)'->foliar | species='Pinus taeda (Loblolly pine)' | CO2->eco2_560_amb_360__y1997 | lvl_suffix=['old_leaves'] tp_suffix=['y1997'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Pinus taeda (Loblolly pine)' ; CO2 e=560 a=360 ; age='old'->old_leaves ; year='1997'->y1997,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__8,ai,004_Finzi_2001,mineral_concentration,na,n,foliar,cercis_canadensis,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,-0.1654,,Table 2,0,element='N'->n | tissue='green leaf'->foliar | species='Cercis canadensis (Red bud)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=[] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Cercis canadensis (Red bud)' ; CO2 e=560 a=360 ; year='1998'->y1998,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__9,ai,004_Finzi_2001,mineral_concentration,na,p,foliar,cercis_canadensis,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,-0.1319,,Table 2,0,element='P'->p | tissue='green leaf'->foliar | species='Cercis canadensis (Red bud)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=[] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Cercis canadensis (Red bud)' ; CO2 e=560 a=360 ; year='1998'->y1998,rebuild_2026-08-19/loladze
004_Finzi_2001__ai__10,ai,004_Finzi_2001,mineral_concentration,na,n,foliar,cornus_florida,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,0.0252,,Table 2,0,element='N'->n | tissue='green leaf'->foliar | species='Cornus florida (Dogwood)' | CO2->eco2_560_amb_360__y1998 | lvl_suffix=[] tp_suffix=['y1998'] | T_desc='Elevated CO2 560 ppm' C_desc='Ambient CO2 360 ppm' | unit='mg/g' | src='Table 2' || NOTE: species='Cornus florida (Dogwood)' ; CO2 e=560 a=360 ; year='1998'->y1998,rebuild_2026-08-19/loladze
