row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
005_Niinemets_1999__ai__0,ai,005_Niinemets_1999,mineral_concentration,na,n,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.219858,,Table 1,0,element='Nitrogen'->n | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='mmol g⁻¹' | src='Table 1' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__1,ai,005_Niinemets_1999,mineral_concentration,na,p,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.1,,Table 1,0,element='Phosphorus'->p | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='µmol g⁻¹' | src='Table 1' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__2,ai,005_Niinemets_1999,mineral_concentration,na,,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.232558,,Table 1,0,element='P/N ratio'->(blank) | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='mmol mol⁻¹' | src='Table 1' || NOTE: ratio variable (no single element symbol): 'P/N ratio' ; no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__3,ai,005_Niinemets_1999,mineral_concentration,na,ca,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.004695,,Table 1,0,element='Calcium'->ca | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='µmol g⁻¹' | src='Table 1' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__4,ai,005_Niinemets_1999,mineral_concentration,na,mg,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.393162,,Table 1,0,element='Magnesium'->mg | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='µmol g⁻¹' | src='Table 1' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__5,ai,005_Niinemets_1999,mineral_concentration,na,k,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.098684,,Table 1,0,element='Potassium'->k | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='µmol g⁻¹' | src='Table 1' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__6,ai,005_Niinemets_1999,mineral_concentration,na,,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.066667,,Table 1,0,element='Lamina dry mass per area'->(blank) | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='g m⁻²' | src='Table 1' || NOTE: non-mineral variable (no element symbol): 'Lamina dry mass per area' ; no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__7,ai,005_Niinemets_1999,mineral_concentration,na,,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.764706,,Table 1,0,element='Soluble carbohydrates'->(blank) | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='%' | src='Table 1' || NOTE: non-mineral variable (no element symbol): 'Soluble carbohydrates' ; no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__8,ai,005_Niinemets_1999,mineral_concentration,na,,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.156334,,Table 1,0,element='Starch'->(blank) | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='%' | src='Table 1' || NOTE: non-mineral variable (no element symbol): 'Starch' ; no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__9,ai,005_Niinemets_1999,mineral_concentration,na,,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.031873,,Table 1,0,element='Chlorophyll (a+b)'->(blank) | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='µmol g⁻¹' | src='Table 1' || NOTE: non-mineral variable (no element symbol): 'Chlorophyll (a+b)' ; no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
005_Niinemets_1999__ai__10,ai,005_Niinemets_1999,mineral_concentration,na,,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.02459,,Table 1,0,element='Chlorophyll a/b ratio'->(blank) | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=['highn'] tp_suffix=[] | T_desc='Elevated CO2 (700 µmol mol⁻¹)' C_desc='Ambient CO2 (350 µmol mol⁻¹)' | unit='unitless' | src='Table 1' || NOTE: ratio variable (no single element symbol): 'Chlorophyll a/b ratio' ; no species/cultivar -> blank ; CO2 e=700 a=350 ; N='high N (0.3 mol N/m^3)'->highn,ai-decode-v3
