row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
007_Woodin_1992__ai__0,ai,007_Woodin_1992,mineral_concentration,na,n,foliar,calluna_vulgaris,eco2_470_amb_370,single_cell,ratio,ambient_co2,-0.2857,,Figure 3a,1,element='N'->n | tissue='leaf'->foliar | species='Calluna vulgaris' | CO2->eco2_470_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 470 ppm' C_desc='Ambient CO2 370 ppm' | unit='mg/g d.wt' | src='Figure 3a' || NOTE: species='Calluna vulgaris' ; CO2 e=470 a=370,rebuild_2026-08-19/loladze
007_Woodin_1992__ai__1,ai,007_Woodin_1992,mineral_concentration,na,n,foliar,calluna_vulgaris,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.4286,,Figure 3a,1,element='N'->n | tissue='leaf'->foliar | species='Calluna vulgaris' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 570 ppm' C_desc='Ambient CO2 370 ppm' | unit='mg/g d.wt' | src='Figure 3a' || NOTE: species='Calluna vulgaris' ; CO2 e=570 a=370,rebuild_2026-08-19/loladze
007_Woodin_1992__ai__2,ai,007_Woodin_1992,mineral_concentration,na,n,above_ground,calluna_vulgaris,eco2_470_amb_370,single_cell,ratio,ambient_co2,0.2222,,Figure 3a,1,element='N'->n | tissue='stem'->above_ground | species='Calluna vulgaris' | CO2->eco2_470_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 470 ppm' C_desc='Ambient CO2 370 ppm' | unit='mg/g d.wt' | src='Figure 3a' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Calluna vulgaris' ; CO2 e=470 a=370,rebuild_2026-08-19/loladze
007_Woodin_1992__ai__3,ai,007_Woodin_1992,mineral_concentration,na,n,above_ground,calluna_vulgaris,eco2_570_amb_370,single_cell,ratio,ambient_co2,0.1111,,Figure 3a,1,element='N'->n | tissue='stem'->above_ground | species='Calluna vulgaris' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 570 ppm' C_desc='Ambient CO2 370 ppm' | unit='mg/g d.wt' | src='Figure 3a' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Calluna vulgaris' ; CO2 e=570 a=370,rebuild_2026-08-19/loladze
007_Woodin_1992__ai__4,ai,007_Woodin_1992,mineral_concentration,na,p,foliar,calluna_vulgaris,eco2_470_amb_370,single_cell,ratio,ambient_co2,-0.2632,,Figure 3a,1,element='P'->p | tissue='leaf'->foliar | species='Calluna vulgaris' | CO2->eco2_470_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 470 ppm' C_desc='Ambient CO2 370 ppm' | unit='mg/g d.wt' | src='Figure 3a' || NOTE: species='Calluna vulgaris' ; CO2 e=470 a=370,rebuild_2026-08-19/loladze
007_Woodin_1992__ai__5,ai,007_Woodin_1992,mineral_concentration,na,p,foliar,calluna_vulgaris,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.4211,,Figure 3a,1,element='P'->p | tissue='leaf'->foliar | species='Calluna vulgaris' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 570 ppm' C_desc='Ambient CO2 370 ppm' | unit='mg/g d.wt' | src='Figure 3a' || NOTE: species='Calluna vulgaris' ; CO2 e=570 a=370,rebuild_2026-08-19/loladze
007_Woodin_1992__ai__6,ai,007_Woodin_1992,mineral_concentration,na,p,above_ground,calluna_vulgaris,eco2_470_amb_370,single_cell,ratio,ambient_co2,-0.1818,,Figure 3a,1,element='P'->p | tissue='stem'->above_ground | species='Calluna vulgaris' | CO2->eco2_470_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 470 ppm' C_desc='Ambient CO2 370 ppm' | unit='mg/g d.wt' | src='Figure 3a' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Calluna vulgaris' ; CO2 e=470 a=370,rebuild_2026-08-19/loladze
007_Woodin_1992__ai__7,ai,007_Woodin_1992,mineral_concentration,na,p,above_ground,calluna_vulgaris,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.3182,,Figure 3a,1,element='P'->p | tissue='stem'->above_ground | species='Calluna vulgaris' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 570 ppm' C_desc='Ambient CO2 370 ppm' | unit='mg/g d.wt' | src='Figure 3a' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Calluna vulgaris' ; CO2 e=570 a=370,rebuild_2026-08-19/loladze
007_Woodin_1992__ai__8,ai,007_Woodin_1992,mineral_concentration,na,k,foliar,calluna_vulgaris,eco2_470_amb_370,single_cell,ratio,ambient_co2,-0.25,,Figure 3a,1,element='K'->k | tissue='leaf'->foliar | species='Calluna vulgaris' | CO2->eco2_470_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 470 ppm' C_desc='Ambient CO2 370 ppm' | unit='mg/g d.wt' | src='Figure 3a' || NOTE: species='Calluna vulgaris' ; CO2 e=470 a=370,rebuild_2026-08-19/loladze
007_Woodin_1992__ai__9,ai,007_Woodin_1992,mineral_concentration,na,k,foliar,calluna_vulgaris,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.375,,Figure 3a,1,element='K'->k | tissue='leaf'->foliar | species='Calluna vulgaris' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 570 ppm' C_desc='Ambient CO2 370 ppm' | unit='mg/g d.wt' | src='Figure 3a' || NOTE: species='Calluna vulgaris' ; CO2 e=570 a=370,rebuild_2026-08-19/loladze
007_Woodin_1992__ai__10,ai,007_Woodin_1992,mineral_concentration,na,k,above_ground,calluna_vulgaris,eco2_470_amb_370,single_cell,ratio,ambient_co2,0,,Figure 3a,1,element='K'->k | tissue='stem'->above_ground | species='Calluna vulgaris' | CO2->eco2_470_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 470 ppm' C_desc='Ambient CO2 370 ppm' | unit='mg/g d.wt' | src='Figure 3a' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Calluna vulgaris' ; CO2 e=470 a=370,rebuild_2026-08-19/loladze
