row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
009_Barnes_1992__ai__0,ai,009_Barnes_1992,mineral_concentration,na,n,above_ground,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.1546,,Table 4,0,element='N'->n | tissue='shoot'->above_ground | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 4' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__1,ai,009_Barnes_1992,mineral_concentration,na,n,above_ground,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.0024,,Table 4,0,element='N'->n | tissue='shoot'->above_ground | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 4' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__2,ai,009_Barnes_1992,mineral_concentration,na,s,above_ground,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.2667,,Table 4,0,element='S'->s | tissue='shoot'->above_ground | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 4' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__3,ai,009_Barnes_1992,mineral_concentration,na,s,above_ground,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.1407,,Table 4,0,element='S'->s | tissue='shoot'->above_ground | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 4' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__4,ai,009_Barnes_1992,mineral_concentration,na,p,above_ground,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.2128,,Table 4,0,element='P'->p | tissue='shoot'->above_ground | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 4' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__5,ai,009_Barnes_1992,mineral_concentration,na,p,above_ground,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.0533,,Table 4,0,element='P'->p | tissue='shoot'->above_ground | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 4' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__6,ai,009_Barnes_1992,mineral_concentration,na,k,above_ground,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,0.0157,,Table 4,0,element='K'->k | tissue='shoot'->above_ground | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 4' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__7,ai,009_Barnes_1992,mineral_concentration,na,k,above_ground,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.0729,,Table 4,0,element='K'->k | tissue='shoot'->above_ground | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 4' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__8,ai,009_Barnes_1992,mineral_concentration,na,mg,above_ground,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.125,,Table 4,0,element='Mg'->mg | tissue='shoot'->above_ground | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 4' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__9,ai,009_Barnes_1992,mineral_concentration,na,mg,above_ground,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.0597,,Table 4,0,element='Mg'->mg | tissue='shoot'->above_ground | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 4' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__10,ai,009_Barnes_1992,mineral_concentration,na,ca,above_ground,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,0.0278,,Table 4,0,element='Ca'->ca | tissue='shoot'->above_ground | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 4' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__11,ai,009_Barnes_1992,mineral_concentration,na,ca,above_ground,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.0516,,Table 4,0,element='Ca'->ca | tissue='shoot'->above_ground | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 4' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__12,ai,009_Barnes_1992,mineral_concentration,na,n,edible,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.1301,,Table 5,0,element='N'->n | tissue='root'->edible | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 5' || NOTE: storage-root tissue -> edible (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
009_Barnes_1992__ai__13,ai,009_Barnes_1992,mineral_concentration,na,n,edible,cherry_belle,eco2_750_amb_350,single_cell,ratio,ambient_co2,-0.1149,,Table 5,0,element='N'->n | tissue='root'->edible | cultivar='Cherry Belle' | CO2->eco2_750_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='750 umol/mol CO2' C_desc='350 umol/mol CO2' | unit='% dry weight' | src='Table 5' || NOTE: storage-root tissue -> edible (GT convention) ; cultivar='Cherry Belle' ; CO2 e=750 a=350,rebuild_2026-08-19/loladze
