row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
010_Li_2010__ai__0,ai,010_Li_2010,mineral_concentration,na,n,grain,triso,pooled,pooled,ratio,ambient_co2,-0.084,,Figure 5 + Discussion text (protein/5.7),1,element='N'->n | tissue='grain'->grain | cultivar='TRISO' | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~550 ppm' C_desc='Ambient CO2 ~400 ppm' | unit='% DW' | src='Figure 5 + Discussion text (protein/5.7)' || NOTE: cultivar='TRISO' ; CO2 e=550 a=400 ; years='2004-2006 pooled',rebuild_2026-08-19/loladze
010_Li_2010__ai__1,ai,010_Li_2010,mineral_concentration,na,c,grain,triso,pooled,pooled,ratio,ambient_co2,-0.003,,Results text p.4,0,element='C'->c | tissue='grain'->grain | cultivar='TRISO' | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~550 ppm' C_desc='Ambient CO2 ~400 ppm' | unit='% DW' | src='Results text p.4' || NOTE: cultivar='TRISO' ; CO2 e=550 a=400 ; years='2004-2006 pooled',rebuild_2026-08-19/loladze
010_Li_2010__ai__2,ai,010_Li_2010,mineral_concentration,na,s,grain,triso,pooled,pooled,ratio,ambient_co2,-0.03,,Figure 2,1,element='S'->s | tissue='grain'->grain | cultivar='TRISO' | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~550 ppm' C_desc='Ambient CO2 ~400 ppm' | unit='% DW' | src='Figure 2' || NOTE: cultivar='TRISO' ; CO2 e=550 a=400 ; years='2004-2006 pooled',rebuild_2026-08-19/loladze
010_Li_2010__ai__3,ai,010_Li_2010,mineral_concentration,na,p,grain,triso,pooled,pooled,ratio,ambient_co2,-0.035,,Figure 2,1,element='P'->p | tissue='grain'->grain | cultivar='TRISO' | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~550 ppm' C_desc='Ambient CO2 ~400 ppm' | unit='% DW' | src='Figure 2' || NOTE: cultivar='TRISO' ; CO2 e=550 a=400 ; years='2004-2006 pooled',rebuild_2026-08-19/loladze
010_Li_2010__ai__4,ai,010_Li_2010,mineral_concentration,na,k,grain,triso,pooled,pooled,ratio,ambient_co2,0.18,,Figure 2,1,element='K'->k | tissue='grain'->grain | cultivar='TRISO' | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~550 ppm' C_desc='Ambient CO2 ~400 ppm' | unit='% DW' | src='Figure 2' || NOTE: cultivar='TRISO' ; CO2 e=550 a=400 ; years='2004-2006 pooled',rebuild_2026-08-19/loladze
010_Li_2010__ai__5,ai,010_Li_2010,mineral_concentration,na,ca,grain,triso,pooled,pooled,ratio,ambient_co2,-0.05,,Figure 2,1,element='Ca'->ca | tissue='grain'->grain | cultivar='TRISO' | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~550 ppm' C_desc='Ambient CO2 ~400 ppm' | unit='% DW' | src='Figure 2' || NOTE: cultivar='TRISO' ; CO2 e=550 a=400 ; years='2004-2006 pooled',rebuild_2026-08-19/loladze
010_Li_2010__ai__6,ai,010_Li_2010,mineral_concentration,na,mg,grain,triso,pooled,pooled,ratio,ambient_co2,-0.07,,Figure 2,1,element='Mg'->mg | tissue='grain'->grain | cultivar='TRISO' | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~550 ppm' C_desc='Ambient CO2 ~400 ppm' | unit='% DW' | src='Figure 2' || NOTE: cultivar='TRISO' ; CO2 e=550 a=400 ; years='2004-2006 pooled',rebuild_2026-08-19/loladze
010_Li_2010__ai__7,ai,010_Li_2010,mineral_concentration,na,na,grain,triso,pooled,pooled,ratio,ambient_co2,0.07,,Figure 2,1,element='Na'->na | tissue='grain'->grain | cultivar='TRISO' | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~550 ppm' C_desc='Ambient CO2 ~400 ppm' | unit='% DW' | src='Figure 2' || NOTE: cultivar='TRISO' ; CO2 e=550 a=400 ; years='2004-2006 pooled',rebuild_2026-08-19/loladze
010_Li_2010__ai__8,ai,010_Li_2010,mineral_concentration,na,fe,grain,triso,pooled,pooled,ratio,ambient_co2,-0.1,,Figure 2,1,element='Fe'->fe | tissue='grain'->grain | cultivar='TRISO' | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~550 ppm' C_desc='Ambient CO2 ~400 ppm' | unit='mg/kg DW' | src='Figure 2' || NOTE: cultivar='TRISO' ; CO2 e=550 a=400 ; years='2004-2006 pooled',rebuild_2026-08-19/loladze
010_Li_2010__ai__9,ai,010_Li_2010,mineral_concentration,na,zn,grain,triso,pooled,pooled,ratio,ambient_co2,-0.04,,Figure 2,1,element='Zn'->zn | tissue='grain'->grain | cultivar='TRISO' | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~550 ppm' C_desc='Ambient CO2 ~400 ppm' | unit='mg/kg DW' | src='Figure 2' || NOTE: cultivar='TRISO' ; CO2 e=550 a=400 ; years='2004-2006 pooled',rebuild_2026-08-19/loladze
010_Li_2010__ai__10,ai,010_Li_2010,mineral_concentration,na,cu,grain,triso,pooled,pooled,ratio,ambient_co2,-0.04,,Figure 2,1,element='Cu'->cu | tissue='grain'->grain | cultivar='TRISO' | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~550 ppm' C_desc='Ambient CO2 ~400 ppm' | unit='mg/kg DW' | src='Figure 2' || NOTE: cultivar='TRISO' ; CO2 e=550 a=400 ; years='2004-2006 pooled',rebuild_2026-08-19/loladze
010_Li_2010__ai__11,ai,010_Li_2010,mineral_concentration,na,mn,grain,triso,pooled,pooled,ratio,ambient_co2,-0.07,,Figure 2,1,element='Mn'->mn | tissue='grain'->grain | cultivar='TRISO' | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~550 ppm' C_desc='Ambient CO2 ~400 ppm' | unit='mg/kg DW' | src='Figure 2' || NOTE: cultivar='TRISO' ; CO2 e=550 a=400 ; years='2004-2006 pooled',rebuild_2026-08-19/loladze
