row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
014_Lieffering_2004__ai__0,ai,014_Lieffering_2004,mineral_concentration,na,n,grain,akitakomachi,eco2_625_amb_425__y1999,single_cell,ratio,ambient_co2,-0.0845,,Figure 1,1,element='N'->n | tissue='grain'->grain | cultivar='Akitakomachi' | CO2->eco2_625_amb_425__y1999 | lvl_suffix=[] tp_suffix=['y1999'] | T_desc='Elevated CO2 ~625 ppm' C_desc='Ambient CO2 ~425 ppm' | unit='g/kg' | src='Figure 1' || NOTE: cultivar='Akitakomachi' ; CO2 e=625 a=425 ; year='1999'->y1999,rebuild_2026-08-19/loladze
014_Lieffering_2004__ai__1,ai,014_Lieffering_2004,mineral_concentration,na,p,grain,akitakomachi,eco2_625_amb_425__y1999,single_cell,ratio,ambient_co2,0.0357,,Figure 1,1,element='P'->p | tissue='grain'->grain | cultivar='Akitakomachi' | CO2->eco2_625_amb_425__y1999 | lvl_suffix=[] tp_suffix=['y1999'] | T_desc='Elevated CO2 ~625 ppm' C_desc='Ambient CO2 ~425 ppm' | unit='g/kg' | src='Figure 1' || NOTE: cultivar='Akitakomachi' ; CO2 e=625 a=425 ; year='1999'->y1999,rebuild_2026-08-19/loladze
014_Lieffering_2004__ai__2,ai,014_Lieffering_2004,mineral_concentration,na,k,grain,akitakomachi,eco2_625_amb_425__y1999,single_cell,ratio,ambient_co2,0,,Figure 1,1,element='K'->k | tissue='grain'->grain | cultivar='Akitakomachi' | CO2->eco2_625_amb_425__y1999 | lvl_suffix=[] tp_suffix=['y1999'] | T_desc='Elevated CO2 ~625 ppm' C_desc='Ambient CO2 ~425 ppm' | unit='g/kg' | src='Figure 1' || NOTE: cultivar='Akitakomachi' ; CO2 e=625 a=425 ; year='1999'->y1999,rebuild_2026-08-19/loladze
014_Lieffering_2004__ai__3,ai,014_Lieffering_2004,mineral_concentration,na,mg,grain,akitakomachi,eco2_625_amb_425__y1999,single_cell,ratio,ambient_co2,0,,Figure 1,1,element='Mg'->mg | tissue='grain'->grain | cultivar='Akitakomachi' | CO2->eco2_625_amb_425__y1999 | lvl_suffix=[] tp_suffix=['y1999'] | T_desc='Elevated CO2 ~625 ppm' C_desc='Ambient CO2 ~425 ppm' | unit='g/kg' | src='Figure 1' || NOTE: cultivar='Akitakomachi' ; CO2 e=625 a=425 ; year='1999'->y1999,rebuild_2026-08-19/loladze
014_Lieffering_2004__ai__4,ai,014_Lieffering_2004,mineral_concentration,na,s,grain,akitakomachi,eco2_625_amb_425__y1999,single_cell,ratio,ambient_co2,0.069,,Figure 1,1,element='S'->s | tissue='grain'->grain | cultivar='Akitakomachi' | CO2->eco2_625_amb_425__y1999 | lvl_suffix=[] tp_suffix=['y1999'] | T_desc='Elevated CO2 ~625 ppm' C_desc='Ambient CO2 ~425 ppm' | unit='g/kg' | src='Figure 1' || NOTE: cultivar='Akitakomachi' ; CO2 e=625 a=425 ; year='1999'->y1999,rebuild_2026-08-19/loladze
014_Lieffering_2004__ai__5,ai,014_Lieffering_2004,mineral_concentration,na,zn,grain,akitakomachi,eco2_625_amb_425__y1999,single_cell,ratio,ambient_co2,0.125,,Figure 1,1,element='Zn'->zn | tissue='grain'->grain | cultivar='Akitakomachi' | CO2->eco2_625_amb_425__y1999 | lvl_suffix=[] tp_suffix=['y1999'] | T_desc='Elevated CO2 ~625 ppm' C_desc='Ambient CO2 ~425 ppm' | unit='mg/kg' | src='Figure 1' || NOTE: cultivar='Akitakomachi' ; CO2 e=625 a=425 ; year='1999'->y1999,rebuild_2026-08-19/loladze
014_Lieffering_2004__ai__6,ai,014_Lieffering_2004,mineral_concentration,na,mn,grain,akitakomachi,eco2_625_amb_425__y1999,single_cell,ratio,ambient_co2,0.1429,,Figure 1,1,element='Mn'->mn | tissue='grain'->grain | cultivar='Akitakomachi' | CO2->eco2_625_amb_425__y1999 | lvl_suffix=[] tp_suffix=['y1999'] | T_desc='Elevated CO2 ~625 ppm' C_desc='Ambient CO2 ~425 ppm' | unit='mg/kg' | src='Figure 1' || NOTE: cultivar='Akitakomachi' ; CO2 e=625 a=425 ; year='1999'->y1999,rebuild_2026-08-19/loladze
014_Lieffering_2004__ai__7,ai,014_Lieffering_2004,mineral_concentration,na,fe,grain,akitakomachi,eco2_625_amb_425__y1999,single_cell,ratio,ambient_co2,0.4,,Figure 1,1,element='Fe'->fe | tissue='grain'->grain | cultivar='Akitakomachi' | CO2->eco2_625_amb_425__y1999 | lvl_suffix=[] tp_suffix=['y1999'] | T_desc='Elevated CO2 ~625 ppm' C_desc='Ambient CO2 ~425 ppm' | unit='mg/kg' | src='Figure 1' || NOTE: cultivar='Akitakomachi' ; CO2 e=625 a=425 ; year='1999'->y1999,rebuild_2026-08-19/loladze
014_Lieffering_2004__ai__8,ai,014_Lieffering_2004,mineral_concentration,na,cu,grain,akitakomachi,eco2_625_amb_425__y1999,single_cell,ratio,ambient_co2,0,,Figure 1,1,element='Cu'->cu | tissue='grain'->grain | cultivar='Akitakomachi' | CO2->eco2_625_amb_425__y1999 | lvl_suffix=[] tp_suffix=['y1999'] | T_desc='Elevated CO2 ~625 ppm' C_desc='Ambient CO2 ~425 ppm' | unit='mg/kg' | src='Figure 1' || NOTE: cultivar='Akitakomachi' ; CO2 e=625 a=425 ; year='1999'->y1999,rebuild_2026-08-19/loladze
014_Lieffering_2004__ai__9,ai,014_Lieffering_2004,mineral_concentration,na,b,grain,akitakomachi,eco2_625_amb_425__y1999,single_cell,ratio,ambient_co2,0.5,,Figure 1,1,element='B'->b | tissue='grain'->grain | cultivar='Akitakomachi' | CO2->eco2_625_amb_425__y1999 | lvl_suffix=[] tp_suffix=['y1999'] | T_desc='Elevated CO2 ~625 ppm' C_desc='Ambient CO2 ~425 ppm' | unit='mg/kg' | src='Figure 1' || NOTE: cultivar='Akitakomachi' ; CO2 e=625 a=425 ; year='1999'->y1999,rebuild_2026-08-19/loladze
014_Lieffering_2004__ai__10,ai,014_Lieffering_2004,mineral_concentration,na,mo,grain,akitakomachi,eco2_625_amb_425__y1999,single_cell,ratio,ambient_co2,0,,Figure 1,1,element='Mo'->mo | tissue='grain'->grain | cultivar='Akitakomachi' | CO2->eco2_625_amb_425__y1999 | lvl_suffix=[] tp_suffix=['y1999'] | T_desc='Elevated CO2 ~625 ppm' C_desc='Ambient CO2 ~425 ppm' | unit='mg/kg' | src='Figure 1' || NOTE: cultivar='Akitakomachi' ; CO2 e=625 a=425 ; year='1999'->y1999,rebuild_2026-08-19/loladze
014_Lieffering_2004__ai__11,ai,014_Lieffering_2004,mineral_concentration,na,se,grain,akitakomachi,eco2_625_amb_425__y1999,single_cell,ratio,ambient_co2,0,,Figure 1,1,element='Se'->se | tissue='grain'->grain | cultivar='Akitakomachi' | CO2->eco2_625_amb_425__y1999 | lvl_suffix=[] tp_suffix=['y1999'] | T_desc='Elevated CO2 ~625 ppm' C_desc='Ambient CO2 ~425 ppm' | unit='mg/kg' | src='Figure 1' || NOTE: cultivar='Akitakomachi' ; CO2 e=625 a=425 ; year='1999'->y1999,rebuild_2026-08-19/loladze
014_Lieffering_2004__ai__12,ai,014_Lieffering_2004,mineral_concentration,na,n,grain,akitakomachi,eco2_570_amb_370__y2000,single_cell,ratio,ambient_co2,-0.0897,,Figure 1,1,element='N'->n | tissue='grain'->grain | cultivar='Akitakomachi' | CO2->eco2_570_amb_370__y2000 | lvl_suffix=[] tp_suffix=['y2000'] | T_desc='Elevated CO2 ~570 ppm' C_desc='Ambient CO2 ~370 ppm' | unit='g/kg' | src='Figure 1' || NOTE: cultivar='Akitakomachi' ; CO2 e=570 a=370 ; year='2000'->y2000,rebuild_2026-08-19/loladze
014_Lieffering_2004__ai__13,ai,014_Lieffering_2004,mineral_concentration,na,p,grain,akitakomachi,eco2_570_amb_370__y2000,single_cell,ratio,ambient_co2,0.037,,Figure 1,1,element='P'->p | tissue='grain'->grain | cultivar='Akitakomachi' | CO2->eco2_570_amb_370__y2000 | lvl_suffix=[] tp_suffix=['y2000'] | T_desc='Elevated CO2 ~570 ppm' C_desc='Ambient CO2 ~370 ppm' | unit='g/kg' | src='Figure 1' || NOTE: cultivar='Akitakomachi' ; CO2 e=570 a=370 ; year='2000'->y2000,rebuild_2026-08-19/loladze
014_Lieffering_2004__ai__14,ai,014_Lieffering_2004,mineral_concentration,na,k,grain,akitakomachi,eco2_570_amb_370__y2000,single_cell,ratio,ambient_co2,0.0385,,Figure 1,1,element='K'->k | tissue='grain'->grain | cultivar='Akitakomachi' | CO2->eco2_570_amb_370__y2000 | lvl_suffix=[] tp_suffix=['y2000'] | T_desc='Elevated CO2 ~570 ppm' C_desc='Ambient CO2 ~370 ppm' | unit='g/kg' | src='Figure 1' || NOTE: cultivar='Akitakomachi' ; CO2 e=570 a=370 ; year='2000'->y2000,rebuild_2026-08-19/loladze
