row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
017_Fangmeier_2002__ai__0,ai,017_Fangmeier_2002,mineral_concentration,na,n,edible,,co2_unresolved,single_cell,ratio,ambient_co2,-0.0977,,Table 4,0,element='N'->n | tissue='tuber'->edible | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 680 ul/l' C_desc='Ambient CO2 (NF)' | unit='mg/g DM' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 680 ul/l' c='Ambient CO2 (NF)'),rebuild_2026-08-19/loladze
017_Fangmeier_2002__ai__1,ai,017_Fangmeier_2002,mineral_concentration,na,p,above_ground,,co2_unresolved,single_cell,ratio,ambient_co2,-0.108,,Table 4,0,element='P'->p | tissue='aboveground'->above_ground | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 680 ul/l' C_desc='Ambient CO2 (NF)' | unit='mg/g DM' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 680 ul/l' c='Ambient CO2 (NF)'),rebuild_2026-08-19/loladze
017_Fangmeier_2002__ai__2,ai,017_Fangmeier_2002,mineral_concentration,na,p,edible,,co2_unresolved,single_cell,ratio,ambient_co2,-0.1033,,Table 4,0,element='P'->p | tissue='tuber'->edible | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 680 ul/l' C_desc='Ambient CO2 (NF)' | unit='mg/g DM' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 680 ul/l' c='Ambient CO2 (NF)'),rebuild_2026-08-19/loladze
017_Fangmeier_2002__ai__3,ai,017_Fangmeier_2002,mineral_concentration,na,k,above_ground,,co2_unresolved,single_cell,ratio,ambient_co2,-0.0798,,Table 4,0,element='K'->k | tissue='aboveground'->above_ground | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 680 ul/l' C_desc='Ambient CO2 (NF)' | unit='mg/g DM' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 680 ul/l' c='Ambient CO2 (NF)'),rebuild_2026-08-19/loladze
017_Fangmeier_2002__ai__4,ai,017_Fangmeier_2002,mineral_concentration,na,k,edible,,co2_unresolved,single_cell,ratio,ambient_co2,-0.0524,,Table 4,0,element='K'->k | tissue='tuber'->edible | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 680 ul/l' C_desc='Ambient CO2 (NF)' | unit='mg/g DM' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 680 ul/l' c='Ambient CO2 (NF)'),rebuild_2026-08-19/loladze
017_Fangmeier_2002__ai__5,ai,017_Fangmeier_2002,mineral_concentration,na,ca,above_ground,,co2_unresolved,single_cell,ratio,ambient_co2,0.0299,,Table 4,0,element='Ca'->ca | tissue='aboveground'->above_ground | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 680 ul/l' C_desc='Ambient CO2 (NF)' | unit='mg/g DM' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 680 ul/l' c='Ambient CO2 (NF)'),rebuild_2026-08-19/loladze
017_Fangmeier_2002__ai__6,ai,017_Fangmeier_2002,mineral_concentration,na,ca,edible,,co2_unresolved,single_cell,ratio,ambient_co2,-0.2313,,Table 4,0,element='Ca'->ca | tissue='tuber'->edible | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 680 ul/l' C_desc='Ambient CO2 (NF)' | unit='mg/g DM' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 680 ul/l' c='Ambient CO2 (NF)'),rebuild_2026-08-19/loladze
017_Fangmeier_2002__ai__7,ai,017_Fangmeier_2002,mineral_concentration,na,mg,above_ground,,co2_unresolved,single_cell,ratio,ambient_co2,-0.0423,,Table 4,0,element='Mg'->mg | tissue='aboveground'->above_ground | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 680 ul/l' C_desc='Ambient CO2 (NF)' | unit='mg/g DM' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 680 ul/l' c='Ambient CO2 (NF)'),rebuild_2026-08-19/loladze
017_Fangmeier_2002__ai__8,ai,017_Fangmeier_2002,mineral_concentration,na,mg,edible,,co2_unresolved,single_cell,ratio,ambient_co2,-0.0885,,Table 4,0,element='Mg'->mg | tissue='tuber'->edible | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 680 ul/l' C_desc='Ambient CO2 (NF)' | unit='mg/g DM' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 680 ul/l' c='Ambient CO2 (NF)'),rebuild_2026-08-19/loladze
017_Fangmeier_2002__ai__9,ai,017_Fangmeier_2002,mineral_concentration,na,mn,above_ground,,co2_unresolved,single_cell,ratio,ambient_co2,0.1149,,Table 4,0,element='Mn'->mn | tissue='aboveground'->above_ground | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 680 ul/l' C_desc='Ambient CO2 (NF)' | unit='ug/g DM' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 680 ul/l' c='Ambient CO2 (NF)'),rebuild_2026-08-19/loladze
