row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
018_Al-Rawahy_2013__ai__0,ai,018_Al-Rawahy_2013,mineral_concentration,na,n,foliar,,co2_unresolved,single_cell,ratio,ambient_co2,0.04,,Table 3,0,element='N'->n | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 350 ppm' C_desc='Ambient CO2 (charcoal-filtered air)' | unit='mg/g dry weight' | src='Table 3' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 350 ppm' c='Ambient CO2 (charcoal-filtered air)'),rebuild_2026-08-19/loladze
018_Al-Rawahy_2013__ai__1,ai,018_Al-Rawahy_2013,mineral_concentration,na,n,foliar,,co2_unresolved,single_cell,ratio,ambient_co2,-0.0492,,Table 3,0,element='N'->n | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 400 ppm' C_desc='Ambient CO2 (charcoal-filtered air)' | unit='mg/g dry weight' | src='Table 3' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 400 ppm' c='Ambient CO2 (charcoal-filtered air)'),rebuild_2026-08-19/loladze
018_Al-Rawahy_2013__ai__2,ai,018_Al-Rawahy_2013,mineral_concentration,na,n,foliar,,co2_unresolved,single_cell,ratio,ambient_co2,-0.0308,,Table 3,0,element='N'->n | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 450 ppm' C_desc='Ambient CO2 (charcoal-filtered air)' | unit='mg/g dry weight' | src='Table 3' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 450 ppm' c='Ambient CO2 (charcoal-filtered air)'),rebuild_2026-08-19/loladze
018_Al-Rawahy_2013__ai__3,ai,018_Al-Rawahy_2013,mineral_concentration,na,k,foliar,,co2_unresolved,single_cell,ratio,ambient_co2,0.0106,,Table 3,0,element='K'->k | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 350 ppm' C_desc='Ambient CO2 (charcoal-filtered air)' | unit='mg/g dry weight' | src='Table 3' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 350 ppm' c='Ambient CO2 (charcoal-filtered air)'),rebuild_2026-08-19/loladze
018_Al-Rawahy_2013__ai__4,ai,018_Al-Rawahy_2013,mineral_concentration,na,k,foliar,,co2_unresolved,single_cell,ratio,ambient_co2,-0.0979,,Table 3,0,element='K'->k | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 400 ppm' C_desc='Ambient CO2 (charcoal-filtered air)' | unit='mg/g dry weight' | src='Table 3' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 400 ppm' c='Ambient CO2 (charcoal-filtered air)'),rebuild_2026-08-19/loladze
018_Al-Rawahy_2013__ai__5,ai,018_Al-Rawahy_2013,mineral_concentration,na,k,foliar,,co2_unresolved,single_cell,ratio,ambient_co2,-0.1111,,Table 3,0,element='K'->k | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 450 ppm' C_desc='Ambient CO2 (charcoal-filtered air)' | unit='mg/g dry weight' | src='Table 3' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 450 ppm' c='Ambient CO2 (charcoal-filtered air)'),rebuild_2026-08-19/loladze
018_Al-Rawahy_2013__ai__6,ai,018_Al-Rawahy_2013,mineral_concentration,na,p,foliar,,co2_unresolved,single_cell,ratio,ambient_co2,-0.0222,,Table 3,0,element='P'->p | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 350 ppm' C_desc='Ambient CO2 (charcoal-filtered air)' | unit='mg/g dry weight' | src='Table 3' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 350 ppm' c='Ambient CO2 (charcoal-filtered air)'),rebuild_2026-08-19/loladze
018_Al-Rawahy_2013__ai__7,ai,018_Al-Rawahy_2013,mineral_concentration,na,p,foliar,,co2_unresolved,single_cell,ratio,ambient_co2,0.0889,,Table 3,0,element='P'->p | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 400 ppm' C_desc='Ambient CO2 (charcoal-filtered air)' | unit='mg/g dry weight' | src='Table 3' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 400 ppm' c='Ambient CO2 (charcoal-filtered air)'),rebuild_2026-08-19/loladze
018_Al-Rawahy_2013__ai__8,ai,018_Al-Rawahy_2013,mineral_concentration,na,p,foliar,,co2_unresolved,single_cell,ratio,ambient_co2,0.1333,,Table 3,0,element='P'->p | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 450 ppm' C_desc='Ambient CO2 (charcoal-filtered air)' | unit='mg/g dry weight' | src='Table 3' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 450 ppm' c='Ambient CO2 (charcoal-filtered air)'),rebuild_2026-08-19/loladze
018_Al-Rawahy_2013__ai__9,ai,018_Al-Rawahy_2013,mineral_concentration,na,ca,foliar,,co2_unresolved,single_cell,ratio,ambient_co2,0.0342,,Table 3,0,element='Ca'->ca | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 350 ppm' C_desc='Ambient CO2 (charcoal-filtered air)' | unit='mg/g dry weight' | src='Table 3' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 350 ppm' c='Ambient CO2 (charcoal-filtered air)'),rebuild_2026-08-19/loladze
