row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
019_Baxter_1994__ai__0,ai,019_Baxter_1994,mineral_concentration,na,n,above_ground,agrostis_capillaris,eco2_680_amb_340,single_cell,ratio,ambient_co2,1.2184,,Table 1,0,element='N'->n | tissue='whole plant'->above_ground | species='Agrostis capillaris' | CO2->eco2_680_amb_340 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 680 umol/mol' C_desc='Ambient CO2 340 umol/mol' | unit='mg plant-1' | src='Table 1' || NOTE: species='Agrostis capillaris' ; CO2 e=680 a=340,rebuild_2026-08-19/loladze
019_Baxter_1994__ai__1,ai,019_Baxter_1994,mineral_concentration,na,p,above_ground,agrostis_capillaris,eco2_680_amb_340,single_cell,ratio,ambient_co2,1.931,,Table 1,0,element='P'->p | tissue='whole plant'->above_ground | species='Agrostis capillaris' | CO2->eco2_680_amb_340 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 680 umol/mol' C_desc='Ambient CO2 340 umol/mol' | unit='mg plant-1' | src='Table 1' || NOTE: species='Agrostis capillaris' ; CO2 e=680 a=340,rebuild_2026-08-19/loladze
019_Baxter_1994__ai__2,ai,019_Baxter_1994,mineral_concentration,na,k,above_ground,agrostis_capillaris,eco2_680_amb_340,single_cell,ratio,ambient_co2,1.3504,,Table 1,0,element='K'->k | tissue='whole plant'->above_ground | species='Agrostis capillaris' | CO2->eco2_680_amb_340 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 680 umol/mol' C_desc='Ambient CO2 340 umol/mol' | unit='mg plant-1' | src='Table 1' || NOTE: species='Agrostis capillaris' ; CO2 e=680 a=340,rebuild_2026-08-19/loladze
019_Baxter_1994__ai__3,ai,019_Baxter_1994,mineral_concentration,na,mg,above_ground,agrostis_capillaris,eco2_680_amb_340,single_cell,ratio,ambient_co2,0.8235,,Table 1,0,element='Mg'->mg | tissue='whole plant'->above_ground | species='Agrostis capillaris' | CO2->eco2_680_amb_340 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 680 umol/mol' C_desc='Ambient CO2 340 umol/mol' | unit='mg plant-1' | src='Table 1' || NOTE: species='Agrostis capillaris' ; CO2 e=680 a=340,rebuild_2026-08-19/loladze
019_Baxter_1994__ai__4,ai,019_Baxter_1994,mineral_concentration,na,ca,above_ground,agrostis_capillaris,eco2_680_amb_340,single_cell,ratio,ambient_co2,1.75,,Table 1,0,element='Ca'->ca | tissue='whole plant'->above_ground | species='Agrostis capillaris' | CO2->eco2_680_amb_340 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 680 umol/mol' C_desc='Ambient CO2 340 umol/mol' | unit='mg plant-1' | src='Table 1' || NOTE: species='Agrostis capillaris' ; CO2 e=680 a=340,rebuild_2026-08-19/loladze
019_Baxter_1994__ai__5,ai,019_Baxter_1994,mineral_concentration,na,n,above_ground,poa_alpina,eco2_680_amb_340,single_cell,ratio,ambient_co2,0.1292,,Table 1,0,element='N'->n | tissue='whole plant'->above_ground | species='Poa alpina' | CO2->eco2_680_amb_340 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 680 umol/mol' C_desc='Ambient CO2 340 umol/mol' | unit='mg plant-1' | src='Table 1' || NOTE: species='Poa alpina' ; CO2 e=680 a=340,rebuild_2026-08-19/loladze
019_Baxter_1994__ai__6,ai,019_Baxter_1994,mineral_concentration,na,p,above_ground,poa_alpina,eco2_680_amb_340,single_cell,ratio,ambient_co2,0.2251,,Table 1,0,element='P'->p | tissue='whole plant'->above_ground | species='Poa alpina' | CO2->eco2_680_amb_340 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 680 umol/mol' C_desc='Ambient CO2 340 umol/mol' | unit='mg plant-1' | src='Table 1' || NOTE: species='Poa alpina' ; CO2 e=680 a=340,rebuild_2026-08-19/loladze
019_Baxter_1994__ai__7,ai,019_Baxter_1994,mineral_concentration,na,k,above_ground,poa_alpina,eco2_680_amb_340,single_cell,ratio,ambient_co2,0.1464,,Table 1,0,element='K'->k | tissue='whole plant'->above_ground | species='Poa alpina' | CO2->eco2_680_amb_340 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 680 umol/mol' C_desc='Ambient CO2 340 umol/mol' | unit='mg plant-1' | src='Table 1' || NOTE: species='Poa alpina' ; CO2 e=680 a=340,rebuild_2026-08-19/loladze
019_Baxter_1994__ai__8,ai,019_Baxter_1994,mineral_concentration,na,mg,above_ground,poa_alpina,eco2_680_amb_340,single_cell,ratio,ambient_co2,0.2536,,Table 1,0,element='Mg'->mg | tissue='whole plant'->above_ground | species='Poa alpina' | CO2->eco2_680_amb_340 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 680 umol/mol' C_desc='Ambient CO2 340 umol/mol' | unit='mg plant-1' | src='Table 1' || NOTE: species='Poa alpina' ; CO2 e=680 a=340,rebuild_2026-08-19/loladze
019_Baxter_1994__ai__9,ai,019_Baxter_1994,mineral_concentration,na,ca,above_ground,poa_alpina,eco2_680_amb_340,single_cell,ratio,ambient_co2,-0.479,,Table 1,0,element='Ca'->ca | tissue='whole plant'->above_ground | species='Poa alpina' | CO2->eco2_680_amb_340 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 680 umol/mol' C_desc='Ambient CO2 340 umol/mol' | unit='mg plant-1' | src='Table 1' || NOTE: species='Poa alpina' ; CO2 e=680 a=340,rebuild_2026-08-19/loladze
019_Baxter_1994__ai__10,ai,019_Baxter_1994,mineral_concentration,na,n,above_ground,festuca_vivipara,eco2_680_amb_340,single_cell,ratio,ambient_co2,-0.7283,,Table 1,0,element='N'->n | tissue='whole plant'->above_ground | species='Festuca vivipara' | CO2->eco2_680_amb_340 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 680 umol/mol' C_desc='Ambient CO2 340 umol/mol' | unit='mg plant-1' | src='Table 1' || NOTE: species='Festuca vivipara' ; CO2 e=680 a=340,rebuild_2026-08-19/loladze
