row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
020_Overdieck_1993__ai__0,ai,020_Overdieck_1993,mineral_concentration,na,n,above_ground,acer_pseudoplatanus,eco2_520_amb_390,single_cell,ratio,ambient_co2,-0.1016,,Table 4,0,element='N'->n | tissue='whole plant'->above_ground | species='Acer pseudoplatanus' | CO2->eco2_520_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='520 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='%' | src='Table 4' || NOTE: species='Acer pseudoplatanus' ; CO2 e=520 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__1,ai,020_Overdieck_1993,mineral_concentration,na,n,above_ground,acer_pseudoplatanus,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.1719,,Table 4,0,element='N'->n | tissue='whole plant'->above_ground | species='Acer pseudoplatanus' | CO2->eco2_650_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='650 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='%' | src='Table 4' || NOTE: species='Acer pseudoplatanus' ; CO2 e=650 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__2,ai,020_Overdieck_1993,mineral_concentration,na,p,above_ground,acer_pseudoplatanus,eco2_520_amb_390,single_cell,ratio,ambient_co2,-0.0667,,Table 4,0,element='P'->p | tissue='whole plant'->above_ground | species='Acer pseudoplatanus' | CO2->eco2_520_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='520 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='%' | src='Table 4' || NOTE: species='Acer pseudoplatanus' ; CO2 e=520 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__3,ai,020_Overdieck_1993,mineral_concentration,na,p,above_ground,acer_pseudoplatanus,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.0667,,Table 4,0,element='P'->p | tissue='whole plant'->above_ground | species='Acer pseudoplatanus' | CO2->eco2_650_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='650 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='%' | src='Table 4' || NOTE: species='Acer pseudoplatanus' ; CO2 e=650 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__4,ai,020_Overdieck_1993,mineral_concentration,na,k,above_ground,acer_pseudoplatanus,eco2_520_amb_390,single_cell,ratio,ambient_co2,-0.0565,,Table 4,0,element='K'->k | tissue='whole plant'->above_ground | species='Acer pseudoplatanus' | CO2->eco2_520_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='520 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='%' | src='Table 4' || NOTE: species='Acer pseudoplatanus' ; CO2 e=520 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__5,ai,020_Overdieck_1993,mineral_concentration,na,k,above_ground,acer_pseudoplatanus,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.0968,,Table 4,0,element='K'->k | tissue='whole plant'->above_ground | species='Acer pseudoplatanus' | CO2->eco2_650_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='650 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='%' | src='Table 4' || NOTE: species='Acer pseudoplatanus' ; CO2 e=650 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__6,ai,020_Overdieck_1993,mineral_concentration,na,ca,above_ground,acer_pseudoplatanus,eco2_520_amb_390,single_cell,ratio,ambient_co2,-0.0333,,Table 4,0,element='Ca'->ca | tissue='whole plant'->above_ground | species='Acer pseudoplatanus' | CO2->eco2_520_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='520 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='%' | src='Table 4' || NOTE: species='Acer pseudoplatanus' ; CO2 e=520 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__7,ai,020_Overdieck_1993,mineral_concentration,na,ca,above_ground,acer_pseudoplatanus,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.1111,,Table 4,0,element='Ca'->ca | tissue='whole plant'->above_ground | species='Acer pseudoplatanus' | CO2->eco2_650_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='650 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='%' | src='Table 4' || NOTE: species='Acer pseudoplatanus' ; CO2 e=650 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__8,ai,020_Overdieck_1993,mineral_concentration,na,mg,above_ground,acer_pseudoplatanus,eco2_520_amb_390,single_cell,ratio,ambient_co2,-0.0455,,Table 4,0,element='Mg'->mg | tissue='whole plant'->above_ground | species='Acer pseudoplatanus' | CO2->eco2_520_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='520 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='%' | src='Table 4' || NOTE: species='Acer pseudoplatanus' ; CO2 e=520 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__9,ai,020_Overdieck_1993,mineral_concentration,na,mg,above_ground,acer_pseudoplatanus,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.0909,,Table 4,0,element='Mg'->mg | tissue='whole plant'->above_ground | species='Acer pseudoplatanus' | CO2->eco2_650_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='650 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='%' | src='Table 4' || NOTE: species='Acer pseudoplatanus' ; CO2 e=650 a=390,rebuild_2026-08-19/loladze
020_Overdieck_1993__ai__10,ai,020_Overdieck_1993,mineral_concentration,na,mn,above_ground,acer_pseudoplatanus,eco2_520_amb_390,single_cell,ratio,ambient_co2,-0.1166,,Table 4,0,element='Mn'->mn | tissue='whole plant'->above_ground | species='Acer pseudoplatanus' | CO2->eco2_520_amb_390 | lvl_suffix=[] tp_suffix=[] | T_desc='520 umol/mol CO2' C_desc='390 umol/mol CO2' | unit='ppm' | src='Table 4' || NOTE: species='Acer pseudoplatanus' ; CO2 e=520 a=390,rebuild_2026-08-19/loladze
