row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
022_Blank_2011__ai__0,ai,022_Blank_2011,mineral_concentration,na,n,above_ground,pooled,pooled,pooled,ratio,ambient_co2,-0.125,,Table 2,0,element='N'->n | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='%' | src='Table 2' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__1,ai,022_Blank_2011,mineral_concentration,na,n,above_ground,pooled,pooled,pooled,ratio,ambient_co2,0,,Table 2,0,element='N'->n | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='%' | src='Table 2' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__2,ai,022_Blank_2011,mineral_concentration,na,n,above_ground,pooled,pooled,pooled,ratio,ambient_co2,-0.1064,,Table 2,0,element='N'->n | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='%' | src='Table 2' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__3,ai,022_Blank_2011,mineral_concentration,na,n,above_ground,pooled,pooled,pooled,ratio,ambient_co2,0.08,,Table 2,0,element='N'->n | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='%' | src='Table 2' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__4,ai,022_Blank_2011,mineral_concentration,na,c,above_ground,pooled,pooled,pooled,ratio,ambient_co2,0.0769,,Table 2,0,element='C'->c | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='%' | src='Table 2' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__5,ai,022_Blank_2011,mineral_concentration,na,c,above_ground,pooled,pooled,pooled,ratio,ambient_co2,0.0233,,Table 2,0,element='C'->c | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='%' | src='Table 2' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__6,ai,022_Blank_2011,mineral_concentration,na,c,above_ground,pooled,pooled,pooled,ratio,ambient_co2,-0.0202,,Table 2,0,element='C'->c | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='%' | src='Table 2' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__7,ai,022_Blank_2011,mineral_concentration,na,c,above_ground,pooled,pooled,pooled,ratio,ambient_co2,-0.0058,,Table 2,0,element='C'->c | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='%' | src='Table 2' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__8,ai,022_Blank_2011,mineral_concentration,na,p,above_ground,pooled,pooled,pooled,ratio,ambient_co2,-0.2917,,Table 3,0,element='P'->p | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='mol/kg' | src='Table 3' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__9,ai,022_Blank_2011,mineral_concentration,na,p,above_ground,pooled,pooled,pooled,ratio,ambient_co2,-0.2222,,Table 3,0,element='P'->p | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='mol/kg' | src='Table 3' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
022_Blank_2011__ai__10,ai,022_Blank_2011,mineral_concentration,na,p,above_ground,pooled,pooled,pooled,ratio,ambient_co2,-0.1176,,Table 3,0,element='P'->p | tissue='above ground'->above_ground | ecotype='pooled' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='420 ppmv CO2' C_desc='270 ppmv CO2' | unit='mol/kg' | src='Table 3' || NOTE: ecotype='pooled' [pooled] ; CO2 e=420 a=270 ; ecotype='pooled',rebuild_2026-08-19/loladze
