row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
025_Guo_2011__ai__0,ai,025_Guo_2011,mineral_concentration,na,cu,above_ground,wuxiangjing_14,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.091,,Figure 1a,1,element='Cu'->cu | tissue='shoot'->above_ground | cultivar='Wuxiangjing 14' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~570 ppm' C_desc='Ambient CO2 ~370 ppm' | unit='mg/kg' | src='Figure 1a' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Wuxiangjing 14' ; CO2 e=570 a=370,rebuild_2026-08-19/loladze
025_Guo_2011__ai__1,ai,025_Guo_2011,mineral_concentration,na,cu,above_ground,wuxiangjing_14,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.231,,Figure 1a,1,element='Cu'->cu | tissue='shoot'->above_ground | cultivar='Wuxiangjing 14' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~570 ppm' C_desc='Ambient CO2 ~370 ppm' | unit='mg/kg' | src='Figure 1a' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Wuxiangjing 14' ; CO2 e=570 a=370,rebuild_2026-08-19/loladze
025_Guo_2011__ai__2,ai,025_Guo_2011,mineral_concentration,na,cu,above_ground,wuxiangjing_14,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.231,,Figure 1a,1,element='Cu'->cu | tissue='shoot'->above_ground | cultivar='Wuxiangjing 14' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~570 ppm' C_desc='Ambient CO2 ~370 ppm' | unit='mg/kg' | src='Figure 1a' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Wuxiangjing 14' ; CO2 e=570 a=370,rebuild_2026-08-19/loladze
025_Guo_2011__ai__3,ai,025_Guo_2011,mineral_concentration,na,cu,above_ground,wuxiangjing_14,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.091,,Figure 1b,1,element='Cu'->cu | tissue='shoot'->above_ground | cultivar='Wuxiangjing 14' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~570 ppm' C_desc='Ambient CO2 ~370 ppm' | unit='mg/kg' | src='Figure 1b' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Wuxiangjing 14' ; CO2 e=570 a=370,rebuild_2026-08-19/loladze
025_Guo_2011__ai__4,ai,025_Guo_2011,mineral_concentration,na,cu,above_ground,wuxiangjing_14,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.222,,Figure 1b,1,element='Cu'->cu | tissue='shoot'->above_ground | cultivar='Wuxiangjing 14' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~570 ppm' C_desc='Ambient CO2 ~370 ppm' | unit='mg/kg' | src='Figure 1b' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Wuxiangjing 14' ; CO2 e=570 a=370,rebuild_2026-08-19/loladze
025_Guo_2011__ai__5,ai,025_Guo_2011,mineral_concentration,na,cu,above_ground,wuxiangjing_14,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.065,,Figure 1b,1,element='Cu'->cu | tissue='shoot'->above_ground | cultivar='Wuxiangjing 14' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~570 ppm' C_desc='Ambient CO2 ~370 ppm' | unit='mg/kg' | src='Figure 1b' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Wuxiangjing 14' ; CO2 e=570 a=370,rebuild_2026-08-19/loladze
025_Guo_2011__ai__6,ai,025_Guo_2011,mineral_concentration,na,cu,above_ground,wuxiangjing_14,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.341,,Figure 1c,1,element='Cu'->cu | tissue='shoot'->above_ground | cultivar='Wuxiangjing 14' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~570 ppm' C_desc='Ambient CO2 ~370 ppm' | unit='mg/kg' | src='Figure 1c' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Wuxiangjing 14' ; CO2 e=570 a=370,rebuild_2026-08-19/loladze
025_Guo_2011__ai__7,ai,025_Guo_2011,mineral_concentration,na,cu,above_ground,wuxiangjing_14,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.16,,Figure 1c,1,element='Cu'->cu | tissue='shoot'->above_ground | cultivar='Wuxiangjing 14' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~570 ppm' C_desc='Ambient CO2 ~370 ppm' | unit='mg/kg' | src='Figure 1c' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Wuxiangjing 14' ; CO2 e=570 a=370,rebuild_2026-08-19/loladze
025_Guo_2011__ai__8,ai,025_Guo_2011,mineral_concentration,na,cu,above_ground,wuxiangjing_14,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.198,,Figure 1c,1,element='Cu'->cu | tissue='shoot'->above_ground | cultivar='Wuxiangjing 14' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~570 ppm' C_desc='Ambient CO2 ~370 ppm' | unit='mg/kg' | src='Figure 1c' || NOTE: shoot/stem-class -> above_ground (GT convention) ; cultivar='Wuxiangjing 14' ; CO2 e=570 a=370,rebuild_2026-08-19/loladze
025_Guo_2011__ai__9,ai,025_Guo_2011,mineral_concentration,na,cu,grain,wuxiangjing_14,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.063,,Figure 1d,1,element='Cu'->cu | tissue='grain'->grain | cultivar='Wuxiangjing 14' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~570 ppm' C_desc='Ambient CO2 ~370 ppm' | unit='mg/kg' | src='Figure 1d' || NOTE: cultivar='Wuxiangjing 14' ; CO2 e=570 a=370,rebuild_2026-08-19/loladze
025_Guo_2011__ai__10,ai,025_Guo_2011,mineral_concentration,na,cu,grain,wuxiangjing_14,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.083,,Figure 1d,1,element='Cu'->cu | tissue='grain'->grain | cultivar='Wuxiangjing 14' | CO2->eco2_570_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 ~570 ppm' C_desc='Ambient CO2 ~370 ppm' | unit='mg/kg' | src='Figure 1d' || NOTE: cultivar='Wuxiangjing 14' ; CO2 e=570 a=370,rebuild_2026-08-19/loladze
