row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
026_Seneweera_1997__ai__0,ai,026_Seneweera_1997,mineral_concentration,na,p,foliar,,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.6667,,Table 1,0,element='P'->p | tissue='sheath'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='700 uL CO2/L' C_desc='350 uL CO2/L' | unit='g/kg dwt' | src='Table 1' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350,rebuild_2026-08-19/loladze
026_Seneweera_1997__ai__1,ai,026_Seneweera_1997,mineral_concentration,na,ca,foliar,,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.0139,,Table 1,0,element='Ca'->ca | tissue='sheath'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='700 uL CO2/L' C_desc='350 uL CO2/L' | unit='g/kg dwt' | src='Table 1' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350,rebuild_2026-08-19/loladze
026_Seneweera_1997__ai__2,ai,026_Seneweera_1997,mineral_concentration,na,n,foliar,,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.2824,,Table 1,0,element='N'->n | tissue='sheath'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='700 uL CO2/L' C_desc='350 uL CO2/L' | unit='g/kg dwt' | src='Table 1' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350,rebuild_2026-08-19/loladze
026_Seneweera_1997__ai__3,ai,026_Seneweera_1997,mineral_concentration,na,zn,foliar,,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.5122,,Table 1,0,element='Zn'->zn | tissue='sheath'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='700 uL CO2/L' C_desc='350 uL CO2/L' | unit='mg/kg dwt' | src='Table 1' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350,rebuild_2026-08-19/loladze
026_Seneweera_1997__ai__4,ai,026_Seneweera_1997,mineral_concentration,na,p,foliar,,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.375,,Table 1,0,element='P'->p | tissue='sheath'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='700 uL CO2/L' C_desc='350 uL CO2/L' | unit='g/kg dwt' | src='Table 1' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350,rebuild_2026-08-19/loladze
026_Seneweera_1997__ai__5,ai,026_Seneweera_1997,mineral_concentration,na,ca,foliar,,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.0468,,Table 1,0,element='Ca'->ca | tissue='sheath'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='700 uL CO2/L' C_desc='350 uL CO2/L' | unit='g/kg dwt' | src='Table 1' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350,rebuild_2026-08-19/loladze
026_Seneweera_1997__ai__6,ai,026_Seneweera_1997,mineral_concentration,na,n,foliar,,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.3286,,Table 1,0,element='N'->n | tissue='sheath'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='700 uL CO2/L' C_desc='350 uL CO2/L' | unit='g/kg dwt' | src='Table 1' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350,rebuild_2026-08-19/loladze
026_Seneweera_1997__ai__7,ai,026_Seneweera_1997,mineral_concentration,na,zn,foliar,,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.2642,,Table 1,0,element='Zn'->zn | tissue='sheath'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='700 uL CO2/L' C_desc='350 uL CO2/L' | unit='mg/kg dwt' | src='Table 1' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350,rebuild_2026-08-19/loladze
026_Seneweera_1997__ai__8,ai,026_Seneweera_1997,mineral_concentration,na,p,foliar,,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.0909,,Table 1,0,element='P'->p | tissue='sheath'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='700 uL CO2/L' C_desc='350 uL CO2/L' | unit='g/kg dwt' | src='Table 1' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350,rebuild_2026-08-19/loladze
026_Seneweera_1997__ai__9,ai,026_Seneweera_1997,mineral_concentration,na,ca,foliar,,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.085,,Table 1,0,element='Ca'->ca | tissue='sheath'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='700 uL CO2/L' C_desc='350 uL CO2/L' | unit='g/kg dwt' | src='Table 1' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=350,rebuild_2026-08-19/loladze
