row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
027_Peet_1986__ai__0,ai,027_Peet_1986,mineral_concentration,na,n,foliar,cucumis_sativus_cv_chipper,eco2_1000_amb_350,single_cell,ratio,ambient_co2,-0.1273,,Figure 4,1,element='N'->n | tissue='leaf'->foliar | species='Cucumis sativus cv Chipper' | CO2->eco2_1000_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 ul/L CO2' C_desc='350 ul/L CO2' | unit='% dry weight' | src='Figure 4' || NOTE: species='Cucumis sativus cv Chipper' ; CO2 e=1000 a=350,rebuild_2026-08-19/loladze
027_Peet_1986__ai__1,ai,027_Peet_1986,mineral_concentration,na,n,foliar,cucumis_sativus_cv_chipper,eco2_1000_amb_350,single_cell,ratio,ambient_co2,-0.2308,,Figure 4,1,element='N'->n | tissue='leaf'->foliar | species='Cucumis sativus cv Chipper' | CO2->eco2_1000_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 ul/L CO2' C_desc='350 ul/L CO2' | unit='% dry weight' | src='Figure 4' || NOTE: species='Cucumis sativus cv Chipper' ; CO2 e=1000 a=350,rebuild_2026-08-19/loladze
027_Peet_1986__ai__2,ai,027_Peet_1986,mineral_concentration,na,n,foliar,cucumis_sativus_cv_chipper,eco2_1000_amb_350,single_cell,ratio,ambient_co2,0,,Figure 4,1,element='N'->n | tissue='leaf'->foliar | species='Cucumis sativus cv Chipper' | CO2->eco2_1000_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 ul/L CO2' C_desc='350 ul/L CO2' | unit='% dry weight' | src='Figure 4' || NOTE: species='Cucumis sativus cv Chipper' ; CO2 e=1000 a=350,rebuild_2026-08-19/loladze
027_Peet_1986__ai__3,ai,027_Peet_1986,mineral_concentration,na,p,foliar,cucumis_sativus_cv_chipper,eco2_1000_amb_350,single_cell,ratio,ambient_co2,-0.2143,,Figure 4,1,element='P'->p | tissue='leaf'->foliar | species='Cucumis sativus cv Chipper' | CO2->eco2_1000_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 ul/L CO2' C_desc='350 ul/L CO2' | unit='% dry weight' | src='Figure 4' || NOTE: species='Cucumis sativus cv Chipper' ; CO2 e=1000 a=350,rebuild_2026-08-19/loladze
027_Peet_1986__ai__4,ai,027_Peet_1986,mineral_concentration,na,p,foliar,cucumis_sativus_cv_chipper,eco2_1000_amb_350,single_cell,ratio,ambient_co2,-0.1667,,Figure 4,1,element='P'->p | tissue='leaf'->foliar | species='Cucumis sativus cv Chipper' | CO2->eco2_1000_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 ul/L CO2' C_desc='350 ul/L CO2' | unit='% dry weight' | src='Figure 4' || NOTE: species='Cucumis sativus cv Chipper' ; CO2 e=1000 a=350,rebuild_2026-08-19/loladze
027_Peet_1986__ai__5,ai,027_Peet_1986,mineral_concentration,na,p,foliar,cucumis_sativus_cv_chipper,eco2_1000_amb_350,single_cell,ratio,ambient_co2,0,,Figure 4,1,element='P'->p | tissue='leaf'->foliar | species='Cucumis sativus cv Chipper' | CO2->eco2_1000_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 ul/L CO2' C_desc='350 ul/L CO2' | unit='% dry weight' | src='Figure 4' || NOTE: species='Cucumis sativus cv Chipper' ; CO2 e=1000 a=350,rebuild_2026-08-19/loladze
027_Peet_1986__ai__6,ai,027_Peet_1986,mineral_concentration,na,k,foliar,cucumis_sativus_cv_chipper,eco2_1000_amb_350,single_cell,ratio,ambient_co2,-0.16,,Figure 4,1,element='K'->k | tissue='leaf'->foliar | species='Cucumis sativus cv Chipper' | CO2->eco2_1000_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 ul/L CO2' C_desc='350 ul/L CO2' | unit='% dry weight' | src='Figure 4' || NOTE: species='Cucumis sativus cv Chipper' ; CO2 e=1000 a=350,rebuild_2026-08-19/loladze
027_Peet_1986__ai__7,ai,027_Peet_1986,mineral_concentration,na,k,foliar,cucumis_sativus_cv_chipper,eco2_1000_amb_350,single_cell,ratio,ambient_co2,-0.1556,,Figure 4,1,element='K'->k | tissue='leaf'->foliar | species='Cucumis sativus cv Chipper' | CO2->eco2_1000_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 ul/L CO2' C_desc='350 ul/L CO2' | unit='% dry weight' | src='Figure 4' || NOTE: species='Cucumis sativus cv Chipper' ; CO2 e=1000 a=350,rebuild_2026-08-19/loladze
027_Peet_1986__ai__8,ai,027_Peet_1986,mineral_concentration,na,k,foliar,cucumis_sativus_cv_chipper,eco2_1000_amb_350,single_cell,ratio,ambient_co2,0,,Figure 4,1,element='K'->k | tissue='leaf'->foliar | species='Cucumis sativus cv Chipper' | CO2->eco2_1000_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 ul/L CO2' C_desc='350 ul/L CO2' | unit='% dry weight' | src='Figure 4' || NOTE: species='Cucumis sativus cv Chipper' ; CO2 e=1000 a=350,rebuild_2026-08-19/loladze
027_Peet_1986__ai__9,ai,027_Peet_1986,mineral_concentration,na,ca,foliar,cucumis_sativus_cv_chipper,eco2_1000_amb_350,single_cell,ratio,ambient_co2,-0.4444,,Figure 4,1,element='Ca'->ca | tissue='leaf'->foliar | species='Cucumis sativus cv Chipper' | CO2->eco2_1000_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 ul/L CO2' C_desc='350 ul/L CO2' | unit='% dry weight' | src='Figure 4' || NOTE: species='Cucumis sativus cv Chipper' ; CO2 e=1000 a=350,rebuild_2026-08-19/loladze
