row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
029_Kuehny_1991__ai__0,ai,029_Kuehny_1991,mineral_concentration,na,n,foliar,norland_denali_russet_burbank,pooled,pooled,ratio,ambient_co2,-0.027397,,Table 2,0,element='N (% dry weight)'->n | tissue='leaf'->foliar | cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (1000 μmol mol⁻¹)' C_desc='Ambient CO2 (500 μmol mol⁻¹)' | unit='% dry weight' | src='Table 2' || NOTE: cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] ; CO2 e=1000 a=500 ; cultivar='Norland/Denali/Russet Burbank (pooled)',ai-decode-v3
029_Kuehny_1991__ai__1,ai,029_Kuehny_1991,mineral_concentration,na,n,foliar,norland_denali_russet_burbank,pooled,pooled,ratio,ambient_co2,-0.09589,,Table 2,0,element='N (% dry weight)'->n | tissue='leaf'->foliar | cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (1500 μmol mol⁻¹)' C_desc='Ambient CO2 (500 μmol mol⁻¹)' | unit='% dry weight' | src='Table 2' || NOTE: cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] ; CO2 e=1500 a=500 ; cultivar='Norland/Denali/Russet Burbank (pooled)',ai-decode-v3
029_Kuehny_1991__ai__2,ai,029_Kuehny_1991,mineral_concentration,na,n,foliar,norland_denali_russet_burbank,pooled,pooled,ratio,ambient_co2,0.111546,,Table 2,0,element='N (% dry weight)'->n | tissue='leaf'->foliar | cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (2000 μmol mol⁻¹)' C_desc='Ambient CO2 (500 μmol mol⁻¹)' | unit='% dry weight' | src='Table 2' || NOTE: cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] ; CO2 e=2000 a=500 ; cultivar='Norland/Denali/Russet Burbank (pooled)',ai-decode-v3
029_Kuehny_1991__ai__3,ai,029_Kuehny_1991,mineral_concentration,na,p,foliar,norland_denali_russet_burbank,pooled,pooled,ratio,ambient_co2,-0.289474,,Table 2,0,element='P (% dry weight)'->p | tissue='leaf'->foliar | cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (1000 μmol mol⁻¹)' C_desc='Ambient CO2 (500 μmol mol⁻¹)' | unit='% dry weight' | src='Table 2' || NOTE: cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] ; CO2 e=1000 a=500 ; cultivar='Norland/Denali/Russet Burbank (pooled)',ai-decode-v3
029_Kuehny_1991__ai__4,ai,029_Kuehny_1991,mineral_concentration,na,p,foliar,norland_denali_russet_burbank,pooled,pooled,ratio,ambient_co2,-0.042105,,Table 2,0,element='P (% dry weight)'->p | tissue='leaf'->foliar | cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (2000 μmol mol⁻¹)' C_desc='Ambient CO2 (500 μmol mol⁻¹)' | unit='% dry weight' | src='Table 2' || NOTE: cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] ; CO2 e=2000 a=500 ; cultivar='Norland/Denali/Russet Burbank (pooled)',ai-decode-v3
029_Kuehny_1991__ai__5,ai,029_Kuehny_1991,mineral_concentration,na,k,foliar,norland_denali_russet_burbank,pooled,pooled,ratio,ambient_co2,-0.098456,,Table 2,0,element='K (% dry weight)'->k | tissue='leaf'->foliar | cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (1000 μmol mol⁻¹)' C_desc='Ambient CO2 (500 μmol mol⁻¹)' | unit='% dry weight' | src='Table 2' || NOTE: cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] ; CO2 e=1000 a=500 ; cultivar='Norland/Denali/Russet Burbank (pooled)',ai-decode-v3
029_Kuehny_1991__ai__6,ai,029_Kuehny_1991,mineral_concentration,na,k,foliar,norland_denali_russet_burbank,pooled,pooled,ratio,ambient_co2,0.052124,,Table 2,0,element='K (% dry weight)'->k | tissue='leaf'->foliar | cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (1500 μmol mol⁻¹)' C_desc='Ambient CO2 (500 μmol mol⁻¹)' | unit='% dry weight' | src='Table 2' || NOTE: cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] ; CO2 e=1500 a=500 ; cultivar='Norland/Denali/Russet Burbank (pooled)',ai-decode-v3
029_Kuehny_1991__ai__7,ai,029_Kuehny_1991,mineral_concentration,na,k,foliar,norland_denali_russet_burbank,pooled,pooled,ratio,ambient_co2,0.111969,,Table 2,0,element='K (% dry weight)'->k | tissue='leaf'->foliar | cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (2000 μmol mol⁻¹)' C_desc='Ambient CO2 (500 μmol mol⁻¹)' | unit='% dry weight' | src='Table 2' || NOTE: cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] ; CO2 e=2000 a=500 ; cultivar='Norland/Denali/Russet Burbank (pooled)',ai-decode-v3
029_Kuehny_1991__ai__8,ai,029_Kuehny_1991,mineral_concentration,na,k,foliar,norland_denali_russet_burbank,pooled,pooled,ratio,ambient_co2,-0.134579,,Table 2,0,element='K (% dry weight)'->k | tissue='leaf'->foliar | cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (1000 μmol mol⁻¹)' C_desc='Ambient CO2 (500 μmol mol⁻¹)' | unit='% dry weight' | src='Table 2' || NOTE: cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] ; CO2 e=1000 a=500 ; cultivar='Norland/Denali/Russet Burbank (pooled)',ai-decode-v3
029_Kuehny_1991__ai__9,ai,029_Kuehny_1991,mineral_concentration,na,k,foliar,norland_denali_russet_burbank,pooled,pooled,ratio,ambient_co2,-0.108411,,Table 2,0,element='K (% dry weight)'->k | tissue='leaf'->foliar | cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (1500 μmol mol⁻¹)' C_desc='Ambient CO2 (500 μmol mol⁻¹)' | unit='% dry weight' | src='Table 2' || NOTE: cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] ; CO2 e=1500 a=500 ; cultivar='Norland/Denali/Russet Burbank (pooled)',ai-decode-v3
029_Kuehny_1991__ai__10,ai,029_Kuehny_1991,mineral_concentration,na,k,foliar,norland_denali_russet_burbank,pooled,pooled,ratio,ambient_co2,-0.104673,,Table 2,0,element='K (% dry weight)'->k | tissue='leaf'->foliar | cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (2000 μmol mol⁻¹)' C_desc='Ambient CO2 (500 μmol mol⁻¹)' | unit='% dry weight' | src='Table 2' || NOTE: cultivar='Norland/Denali/Russet Burbank (pooled)' [pooled] ; CO2 e=2000 a=500 ; cultivar='Norland/Denali/Russet Burbank (pooled)',ai-decode-v3
