row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
030_Wroblewitz_2013__ai__0,ai,030_Wroblewitz_2013,mineral_concentration,na,na,grain,batis__n50,eco2_550_amb_380__y2002,single_cell,ratio,ambient_co2,0.05,,Table 3,0,element='Na'->na | tissue='grain'->grain | cultivar='Batis' | CO2->eco2_550_amb_380__y2002 | lvl_suffix=['n50'] tp_suffix=['y2002'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='g/kg' | src='Table 3' || NOTE: cultivar='Batis' ; CO2 e=550 a=380 ; N='N50'->n50 ; year='2002'->y2002,ai-decode-v3
030_Wroblewitz_2013__ai__1,ai,030_Wroblewitz_2013,mineral_concentration,na,na,grain,batis__n100,eco2_550_amb_380__y2002,single_cell,ratio,ambient_co2,0,,Table 3,0,element='Na'->na | tissue='grain'->grain | cultivar='Batis' | CO2->eco2_550_amb_380__y2002 | lvl_suffix=['n100'] tp_suffix=['y2002'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='g/kg' | src='Table 3' || NOTE: cultivar='Batis' ; CO2 e=550 a=380 ; N='N100'->n100 ; year='2002'->y2002,ai-decode-v3
030_Wroblewitz_2013__ai__2,ai,030_Wroblewitz_2013,mineral_concentration,na,na,grain,batis__n100,eco2_550_amb_380__y2005,single_cell,ratio,ambient_co2,0,,Table 3,0,element='Na'->na | tissue='grain'->grain | cultivar='Batis' | CO2->eco2_550_amb_380__y2005 | lvl_suffix=['n100'] tp_suffix=['y2005'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='g/kg' | src='Table 3' || NOTE: cultivar='Batis' ; CO2 e=550 a=380 ; N='N100'->n100 ; year='2005'->y2005,ai-decode-v3
030_Wroblewitz_2013__ai__3,ai,030_Wroblewitz_2013,mineral_concentration,na,zn,grain,batis__n50,eco2_550_amb_380__y2002,single_cell,ratio,ambient_co2,-0.082031,,Table 3,0,element='Zn'->zn | tissue='grain'->grain | cultivar='Batis' | CO2->eco2_550_amb_380__y2002 | lvl_suffix=['n50'] tp_suffix=['y2002'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 3' || NOTE: cultivar='Batis' ; CO2 e=550 a=380 ; N='N50'->n50 ; year='2002'->y2002,ai-decode-v3
030_Wroblewitz_2013__ai__4,ai,030_Wroblewitz_2013,mineral_concentration,na,zn,grain,batis__n100,eco2_550_amb_380__y2002,single_cell,ratio,ambient_co2,0.028269,,Table 3,0,element='Zn'->zn | tissue='grain'->grain | cultivar='Batis' | CO2->eco2_550_amb_380__y2002 | lvl_suffix=['n100'] tp_suffix=['y2002'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 3' || NOTE: cultivar='Batis' ; CO2 e=550 a=380 ; N='N100'->n100 ; year='2002'->y2002,ai-decode-v3
030_Wroblewitz_2013__ai__5,ai,030_Wroblewitz_2013,mineral_concentration,na,zn,grain,batis__n50,eco2_550_amb_380__y2005,single_cell,ratio,ambient_co2,-0.086957,,Table 3,0,element='Zn'->zn | tissue='grain'->grain | cultivar='Batis' | CO2->eco2_550_amb_380__y2005 | lvl_suffix=['n50'] tp_suffix=['y2005'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 3' || NOTE: cultivar='Batis' ; CO2 e=550 a=380 ; N='N50'->n50 ; year='2005'->y2005,ai-decode-v3
030_Wroblewitz_2013__ai__6,ai,030_Wroblewitz_2013,mineral_concentration,na,zn,grain,batis__n100,eco2_550_amb_380__y2005,single_cell,ratio,ambient_co2,-0.113122,,Table 3,0,element='Zn'->zn | tissue='grain'->grain | cultivar='Batis' | CO2->eco2_550_amb_380__y2005 | lvl_suffix=['n100'] tp_suffix=['y2005'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 3' || NOTE: cultivar='Batis' ; CO2 e=550 a=380 ; N='N100'->n100 ; year='2005'->y2005,ai-decode-v3
030_Wroblewitz_2013__ai__7,ai,030_Wroblewitz_2013,mineral_concentration,na,cu,grain,batis__n50,eco2_550_amb_380__y2002,single_cell,ratio,ambient_co2,0.102484,,Table 3,0,element='Cu'->cu | tissue='grain'->grain | cultivar='Batis' | CO2->eco2_550_amb_380__y2002 | lvl_suffix=['n50'] tp_suffix=['y2002'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 3' || NOTE: cultivar='Batis' ; CO2 e=550 a=380 ; N='N50'->n50 ; year='2002'->y2002,ai-decode-v3
030_Wroblewitz_2013__ai__8,ai,030_Wroblewitz_2013,mineral_concentration,na,cu,grain,batis__n100,eco2_550_amb_380__y2002,single_cell,ratio,ambient_co2,0.057627,,Table 3,0,element='Cu'->cu | tissue='grain'->grain | cultivar='Batis' | CO2->eco2_550_amb_380__y2002 | lvl_suffix=['n100'] tp_suffix=['y2002'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 3' || NOTE: cultivar='Batis' ; CO2 e=550 a=380 ; N='N100'->n100 ; year='2002'->y2002,ai-decode-v3
030_Wroblewitz_2013__ai__9,ai,030_Wroblewitz_2013,mineral_concentration,na,cu,grain,batis__n50,eco2_550_amb_380__y2005,single_cell,ratio,ambient_co2,-0.031579,,Table 3,0,element='Cu'->cu | tissue='grain'->grain | cultivar='Batis' | CO2->eco2_550_amb_380__y2005 | lvl_suffix=['n50'] tp_suffix=['y2005'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 3' || NOTE: cultivar='Batis' ; CO2 e=550 a=380 ; N='N50'->n50 ; year='2005'->y2005,ai-decode-v3
030_Wroblewitz_2013__ai__10,ai,030_Wroblewitz_2013,mineral_concentration,na,cu,grain,batis__n100,eco2_550_amb_380__y2005,single_cell,ratio,ambient_co2,-0.100671,,Table 3,0,element='Cu'->cu | tissue='grain'->grain | cultivar='Batis' | CO2->eco2_550_amb_380__y2005 | lvl_suffix=['n100'] tp_suffix=['y2005'] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (380 ppm)' | unit='mg/kg' | src='Table 3' || NOTE: cultivar='Batis' ; CO2 e=550 a=380 ; N='N100'->n100 ; year='2005'->y2005,ai-decode-v3
