row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
031_Pal_2003__ai__0,ai,031_Pal_2003,mineral_concentration,na,c,foliar,,eco2_600_amb_350,single_cell,ratio,ambient_co2,0.214,,Table 3,0,"element='C'->c | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_600_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='600 uL/L CO2, 40 DAE' C_desc='350 uL/L CO2, 40 DAE' | unit='%' | src='Table 3' || NOTE: no species/cultivar -> blank ; CO2 e=600 a=350",rebuild_2026-08-19/loladze
031_Pal_2003__ai__1,ai,031_Pal_2003,mineral_concentration,na,c,foliar,,eco2_600_amb_350,single_cell,ratio,ambient_co2,0.2424,,Table 3,0,"element='C'->c | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_600_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='600 uL/L CO2, 60 DAE' C_desc='350 uL/L CO2, 60 DAE' | unit='%' | src='Table 3' || NOTE: no species/cultivar -> blank ; CO2 e=600 a=350",rebuild_2026-08-19/loladze
031_Pal_2003__ai__2,ai,031_Pal_2003,mineral_concentration,na,c,foliar,,eco2_600_amb_350,single_cell,ratio,ambient_co2,0.3353,,Table 3,0,"element='C'->c | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_600_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='600 uL/L CO2, 80 DAE' C_desc='350 uL/L CO2, 80 DAE' | unit='%' | src='Table 3' || NOTE: no species/cultivar -> blank ; CO2 e=600 a=350",rebuild_2026-08-19/loladze
031_Pal_2003__ai__3,ai,031_Pal_2003,mineral_concentration,na,n,foliar,,eco2_600_amb_350,single_cell,ratio,ambient_co2,-0.2875,,Table 3,0,"element='N'->n | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_600_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='600 uL/L CO2, 40 DAE' C_desc='350 uL/L CO2, 40 DAE' | unit='%' | src='Table 3' || NOTE: no species/cultivar -> blank ; CO2 e=600 a=350",rebuild_2026-08-19/loladze
031_Pal_2003__ai__4,ai,031_Pal_2003,mineral_concentration,na,n,foliar,,eco2_600_amb_350,single_cell,ratio,ambient_co2,-0.2687,,Table 3,0,"element='N'->n | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_600_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='600 uL/L CO2, 60 DAE' C_desc='350 uL/L CO2, 60 DAE' | unit='%' | src='Table 3' || NOTE: no species/cultivar -> blank ; CO2 e=600 a=350",rebuild_2026-08-19/loladze
031_Pal_2003__ai__5,ai,031_Pal_2003,mineral_concentration,na,n,foliar,,eco2_600_amb_350,single_cell,ratio,ambient_co2,-0.3267,,Table 3,0,"element='N'->n | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_600_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='600 uL/L CO2, 80 DAE' C_desc='350 uL/L CO2, 80 DAE' | unit='%' | src='Table 3' || NOTE: no species/cultivar -> blank ; CO2 e=600 a=350",rebuild_2026-08-19/loladze
031_Pal_2003__ai__6,ai,031_Pal_2003,mineral_concentration,na,p,foliar,,eco2_600_amb_350,single_cell,ratio,ambient_co2,0.1176,,Table 3,0,"element='P'->p | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_600_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='600 uL/L CO2, 40 DAE' C_desc='350 uL/L CO2, 40 DAE' | unit='%' | src='Table 3' || NOTE: no species/cultivar -> blank ; CO2 e=600 a=350",rebuild_2026-08-19/loladze
031_Pal_2003__ai__7,ai,031_Pal_2003,mineral_concentration,na,p,foliar,,eco2_600_amb_350,single_cell,ratio,ambient_co2,0.075,,Table 3,0,"element='P'->p | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_600_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='600 uL/L CO2, 60 DAE' C_desc='350 uL/L CO2, 60 DAE' | unit='%' | src='Table 3' || NOTE: no species/cultivar -> blank ; CO2 e=600 a=350",rebuild_2026-08-19/loladze
031_Pal_2003__ai__8,ai,031_Pal_2003,mineral_concentration,na,p,foliar,,eco2_600_amb_350,single_cell,ratio,ambient_co2,0.0857,,Table 3,0,"element='P'->p | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_600_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='600 uL/L CO2, 80 DAE' C_desc='350 uL/L CO2, 80 DAE' | unit='%' | src='Table 3' || NOTE: no species/cultivar -> blank ; CO2 e=600 a=350",rebuild_2026-08-19/loladze
031_Pal_2003__ai__9,ai,031_Pal_2003,mineral_concentration,na,ca,foliar,,eco2_600_amb_350,single_cell,ratio,ambient_co2,-0.0193,,Table 3,0,"element='Ca'->ca | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_600_amb_350 | lvl_suffix=[] tp_suffix=[] | T_desc='600 uL/L CO2, 40 DAE' C_desc='350 uL/L CO2, 40 DAE' | unit='%' | src='Table 3' || NOTE: no species/cultivar -> blank ; CO2 e=600 a=350",rebuild_2026-08-19/loladze
