row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
032_Kanowski_2001__ai__0,ai,032_Kanowski_2001,mineral_concentration,na,n,foliar,alphitonia_petriei__rhyolite,eco2_790_amb_350,single_cell,ratio,ambient_co2,-0.25,,Figure 1a,1,element='N'->n | tissue='leaf'->foliar | species='Alphitonia petriei' | CO2->eco2_790_amb_350 | lvl_suffix=['rhyolite'] tp_suffix=[] | T_desc='790 ppm CO2' C_desc='350 ppm CO2' | unit='% DW' | src='Figure 1a' || NOTE: species='Alphitonia petriei' ; CO2 e=790 a=350 ; soil='rhyolite'->rhyolite,rebuild_2026-08-19/loladze
032_Kanowski_2001__ai__1,ai,032_Kanowski_2001,mineral_concentration,na,n,foliar,alphitonia_petriei__basalt,eco2_790_amb_350,single_cell,ratio,ambient_co2,-0.249,,Figure 1a,1,element='N'->n | tissue='leaf'->foliar | species='Alphitonia petriei' | CO2->eco2_790_amb_350 | lvl_suffix=['basalt'] tp_suffix=[] | T_desc='790 ppm CO2' C_desc='350 ppm CO2' | unit='% DW' | src='Figure 1a' || NOTE: species='Alphitonia petriei' ; CO2 e=790 a=350 ; soil='basalt'->basalt,rebuild_2026-08-19/loladze
032_Kanowski_2001__ai__2,ai,032_Kanowski_2001,mineral_concentration,na,n,foliar,flindersia_brayleyana__rhyolite,eco2_790_amb_350,single_cell,ratio,ambient_co2,-0.3,,Figure 1a,1,element='N'->n | tissue='leaf'->foliar | species='Flindersia brayleyana' | CO2->eco2_790_amb_350 | lvl_suffix=['rhyolite'] tp_suffix=[] | T_desc='790 ppm CO2' C_desc='350 ppm CO2' | unit='% DW' | src='Figure 1a' || NOTE: species='Flindersia brayleyana' ; CO2 e=790 a=350 ; soil='rhyolite'->rhyolite,rebuild_2026-08-19/loladze
032_Kanowski_2001__ai__3,ai,032_Kanowski_2001,mineral_concentration,na,n,foliar,flindersia_brayleyana__basalt,eco2_790_amb_350,single_cell,ratio,ambient_co2,-0.279,,Figure 1a,1,element='N'->n | tissue='leaf'->foliar | species='Flindersia brayleyana' | CO2->eco2_790_amb_350 | lvl_suffix=['basalt'] tp_suffix=[] | T_desc='790 ppm CO2' C_desc='350 ppm CO2' | unit='% DW' | src='Figure 1a' || NOTE: species='Flindersia brayleyana' ; CO2 e=790 a=350 ; soil='basalt'->basalt,rebuild_2026-08-19/loladze
032_Kanowski_2001__ai__4,ai,032_Kanowski_2001,mineral_concentration,na,p,foliar,alphitonia_petriei__rhyolite,eco2_790_amb_350,single_cell,ratio,ambient_co2,-0.05,,Figure 1b,1,element='P'->p | tissue='leaf'->foliar | species='Alphitonia petriei' | CO2->eco2_790_amb_350 | lvl_suffix=['rhyolite'] tp_suffix=[] | T_desc='790 ppm CO2' C_desc='350 ppm CO2' | unit='% DW' | src='Figure 1b' || NOTE: species='Alphitonia petriei' ; CO2 e=790 a=350 ; soil='rhyolite'->rhyolite,rebuild_2026-08-19/loladze
032_Kanowski_2001__ai__5,ai,032_Kanowski_2001,mineral_concentration,na,p,foliar,alphitonia_petriei__basalt,eco2_790_amb_350,single_cell,ratio,ambient_co2,-0.083,,Figure 1b,1,element='P'->p | tissue='leaf'->foliar | species='Alphitonia petriei' | CO2->eco2_790_amb_350 | lvl_suffix=['basalt'] tp_suffix=[] | T_desc='790 ppm CO2' C_desc='350 ppm CO2' | unit='% DW' | src='Figure 1b' || NOTE: species='Alphitonia petriei' ; CO2 e=790 a=350 ; soil='basalt'->basalt,rebuild_2026-08-19/loladze
032_Kanowski_2001__ai__6,ai,032_Kanowski_2001,mineral_concentration,na,p,foliar,flindersia_brayleyana__rhyolite,eco2_790_amb_350,single_cell,ratio,ambient_co2,-0.2,,Figure 1b,1,element='P'->p | tissue='leaf'->foliar | species='Flindersia brayleyana' | CO2->eco2_790_amb_350 | lvl_suffix=['rhyolite'] tp_suffix=[] | T_desc='790 ppm CO2' C_desc='350 ppm CO2' | unit='% DW' | src='Figure 1b' || NOTE: species='Flindersia brayleyana' ; CO2 e=790 a=350 ; soil='rhyolite'->rhyolite,rebuild_2026-08-19/loladze
032_Kanowski_2001__ai__7,ai,032_Kanowski_2001,mineral_concentration,na,p,foliar,flindersia_brayleyana__basalt,eco2_790_amb_350,single_cell,ratio,ambient_co2,-0.231,,Figure 1b,1,element='P'->p | tissue='leaf'->foliar | species='Flindersia brayleyana' | CO2->eco2_790_amb_350 | lvl_suffix=['basalt'] tp_suffix=[] | T_desc='790 ppm CO2' C_desc='350 ppm CO2' | unit='% DW' | src='Figure 1b' || NOTE: species='Flindersia brayleyana' ; CO2 e=790 a=350 ; soil='basalt'->basalt,rebuild_2026-08-19/loladze
032_Kanowski_2001__ai__8,ai,032_Kanowski_2001,mineral_concentration,na,k,foliar,alphitonia_petriei__rhyolite,eco2_790_amb_350,single_cell,ratio,ambient_co2,0,,Figure 1c,1,element='K'->k | tissue='leaf'->foliar | species='Alphitonia petriei' | CO2->eco2_790_amb_350 | lvl_suffix=['rhyolite'] tp_suffix=[] | T_desc='790 ppm CO2' C_desc='350 ppm CO2' | unit='% DW' | src='Figure 1c' || NOTE: species='Alphitonia petriei' ; CO2 e=790 a=350 ; soil='rhyolite'->rhyolite,rebuild_2026-08-19/loladze
032_Kanowski_2001__ai__9,ai,032_Kanowski_2001,mineral_concentration,na,k,foliar,alphitonia_petriei__basalt,eco2_790_amb_350,single_cell,ratio,ambient_co2,-0.028,,Figure 1c,1,element='K'->k | tissue='leaf'->foliar | species='Alphitonia petriei' | CO2->eco2_790_amb_350 | lvl_suffix=['basalt'] tp_suffix=[] | T_desc='790 ppm CO2' C_desc='350 ppm CO2' | unit='% DW' | src='Figure 1c' || NOTE: species='Alphitonia petriei' ; CO2 e=790 a=350 ; soil='basalt'->basalt,rebuild_2026-08-19/loladze
032_Kanowski_2001__ai__10,ai,032_Kanowski_2001,mineral_concentration,na,k,foliar,flindersia_brayleyana__rhyolite,eco2_790_amb_350,single_cell,ratio,ambient_co2,-0.256,,Figure 1c,1,element='K'->k | tissue='leaf'->foliar | species='Flindersia brayleyana' | CO2->eco2_790_amb_350 | lvl_suffix=['rhyolite'] tp_suffix=[] | T_desc='790 ppm CO2' C_desc='350 ppm CO2' | unit='% DW' | src='Figure 1c' || NOTE: species='Flindersia brayleyana' ; CO2 e=790 a=350 ; soil='rhyolite'->rhyolite,rebuild_2026-08-19/loladze
