row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
033_Johnson_2003__ai__0,ai,033_Johnson_2003,mineral_concentration,na,n,foliar,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.114458,,Table 4,0,element='N (%)'->n | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__1,ai,033_Johnson_2003,mineral_concentration,na,p,foliar,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.076923,,Table 4,0,element='P (%)'->p | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__2,ai,033_Johnson_2003,mineral_concentration,na,k,foliar,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,0,,Table 4,0,element='K (%)'->k | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__3,ai,033_Johnson_2003,mineral_concentration,na,ca,foliar,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,0.108333,,Table 4,0,element='Ca (%)'->ca | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__4,ai,033_Johnson_2003,mineral_concentration,na,mg,foliar,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,0,,Table 4,0,element='Mg (%)'->mg | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__5,ai,033_Johnson_2003,mineral_concentration,na,mn,foliar,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.074219,,Table 4,0,element='Mn (mg g-1)'->mn | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='mg/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__6,ai,033_Johnson_2003,mineral_concentration,na,fe,foliar,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.1875,,Table 4,0,element='Fe (mg g-1)'->fe | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='mg/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__7,ai,033_Johnson_2003,mineral_concentration,na,cu,foliar,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.095238,,Table 4,0,element='Cu (mg g-1)'->cu | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='mg/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__8,ai,033_Johnson_2003,mineral_concentration,na,b,foliar,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,0.125,,Table 4,0,element='B (mg g-1)'->b | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='mg/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__9,ai,033_Johnson_2003,mineral_concentration,na,zn,foliar,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,0.006623,,Table 4,0,element='Zn (mg g-1)'->zn | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='mg/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
033_Johnson_2003__ai__10,ai,033_Johnson_2003,mineral_concentration,na,n,foliar,,co2_unresolved__y1999_2000,single_cell,ratio,ambient_co2,-0.105882,,Table 4,0,element='N (%)'->n | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->co2_unresolved__y1999_2000 | lvl_suffix=[] tp_suffix=['y1999_2000'] | T_desc='Elevated CO2 (542 ppm)' C_desc='Ambient CO2 (atmospheric background)' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (542 ppm)' c='Ambient CO2 (atmospheric background)') ; year='1999-2000'->y1999_2000,ai-decode-v3
