row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
035_Oksanen_2005__ai__0,ai,035_Oksanen_2005,mineral_concentration,na,n,foliar,pooled_4_80,pooled,pooled,ratio,ambient_co2,-0.1498,,Table 8,0,"element='N'->n | tissue='leaf'->foliar | clone='pooled 4+80' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (2x ambient, ~720 ppm)' C_desc='Chamber control (ambient CO2, ~365 ppm)' | unit='mg/g dw' | src='Table 8' || NOTE: clone='pooled 4+80' [pooled] ; CO2 e=720 a=365 ; clone='pooled 4+80'",rebuild_2026-08-19/loladze
035_Oksanen_2005__ai__1,ai,035_Oksanen_2005,mineral_concentration,na,p,foliar,pooled_4_80,pooled,pooled,ratio,ambient_co2,-0.037,,Table 8,0,"element='P'->p | tissue='leaf'->foliar | clone='pooled 4+80' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (2x ambient, ~720 ppm)' C_desc='Chamber control (ambient CO2, ~365 ppm)' | unit='mg/g dw' | src='Table 8' || NOTE: clone='pooled 4+80' [pooled] ; CO2 e=720 a=365 ; clone='pooled 4+80'",rebuild_2026-08-19/loladze
035_Oksanen_2005__ai__2,ai,035_Oksanen_2005,mineral_concentration,na,k,foliar,pooled_4_80,pooled,pooled,ratio,ambient_co2,-0.1354,,Table 8,0,"element='K'->k | tissue='leaf'->foliar | clone='pooled 4+80' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (2x ambient, ~720 ppm)' C_desc='Chamber control (ambient CO2, ~365 ppm)' | unit='mg/g dw' | src='Table 8' || NOTE: clone='pooled 4+80' [pooled] ; CO2 e=720 a=365 ; clone='pooled 4+80'",rebuild_2026-08-19/loladze
035_Oksanen_2005__ai__3,ai,035_Oksanen_2005,mineral_concentration,na,ca,foliar,pooled_4_80,pooled,pooled,ratio,ambient_co2,-0.1217,,Table 8,0,"element='Ca'->ca | tissue='leaf'->foliar | clone='pooled 4+80' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (2x ambient, ~720 ppm)' C_desc='Chamber control (ambient CO2, ~365 ppm)' | unit='mg/g dw' | src='Table 8' || NOTE: clone='pooled 4+80' [pooled] ; CO2 e=720 a=365 ; clone='pooled 4+80'",rebuild_2026-08-19/loladze
035_Oksanen_2005__ai__4,ai,035_Oksanen_2005,mineral_concentration,na,mg,foliar,pooled_4_80,pooled,pooled,ratio,ambient_co2,-0.0881,,Table 8,0,"element='Mg'->mg | tissue='leaf'->foliar | clone='pooled 4+80' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (2x ambient, ~720 ppm)' C_desc='Chamber control (ambient CO2, ~365 ppm)' | unit='mg/g dw' | src='Table 8' || NOTE: clone='pooled 4+80' [pooled] ; CO2 e=720 a=365 ; clone='pooled 4+80'",rebuild_2026-08-19/loladze
035_Oksanen_2005__ai__5,ai,035_Oksanen_2005,mineral_concentration,na,mn,foliar,pooled_4_80,pooled,pooled,ratio,ambient_co2,0.0246,,Table 8,0,"element='Mn'->mn | tissue='leaf'->foliar | clone='pooled 4+80' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (2x ambient, ~720 ppm)' C_desc='Chamber control (ambient CO2, ~365 ppm)' | unit='mg/g dw' | src='Table 8' || NOTE: clone='pooled 4+80' [pooled] ; CO2 e=720 a=365 ; clone='pooled 4+80'",rebuild_2026-08-19/loladze
035_Oksanen_2005__ai__6,ai,035_Oksanen_2005,mineral_concentration,na,fe,foliar,pooled_4_80,pooled,pooled,ratio,ambient_co2,-0.1575,,Table 8,0,"element='Fe'->fe | tissue='leaf'->foliar | clone='pooled 4+80' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (2x ambient, ~720 ppm)' C_desc='Chamber control (ambient CO2, ~365 ppm)' | unit='ug/g dw' | src='Table 8' || NOTE: clone='pooled 4+80' [pooled] ; CO2 e=720 a=365 ; clone='pooled 4+80'",rebuild_2026-08-19/loladze
035_Oksanen_2005__ai__7,ai,035_Oksanen_2005,mineral_concentration,na,zn,foliar,pooled_4_80,pooled,pooled,ratio,ambient_co2,-0.0395,,Table 8,0,"element='Zn'->zn | tissue='leaf'->foliar | clone='pooled 4+80' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (2x ambient, ~720 ppm)' C_desc='Chamber control (ambient CO2, ~365 ppm)' | unit='ug/g dw' | src='Table 8' || NOTE: clone='pooled 4+80' [pooled] ; CO2 e=720 a=365 ; clone='pooled 4+80'",rebuild_2026-08-19/loladze
035_Oksanen_2005__ai__8,ai,035_Oksanen_2005,mineral_concentration,na,cu,foliar,pooled_4_80,pooled,pooled,ratio,ambient_co2,-0.179,,Table 8,0,"element='Cu'->cu | tissue='leaf'->foliar | clone='pooled 4+80' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (2x ambient, ~720 ppm)' C_desc='Chamber control (ambient CO2, ~365 ppm)' | unit='ug/g dw' | src='Table 8' || NOTE: clone='pooled 4+80' [pooled] ; CO2 e=720 a=365 ; clone='pooled 4+80'",rebuild_2026-08-19/loladze
035_Oksanen_2005__ai__9,ai,035_Oksanen_2005,mineral_concentration,na,b,foliar,pooled_4_80,pooled,pooled,ratio,ambient_co2,-0.012,,Table 8,0,"element='B'->b | tissue='leaf'->foliar | clone='pooled 4+80' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (2x ambient, ~720 ppm)' C_desc='Chamber control (ambient CO2, ~365 ppm)' | unit='ug/g dw' | src='Table 8' || NOTE: clone='pooled 4+80' [pooled] ; CO2 e=720 a=365 ; clone='pooled 4+80'",rebuild_2026-08-19/loladze
035_Oksanen_2005__ai__10,ai,035_Oksanen_2005,mineral_concentration,na,s,foliar,pooled_4_80,pooled,pooled,ratio,ambient_co2,-0.1761,,Table 8,0,"element='S'->s | tissue='leaf'->foliar | clone='pooled 4+80' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (2x ambient, ~720 ppm)' C_desc='Chamber control (ambient CO2, ~365 ppm)' | unit='mg/g dw' | src='Table 8' || NOTE: clone='pooled 4+80' [pooled] ; CO2 e=720 a=365 ; clone='pooled 4+80'",rebuild_2026-08-19/loladze
