row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
036_Schenk_1997__ai__0,ai,036_Schenk_1997,mineral_concentration,na,n,above_ground,lolium_perenne,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.0966,,Table 1,0,element='N'->n | tissue='ryegrass shoot'->above_ground | species='Lolium perenne' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Lolium perenne' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__1,ai,036_Schenk_1997,mineral_concentration,na,n,above_ground,lolium_perenne,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.1264,,Table 1,0,element='N'->n | tissue='ryegrass shoot'->above_ground | species='Lolium perenne' | CO2->eco2_670_amb_380__y1993 | lvl_suffix=[] tp_suffix=['y1993'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Lolium perenne' ; CO2 e=670 a=380 ; year='1993'->y1993,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__2,ai,036_Schenk_1997,mineral_concentration,na,n,above_ground,trifolium_repens,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.0107,,Table 1,0,element='N'->n | tissue='clover shoot'->above_ground | species='Trifolium repens' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Trifolium repens' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__3,ai,036_Schenk_1997,mineral_concentration,na,n,above_ground,trifolium_repens,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.027,,Table 1,0,element='N'->n | tissue='clover shoot'->above_ground | species='Trifolium repens' | CO2->eco2_670_amb_380__y1993 | lvl_suffix=[] tp_suffix=['y1993'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Trifolium repens' ; CO2 e=670 a=380 ; year='1993'->y1993,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__4,ai,036_Schenk_1997,mineral_concentration,na,n,total_yield,mixed_sward,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,0.0182,,Table 1,0,element='N'->n | tissue='total yield'->total_yield | species='mixed sward' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: tissue outside closed list: 'total yield' ; species='mixed sward' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__5,ai,036_Schenk_1997,mineral_concentration,na,n,total_yield,mixed_sward,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.0145,,Table 1,0,element='N'->n | tissue='total yield'->total_yield | species='mixed sward' | CO2->eco2_670_amb_380__y1993 | lvl_suffix=[] tp_suffix=['y1993'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: tissue outside closed list: 'total yield' ; species='mixed sward' ; CO2 e=670 a=380 ; year='1993'->y1993,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__6,ai,036_Schenk_1997,mineral_concentration,na,p,above_ground,lolium_perenne,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.0222,,Table 1,0,element='P'->p | tissue='ryegrass shoot'->above_ground | species='Lolium perenne' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Lolium perenne' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__7,ai,036_Schenk_1997,mineral_concentration,na,p,above_ground,lolium_perenne,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,-0.0957,,Table 1,0,element='P'->p | tissue='ryegrass shoot'->above_ground | species='Lolium perenne' | CO2->eco2_670_amb_380__y1993 | lvl_suffix=[] tp_suffix=['y1993'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Lolium perenne' ; CO2 e=670 a=380 ; year='1993'->y1993,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__8,ai,036_Schenk_1997,mineral_concentration,na,p,above_ground,trifolium_repens,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.0213,,Table 1,0,element='P'->p | tissue='clover shoot'->above_ground | species='Trifolium repens' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Trifolium repens' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__9,ai,036_Schenk_1997,mineral_concentration,na,p,above_ground,trifolium_repens,eco2_670_amb_380__y1993,single_cell,ratio,ambient_co2,0.154,,Table 1,0,element='P'->p | tissue='clover shoot'->above_ground | species='Trifolium repens' | CO2->eco2_670_amb_380__y1993 | lvl_suffix=[] tp_suffix=['y1993'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; species='Trifolium repens' ; CO2 e=670 a=380 ; year='1993'->y1993,rebuild_2026-08-19/loladze
036_Schenk_1997__ai__10,ai,036_Schenk_1997,mineral_concentration,na,p,total_yield,mixed_sward,eco2_670_amb_380__y1992,single_cell,ratio,ambient_co2,-0.0388,,Table 1,0,element='P'->p | tissue='total yield'->total_yield | species='mixed sward' | CO2->eco2_670_amb_380__y1992 | lvl_suffix=[] tp_suffix=['y1992'] | T_desc='670 ppm CO2' C_desc='380 ppm CO2' | unit='mg/g' | src='Table 1' || NOTE: tissue outside closed list: 'total yield' ; species='mixed sward' ; CO2 e=670 a=380 ; year='1992'->y1992,rebuild_2026-08-19/loladze
