row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
038_Newbery_1995__ai__0,ai,038_Newbery_1995,mineral_concentration,na,c,above_ground,,co2_unresolved,single_cell,ratio,ambient_co2,0,,Table 5,0,"element='C'->c | tissue='shoot'->above_ground | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (ambient + 250 ppm), nutrient treatme' C_desc='Ambient CO2, nutrient treatment P1N1K1' | unit='% dry weight' | src='Table 5' || NOTE: shoot/stem-class -> above_ground (GT convention) ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (ambient + 250 ppm), nutrie' c='Ambient CO2, nutrient treatment P1N1K1')",rebuild_2026-08-19/loladze
038_Newbery_1995__ai__1,ai,038_Newbery_1995,mineral_concentration,na,k,above_ground,,co2_unresolved,single_cell,ratio,ambient_co2,-0.4118,,Table 5,0,"element='K'->k | tissue='shoot'->above_ground | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (ambient + 250 ppm), nutrient treatme' C_desc='Ambient CO2, nutrient treatment P1N1K1' | unit='% dry weight' | src='Table 5' || NOTE: shoot/stem-class -> above_ground (GT convention) ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (ambient + 250 ppm), nutrie' c='Ambient CO2, nutrient treatment P1N1K1')",rebuild_2026-08-19/loladze
038_Newbery_1995__ai__2,ai,038_Newbery_1995,mineral_concentration,na,p,above_ground,,co2_unresolved,single_cell,ratio,ambient_co2,-0.1862,,Table 5,0,"element='P'->p | tissue='shoot'->above_ground | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (ambient + 250 ppm), nutrient treatme' C_desc='Ambient CO2, nutrient treatment P1N1K1' | unit='% dry weight' | src='Table 5' || NOTE: shoot/stem-class -> above_ground (GT convention) ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (ambient + 250 ppm), nutrie' c='Ambient CO2, nutrient treatment P1N1K1')",rebuild_2026-08-19/loladze
038_Newbery_1995__ai__3,ai,038_Newbery_1995,mineral_concentration,na,n,above_ground,,co2_unresolved,single_cell,ratio,ambient_co2,-0.0141,,Table 5,0,"element='N'->n | tissue='shoot'->above_ground | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (ambient + 250 ppm), nutrient treatme' C_desc='Ambient CO2, nutrient treatment P1N1K1' | unit='% dry weight' | src='Table 5' || NOTE: shoot/stem-class -> above_ground (GT convention) ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (ambient + 250 ppm), nutrie' c='Ambient CO2, nutrient treatment P1N1K1')",rebuild_2026-08-19/loladze
038_Newbery_1995__ai__4,ai,038_Newbery_1995,mineral_concentration,na,c,above_ground,,co2_unresolved,single_cell,ratio,ambient_co2,0.0227,,Table 5,0,"element='C'->c | tissue='shoot'->above_ground | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (ambient + 250 ppm), nutrient treatme' C_desc='Ambient CO2, nutrient treatment P1N1K2' | unit='% dry weight' | src='Table 5' || NOTE: shoot/stem-class -> above_ground (GT convention) ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (ambient + 250 ppm), nutrie' c='Ambient CO2, nutrient treatment P1N1K2')",rebuild_2026-08-19/loladze
038_Newbery_1995__ai__5,ai,038_Newbery_1995,mineral_concentration,na,k,above_ground,,co2_unresolved,single_cell,ratio,ambient_co2,-0.4722,,Table 5,0,"element='K'->k | tissue='shoot'->above_ground | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (ambient + 250 ppm), nutrient treatme' C_desc='Ambient CO2, nutrient treatment P1N1K2' | unit='% dry weight' | src='Table 5' || NOTE: shoot/stem-class -> above_ground (GT convention) ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (ambient + 250 ppm), nutrie' c='Ambient CO2, nutrient treatment P1N1K2')",rebuild_2026-08-19/loladze
038_Newbery_1995__ai__6,ai,038_Newbery_1995,mineral_concentration,na,p,above_ground,,co2_unresolved,single_cell,ratio,ambient_co2,-0.359,,Table 5,0,"element='P'->p | tissue='shoot'->above_ground | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (ambient + 250 ppm), nutrient treatme' C_desc='Ambient CO2, nutrient treatment P1N1K2' | unit='% dry weight' | src='Table 5' || NOTE: shoot/stem-class -> above_ground (GT convention) ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (ambient + 250 ppm), nutrie' c='Ambient CO2, nutrient treatment P1N1K2')",rebuild_2026-08-19/loladze
038_Newbery_1995__ai__7,ai,038_Newbery_1995,mineral_concentration,na,n,above_ground,,co2_unresolved,single_cell,ratio,ambient_co2,-0.2917,,Table 5,0,"element='N'->n | tissue='shoot'->above_ground | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (ambient + 250 ppm), nutrient treatme' C_desc='Ambient CO2, nutrient treatment P1N1K2' | unit='% dry weight' | src='Table 5' || NOTE: shoot/stem-class -> above_ground (GT convention) ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (ambient + 250 ppm), nutrie' c='Ambient CO2, nutrient treatment P1N1K2')",rebuild_2026-08-19/loladze
038_Newbery_1995__ai__8,ai,038_Newbery_1995,mineral_concentration,na,c,above_ground,,co2_unresolved,single_cell,ratio,ambient_co2,0,,Table 5,0,"element='C'->c | tissue='shoot'->above_ground | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (ambient + 250 ppm), nutrient treatme' C_desc='Ambient CO2, nutrient treatment P1N1K3' | unit='% dry weight' | src='Table 5' || NOTE: shoot/stem-class -> above_ground (GT convention) ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (ambient + 250 ppm), nutrie' c='Ambient CO2, nutrient treatment P1N1K3')",rebuild_2026-08-19/loladze
038_Newbery_1995__ai__9,ai,038_Newbery_1995,mineral_concentration,na,k,above_ground,,co2_unresolved,single_cell,ratio,ambient_co2,-0.2,,Table 5,0,"element='K'->k | tissue='shoot'->above_ground | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (ambient + 250 ppm), nutrient treatme' C_desc='Ambient CO2, nutrient treatment P1N1K3' | unit='% dry weight' | src='Table 5' || NOTE: shoot/stem-class -> above_ground (GT convention) ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (ambient + 250 ppm), nutrie' c='Ambient CO2, nutrient treatment P1N1K3')",rebuild_2026-08-19/loladze
038_Newbery_1995__ai__10,ai,038_Newbery_1995,mineral_concentration,na,p,above_ground,,co2_unresolved,single_cell,ratio,ambient_co2,-0.0678,,Table 5,0,"element='P'->p | tissue='shoot'->above_ground | no species/cultivar -> blank | CO2->co2_unresolved | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (ambient + 250 ppm), nutrient treatme' C_desc='Ambient CO2, nutrient treatment P1N1K3' | unit='% dry weight' | src='Table 5' || NOTE: shoot/stem-class -> above_ground (GT convention) ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='Elevated CO2 (ambient + 250 ppm), nutrie' c='Ambient CO2, nutrient treatment P1N1K3')",rebuild_2026-08-19/loladze
