row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
039_Heagle_1993__ai__0,ai,039_Heagle_1993,mineral_concentration,na,n,foliar,nc_s,eco2_490_amb_380,single_cell,ratio,ambient_co2,-0.0611,,Table 3,0,"element='N'->n | tissue='leaf'->foliar | clone='NC-S' | CO2->eco2_490_amb_380 | lvl_suffix=[] tp_suffix=[] | T_desc='490 ul/l CO2, 5 nl/l O3, NC-S' C_desc='380 ul/l CO2, 5 nl/l O3, NC-S' | unit='%' | src='Table 3' || NOTE: clone='NC-S' ; CO2 e=490 a=380",rebuild_2026-08-19/loladze
039_Heagle_1993__ai__1,ai,039_Heagle_1993,mineral_concentration,na,n,foliar,nc_s,eco2_600_amb_380,single_cell,ratio,ambient_co2,-0.1443,,Table 3,0,"element='N'->n | tissue='leaf'->foliar | clone='NC-S' | CO2->eco2_600_amb_380 | lvl_suffix=[] tp_suffix=[] | T_desc='600 ul/l CO2, 5 nl/l O3, NC-S' C_desc='380 ul/l CO2, 5 nl/l O3, NC-S' | unit='%' | src='Table 3' || NOTE: clone='NC-S' ; CO2 e=600 a=380",rebuild_2026-08-19/loladze
039_Heagle_1993__ai__2,ai,039_Heagle_1993,mineral_concentration,na,n,foliar,nc_s,eco2_710_amb_380,single_cell,ratio,ambient_co2,-0.1494,,Table 3,0,"element='N'->n | tissue='leaf'->foliar | clone='NC-S' | CO2->eco2_710_amb_380 | lvl_suffix=[] tp_suffix=[] | T_desc='710 ul/l CO2, 5 nl/l O3, NC-S' C_desc='380 ul/l CO2, 5 nl/l O3, NC-S' | unit='%' | src='Table 3' || NOTE: clone='NC-S' ; CO2 e=710 a=380",rebuild_2026-08-19/loladze
039_Heagle_1993__ai__3,ai,039_Heagle_1993,mineral_concentration,na,n,foliar,nc_r,eco2_490_amb_380,single_cell,ratio,ambient_co2,-0.0856,,Table 3,0,"element='N'->n | tissue='leaf'->foliar | clone='NC-R' | CO2->eco2_490_amb_380 | lvl_suffix=[] tp_suffix=[] | T_desc='490 ul/l CO2, 5 nl/l O3, NC-R' C_desc='380 ul/l CO2, 5 nl/l O3, NC-R' | unit='%' | src='Table 3' || NOTE: clone='NC-R' ; CO2 e=490 a=380",rebuild_2026-08-19/loladze
039_Heagle_1993__ai__4,ai,039_Heagle_1993,mineral_concentration,na,n,foliar,nc_r,eco2_600_amb_380,single_cell,ratio,ambient_co2,-0.1034,,Table 3,0,"element='N'->n | tissue='leaf'->foliar | clone='NC-R' | CO2->eco2_600_amb_380 | lvl_suffix=[] tp_suffix=[] | T_desc='600 ul/l CO2, 5 nl/l O3, NC-R' C_desc='380 ul/l CO2, 5 nl/l O3, NC-R' | unit='%' | src='Table 3' || NOTE: clone='NC-R' ; CO2 e=600 a=380",rebuild_2026-08-19/loladze
039_Heagle_1993__ai__5,ai,039_Heagle_1993,mineral_concentration,na,n,foliar,nc_r,eco2_710_amb_380,single_cell,ratio,ambient_co2,-0.2317,,Table 3,0,"element='N'->n | tissue='leaf'->foliar | clone='NC-R' | CO2->eco2_710_amb_380 | lvl_suffix=[] tp_suffix=[] | T_desc='710 ul/l CO2, 5 nl/l O3, NC-R' C_desc='380 ul/l CO2, 5 nl/l O3, NC-R' | unit='%' | src='Table 3' || NOTE: clone='NC-R' ; CO2 e=710 a=380",rebuild_2026-08-19/loladze
039_Heagle_1993__ai__6,ai,039_Heagle_1993,mineral_concentration,na,n,foliar,nc_s,eco2_490_amb_380,single_cell,ratio,ambient_co2,-0.0627,,Table 3,0,"element='N'->n | tissue='leaf'->foliar | clone='NC-S' | CO2->eco2_490_amb_380 | lvl_suffix=[] tp_suffix=[] | T_desc='490 ul/l CO2, 82 nl/l O3, NC-S' C_desc='380 ul/l CO2, 82 nl/l O3, NC-S' | unit='%' | src='Table 3' || NOTE: clone='NC-S' ; CO2 e=490 a=380",rebuild_2026-08-19/loladze
039_Heagle_1993__ai__7,ai,039_Heagle_1993,mineral_concentration,na,n,foliar,nc_s,eco2_600_amb_380,single_cell,ratio,ambient_co2,-0.138,,Table 3,0,"element='N'->n | tissue='leaf'->foliar | clone='NC-S' | CO2->eco2_600_amb_380 | lvl_suffix=[] tp_suffix=[] | T_desc='600 ul/l CO2, 82 nl/l O3, NC-S' C_desc='380 ul/l CO2, 82 nl/l O3, NC-S' | unit='%' | src='Table 3' || NOTE: clone='NC-S' ; CO2 e=600 a=380",rebuild_2026-08-19/loladze
039_Heagle_1993__ai__8,ai,039_Heagle_1993,mineral_concentration,na,n,foliar,nc_s,eco2_710_amb_380,single_cell,ratio,ambient_co2,0.086,,Table 3,0,"element='N'->n | tissue='leaf'->foliar | clone='NC-S' | CO2->eco2_710_amb_380 | lvl_suffix=[] tp_suffix=[] | T_desc='710 ul/l CO2, 82 nl/l O3, NC-S' C_desc='380 ul/l CO2, 82 nl/l O3, NC-S' | unit='%' | src='Table 3' || NOTE: clone='NC-S' ; CO2 e=710 a=380",rebuild_2026-08-19/loladze
039_Heagle_1993__ai__9,ai,039_Heagle_1993,mineral_concentration,na,n,foliar,nc_r,eco2_490_amb_380,single_cell,ratio,ambient_co2,-0.1059,,Table 3,0,"element='N'->n | tissue='leaf'->foliar | clone='NC-R' | CO2->eco2_490_amb_380 | lvl_suffix=[] tp_suffix=[] | T_desc='490 ul/l CO2, 82 nl/l O3, NC-R' C_desc='380 ul/l CO2, 82 nl/l O3, NC-R' | unit='%' | src='Table 3' || NOTE: clone='NC-R' ; CO2 e=490 a=380",rebuild_2026-08-19/loladze
