row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
041_Mjwara_1996__ai__0,ai,041_Mjwara_1996,mineral_concentration,na,n,foliar,,eco2_700_amb_360,single_cell,ratio,ambient_co2,0.0667,,Figure 7,1,element='N'->n | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_360 | lvl_suffix=[] tp_suffix=[] | T_desc='700 umol/mol CO2' C_desc='360 umol/mol CO2' | unit='mg/g DW' | src='Figure 7' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=360,rebuild_2026-08-19/loladze
041_Mjwara_1996__ai__1,ai,041_Mjwara_1996,mineral_concentration,na,n,foliar,,eco2_700_amb_360,single_cell,ratio,ambient_co2,-0.0972,,Figure 7,1,element='N'->n | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_360 | lvl_suffix=[] tp_suffix=[] | T_desc='700 umol/mol CO2' C_desc='360 umol/mol CO2' | unit='mg/g DW' | src='Figure 7' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=360,rebuild_2026-08-19/loladze
041_Mjwara_1996__ai__2,ai,041_Mjwara_1996,mineral_concentration,na,n,foliar,,eco2_700_amb_360,single_cell,ratio,ambient_co2,-0.1935,,Figure 7,1,element='N'->n | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_360 | lvl_suffix=[] tp_suffix=[] | T_desc='700 umol/mol CO2' C_desc='360 umol/mol CO2' | unit='mg/g DW' | src='Figure 7' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=360,rebuild_2026-08-19/loladze
041_Mjwara_1996__ai__3,ai,041_Mjwara_1996,mineral_concentration,na,n,foliar,,eco2_700_amb_360,single_cell,ratio,ambient_co2,-0.1923,,Figure 7,1,element='N'->n | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_360 | lvl_suffix=[] tp_suffix=[] | T_desc='700 umol/mol CO2' C_desc='360 umol/mol CO2' | unit='mg/g DW' | src='Figure 7' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=360,rebuild_2026-08-19/loladze
041_Mjwara_1996__ai__4,ai,041_Mjwara_1996,mineral_concentration,na,n,foliar,,eco2_700_amb_360,single_cell,ratio,ambient_co2,-0.2083,,Figure 7,1,element='N'->n | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_360 | lvl_suffix=[] tp_suffix=[] | T_desc='700 umol/mol CO2' C_desc='360 umol/mol CO2' | unit='mg/g DW' | src='Figure 7' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=360,rebuild_2026-08-19/loladze
041_Mjwara_1996__ai__5,ai,041_Mjwara_1996,mineral_concentration,na,n,foliar,,eco2_700_amb_360,single_cell,ratio,ambient_co2,-0.1667,,Figure 7,1,element='N'->n | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_360 | lvl_suffix=[] tp_suffix=[] | T_desc='700 umol/mol CO2' C_desc='360 umol/mol CO2' | unit='mg/g DW' | src='Figure 7' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=360,rebuild_2026-08-19/loladze
041_Mjwara_1996__ai__6,ai,041_Mjwara_1996,mineral_concentration,na,ca,foliar,,eco2_700_amb_360,single_cell,ratio,ambient_co2,0.3095,,Figure 8A,1,element='Ca'->ca | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_360 | lvl_suffix=[] tp_suffix=[] | T_desc='700 umol/mol CO2' C_desc='360 umol/mol CO2' | unit='mg/g DW' | src='Figure 8A' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=360,rebuild_2026-08-19/loladze
041_Mjwara_1996__ai__7,ai,041_Mjwara_1996,mineral_concentration,na,ca,foliar,,eco2_700_amb_360,single_cell,ratio,ambient_co2,0.2889,,Figure 8A,1,element='Ca'->ca | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_360 | lvl_suffix=[] tp_suffix=[] | T_desc='700 umol/mol CO2' C_desc='360 umol/mol CO2' | unit='mg/g DW' | src='Figure 8A' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=360,rebuild_2026-08-19/loladze
041_Mjwara_1996__ai__8,ai,041_Mjwara_1996,mineral_concentration,na,ca,foliar,,eco2_700_amb_360,single_cell,ratio,ambient_co2,0.1458,,Figure 8A,1,element='Ca'->ca | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_360 | lvl_suffix=[] tp_suffix=[] | T_desc='700 umol/mol CO2' C_desc='360 umol/mol CO2' | unit='mg/g DW' | src='Figure 8A' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=360,rebuild_2026-08-19/loladze
041_Mjwara_1996__ai__9,ai,041_Mjwara_1996,mineral_concentration,na,ca,foliar,,eco2_700_amb_360,single_cell,ratio,ambient_co2,0.1,,Figure 8A,1,element='Ca'->ca | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_700_amb_360 | lvl_suffix=[] tp_suffix=[] | T_desc='700 umol/mol CO2' C_desc='360 umol/mol CO2' | unit='mg/g DW' | src='Figure 8A' || NOTE: no species/cultivar -> blank ; CO2 e=700 a=360,rebuild_2026-08-19/loladze
