row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
042_Luomala_2005__ai__0,ai,042_Luomala_2005,mineral_concentration,na,n,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.1861,,Table 5,0,element='N'->n | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__1,ai,042_Luomala_2005,mineral_concentration,na,n,foliar,pinus_sylvestris__1yr_old,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.3028,,Table 5,0,element='N'->n | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=['1yr_old'] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362 ; age='1-year-old'->1yr_old,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__2,ai,042_Luomala_2005,mineral_concentration,na,n,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.1448,,Table 5,0,element='N'->n | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__3,ai,042_Luomala_2005,mineral_concentration,na,n,foliar,pinus_sylvestris__1yr_old,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.1206,,Table 5,0,element='N'->n | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=['1yr_old'] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362 ; age='1-year-old'->1yr_old,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__4,ai,042_Luomala_2005,mineral_concentration,na,n,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.0923,,Table 5,0,element='N'->n | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__5,ai,042_Luomala_2005,mineral_concentration,na,p,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.1606,,Table 5,0,element='P'->p | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__6,ai,042_Luomala_2005,mineral_concentration,na,p,foliar,pinus_sylvestris__1yr_old,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.1468,,Table 5,0,element='P'->p | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=['1yr_old'] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362 ; age='1-year-old'->1yr_old,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__7,ai,042_Luomala_2005,mineral_concentration,na,p,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.1056,,Table 5,0,element='P'->p | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__8,ai,042_Luomala_2005,mineral_concentration,na,p,foliar,pinus_sylvestris__1yr_old,eco2_693_amb_362,single_cell,ratio,ambient_co2,0.2118,,Table 5,0,element='P'->p | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=['1yr_old'] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362 ; age='1-year-old'->1yr_old,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__9,ai,042_Luomala_2005,mineral_concentration,na,p,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.1257,,Table 5,0,element='P'->p | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__10,ai,042_Luomala_2005,mineral_concentration,na,k,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.1646,,Table 5,0,element='K'->k | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__11,ai,042_Luomala_2005,mineral_concentration,na,k,foliar,pinus_sylvestris__1yr_old,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.098,,Table 5,0,element='K'->k | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=['1yr_old'] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362 ; age='1-year-old'->1yr_old,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__12,ai,042_Luomala_2005,mineral_concentration,na,k,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,0.062,,Table 5,0,element='K'->k | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__13,ai,042_Luomala_2005,mineral_concentration,na,k,foliar,pinus_sylvestris__1yr_old,eco2_693_amb_362,single_cell,ratio,ambient_co2,0.1659,,Table 5,0,element='K'->k | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=['1yr_old'] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362 ; age='1-year-old'->1yr_old,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__14,ai,042_Luomala_2005,mineral_concentration,na,k,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.0652,,Table 5,0,element='K'->k | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__15,ai,042_Luomala_2005,mineral_concentration,na,ca,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.1737,,Table 5,0,element='Ca'->ca | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__16,ai,042_Luomala_2005,mineral_concentration,na,ca,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,0.1149,,Table 5,0,element='Ca'->ca | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__17,ai,042_Luomala_2005,mineral_concentration,na,mg,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.055,,Table 5,0,element='Mg'->mg | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__18,ai,042_Luomala_2005,mineral_concentration,na,mg,foliar,pinus_sylvestris__1yr_old,eco2_693_amb_362,single_cell,ratio,ambient_co2,0.1364,,Table 5,0,element='Mg'->mg | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=['1yr_old'] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362 ; age='1-year-old'->1yr_old,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__19,ai,042_Luomala_2005,mineral_concentration,na,mg,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,0.1294,,Table 5,0,element='Mg'->mg | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__20,ai,042_Luomala_2005,mineral_concentration,na,mg,foliar,pinus_sylvestris__1yr_old,eco2_693_amb_362,single_cell,ratio,ambient_co2,0.1034,,Table 5,0,element='Mg'->mg | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=['1yr_old'] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362 ; age='1-year-old'->1yr_old,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__21,ai,042_Luomala_2005,mineral_concentration,na,mg,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.0541,,Table 5,0,element='Mg'->mg | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='mg/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__22,ai,042_Luomala_2005,mineral_concentration,na,s,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.0809,,Table 5,0,element='S'->s | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__23,ai,042_Luomala_2005,mineral_concentration,na,s,foliar,pinus_sylvestris__1yr_old,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.176,,Table 5,0,element='S'->s | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=['1yr_old'] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362 ; age='1-year-old'->1yr_old,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__24,ai,042_Luomala_2005,mineral_concentration,na,s,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.0582,,Table 5,0,element='S'->s | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__25,ai,042_Luomala_2005,mineral_concentration,na,s,foliar,pinus_sylvestris__1yr_old,eco2_693_amb_362,single_cell,ratio,ambient_co2,0.053,,Table 5,0,element='S'->s | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=['1yr_old'] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362 ; age='1-year-old'->1yr_old,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__26,ai,042_Luomala_2005,mineral_concentration,na,cu,foliar,pinus_sylvestris,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.2201,,Table 5,0,element='Cu'->cu | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=[] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362,rebuild_2026-08-19/loladze
042_Luomala_2005__ai__27,ai,042_Luomala_2005,mineral_concentration,na,cu,foliar,pinus_sylvestris__1yr_old,eco2_693_amb_362,single_cell,ratio,ambient_co2,-0.1355,,Table 5,0,element='Cu'->cu | tissue='needle'->foliar | species='Pinus sylvestris' | CO2->eco2_693_amb_362 | lvl_suffix=['1yr_old'] tp_suffix=[] | T_desc='elevated CO2 (~693 umol/mol)' C_desc='ambient CO2 (~362 umol/mol)' | unit='ug/g DW' | src='Table 5' || NOTE: species='Pinus sylvestris' ; CO2 e=693 a=362 ; age='1-year-old'->1yr_old,rebuild_2026-08-19/loladze
