row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
043_Natali_2009__ai__0,ai,043_Natali_2009,mineral_concentration,na,al,foliar,pinus_taeda__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.2607,,Table 6,0,"element='Al'->al | tissue='leaf (0-yr needles)'->foliar | species='Pinus taeda' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Pinus taeda' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__1,ai,043_Natali_2009,mineral_concentration,na,co,foliar,pinus_taeda__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.3278,,Table 6,0,"element='Co'->co | tissue='leaf (0-yr needles)'->foliar | species='Pinus taeda' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ng/g' | src='Table 6' || NOTE: species='Pinus taeda' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__2,ai,043_Natali_2009,mineral_concentration,na,pb,foliar,pinus_taeda__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,0.3355,,Table 6,0,"element='Pb'->pb | tissue='leaf (0-yr needles)'->foliar | species='Pinus taeda' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ng/g' | src='Table 6' || NOTE: species='Pinus taeda' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__3,ai,043_Natali_2009,mineral_concentration,na,v,foliar,pinus_taeda__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.2542,,Table 6,0,"element='V'->v | tissue='leaf (0-yr needles)'->foliar | species='Pinus taeda' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ng/g' | src='Table 6' || NOTE: species='Pinus taeda' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__4,ai,043_Natali_2009,mineral_concentration,na,cu,foliar,pinus_taeda__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,0.0937,,Table 6,0,"element='Cu'->cu | tissue='leaf (0-yr needles)'->foliar | species='Pinus taeda' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Pinus taeda' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__5,ai,043_Natali_2009,mineral_concentration,na,fe,foliar,pinus_taeda__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.0216,,Table 6,0,"element='Fe'->fe | tissue='leaf (0-yr needles)'->foliar | species='Pinus taeda' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Pinus taeda' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__6,ai,043_Natali_2009,mineral_concentration,na,mn,foliar,pinus_taeda__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.0024,,Table 6,0,"element='Mn'->mn | tissue='leaf (0-yr needles)'->foliar | species='Pinus taeda' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Pinus taeda' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__7,ai,043_Natali_2009,mineral_concentration,na,mo,foliar,pinus_taeda__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.2776,,Table 6,0,"element='Mo'->mo | tissue='leaf (0-yr needles)'->foliar | species='Pinus taeda' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ng/g' | src='Table 6' || NOTE: species='Pinus taeda' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__8,ai,043_Natali_2009,mineral_concentration,na,ni,foliar,pinus_taeda__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.2222,,Table 6,0,"element='Ni'->ni | tissue='leaf (0-yr needles)'->foliar | species='Pinus taeda' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Pinus taeda' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__9,ai,043_Natali_2009,mineral_concentration,na,zn,foliar,pinus_taeda__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.1684,,Table 6,0,"element='Zn'->zn | tissue='leaf (0-yr needles)'->foliar | species='Pinus taeda' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Pinus taeda' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
043_Natali_2009__ai__10,ai,043_Natali_2009,mineral_concentration,na,al,foliar,pinus_taeda__duke,eco2_570_amb_370,single_cell,ratio,ambient_co2,-0.3453,,Table 6,0,"element='Al'->al | tissue='leaf (1-yr needles)'->foliar | species='Pinus taeda' | CO2->eco2_570_amb_370 | lvl_suffix=['duke'] tp_suffix=[] | T_desc='elevated CO2' C_desc='ambient CO2' | unit='ug/g' | src='Table 6' || NOTE: species='Pinus taeda' ; CO2 e=570 a=370 ; site='Duke'->duke ; obs-level species,site promoted into moderator view",rebuild_2026-08-19/loladze
