row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
044_Housman_2012__ai__0,ai,044_Housman_2012,mineral_concentration,na,n,foliar,ambrosia_dumosa,eco2_550_amb_370,single_cell,ratio,ambient_co2,-0.1333,,Table 1,0,element='N'->n | tissue='green leaf'->foliar | species='Ambrosia dumosa' | CO2->eco2_550_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (~370 ppm)' | unit='%' | src='Table 1' || NOTE: species='Ambrosia dumosa' ; CO2 e=550 a=370,rebuild_2026-08-19/loladze
044_Housman_2012__ai__1,ai,044_Housman_2012,mineral_concentration,na,p,foliar,ambrosia_dumosa,eco2_550_amb_370,single_cell,ratio,ambient_co2,-0.1111,,Table 1,0,element='P'->p | tissue='green leaf'->foliar | species='Ambrosia dumosa' | CO2->eco2_550_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (~370 ppm)' | unit='%' | src='Table 1' || NOTE: species='Ambrosia dumosa' ; CO2 e=550 a=370,rebuild_2026-08-19/loladze
044_Housman_2012__ai__2,ai,044_Housman_2012,mineral_concentration,na,cu,foliar,ambrosia_dumosa,eco2_550_amb_370,single_cell,ratio,ambient_co2,0.2361,,Table 1,0,element='Cu'->cu | tissue='green leaf'->foliar | species='Ambrosia dumosa' | CO2->eco2_550_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (~370 ppm)' | unit='mg/kg' | src='Table 1' || NOTE: species='Ambrosia dumosa' ; CO2 e=550 a=370,rebuild_2026-08-19/loladze
044_Housman_2012__ai__3,ai,044_Housman_2012,mineral_concentration,na,mn,foliar,ambrosia_dumosa,eco2_550_amb_370,single_cell,ratio,ambient_co2,-0.2907,,Table 1,0,element='Mn'->mn | tissue='green leaf'->foliar | species='Ambrosia dumosa' | CO2->eco2_550_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (~370 ppm)' | unit='mg/kg' | src='Table 1' || NOTE: species='Ambrosia dumosa' ; CO2 e=550 a=370,rebuild_2026-08-19/loladze
044_Housman_2012__ai__4,ai,044_Housman_2012,mineral_concentration,na,zn,foliar,ambrosia_dumosa,eco2_550_amb_370,single_cell,ratio,ambient_co2,0.3065,,Table 1,0,element='Zn'->zn | tissue='green leaf'->foliar | species='Ambrosia dumosa' | CO2->eco2_550_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (~370 ppm)' | unit='mg/kg' | src='Table 1' || NOTE: species='Ambrosia dumosa' ; CO2 e=550 a=370,rebuild_2026-08-19/loladze
044_Housman_2012__ai__5,ai,044_Housman_2012,mineral_concentration,na,n,foliar,lycium_pallidum,eco2_550_amb_370,single_cell,ratio,ambient_co2,-0.1,,Table 1,0,element='N'->n | tissue='green leaf'->foliar | species='Lycium pallidum' | CO2->eco2_550_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (~370 ppm)' | unit='%' | src='Table 1' || NOTE: species='Lycium pallidum' ; CO2 e=550 a=370,rebuild_2026-08-19/loladze
044_Housman_2012__ai__6,ai,044_Housman_2012,mineral_concentration,na,p,foliar,lycium_pallidum,eco2_550_amb_370,single_cell,ratio,ambient_co2,-0.0625,,Table 1,0,element='P'->p | tissue='green leaf'->foliar | species='Lycium pallidum' | CO2->eco2_550_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (~370 ppm)' | unit='%' | src='Table 1' || NOTE: species='Lycium pallidum' ; CO2 e=550 a=370,rebuild_2026-08-19/loladze
044_Housman_2012__ai__7,ai,044_Housman_2012,mineral_concentration,na,cu,foliar,lycium_pallidum,eco2_550_amb_370,single_cell,ratio,ambient_co2,0.5429,,Table 1,0,element='Cu'->cu | tissue='green leaf'->foliar | species='Lycium pallidum' | CO2->eco2_550_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (~370 ppm)' | unit='mg/kg' | src='Table 1' || NOTE: species='Lycium pallidum' ; CO2 e=550 a=370,rebuild_2026-08-19/loladze
044_Housman_2012__ai__8,ai,044_Housman_2012,mineral_concentration,na,mn,foliar,lycium_pallidum,eco2_550_amb_370,single_cell,ratio,ambient_co2,-0.1268,,Table 1,0,element='Mn'->mn | tissue='green leaf'->foliar | species='Lycium pallidum' | CO2->eco2_550_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (~370 ppm)' | unit='mg/kg' | src='Table 1' || NOTE: species='Lycium pallidum' ; CO2 e=550 a=370,rebuild_2026-08-19/loladze
044_Housman_2012__ai__9,ai,044_Housman_2012,mineral_concentration,na,zn,foliar,lycium_pallidum,eco2_550_amb_370,single_cell,ratio,ambient_co2,0.1927,,Table 1,0,element='Zn'->zn | tissue='green leaf'->foliar | species='Lycium pallidum' | CO2->eco2_550_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (~370 ppm)' | unit='mg/kg' | src='Table 1' || NOTE: species='Lycium pallidum' ; CO2 e=550 a=370,rebuild_2026-08-19/loladze
044_Housman_2012__ai__10,ai,044_Housman_2012,mineral_concentration,na,n,foliar,ambrosia_dumosa,eco2_550_amb_370,single_cell,ratio,ambient_co2,-0.1364,,Table 1,0,element='N'->n | tissue='green leaf'->foliar | species='Ambrosia dumosa' | CO2->eco2_550_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (~370 ppm)' | unit='%' | src='Table 1' || NOTE: species='Ambrosia dumosa' ; CO2 e=550 a=370,rebuild_2026-08-19/loladze
044_Housman_2012__ai__11,ai,044_Housman_2012,mineral_concentration,na,p,foliar,ambrosia_dumosa,eco2_550_amb_370,single_cell,ratio,ambient_co2,-0.1818,,Table 1,0,element='P'->p | tissue='green leaf'->foliar | species='Ambrosia dumosa' | CO2->eco2_550_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (~370 ppm)' | unit='%' | src='Table 1' || NOTE: species='Ambrosia dumosa' ; CO2 e=550 a=370,rebuild_2026-08-19/loladze
044_Housman_2012__ai__12,ai,044_Housman_2012,mineral_concentration,na,cu,foliar,ambrosia_dumosa,eco2_550_amb_370,single_cell,ratio,ambient_co2,-0.0968,,Table 1,0,element='Cu'->cu | tissue='green leaf'->foliar | species='Ambrosia dumosa' | CO2->eco2_550_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (~370 ppm)' | unit='mg/kg' | src='Table 1' || NOTE: species='Ambrosia dumosa' ; CO2 e=550 a=370,rebuild_2026-08-19/loladze
044_Housman_2012__ai__13,ai,044_Housman_2012,mineral_concentration,na,mn,foliar,ambrosia_dumosa,eco2_550_amb_370,single_cell,ratio,ambient_co2,-0.1553,,Table 1,0,element='Mn'->mn | tissue='green leaf'->foliar | species='Ambrosia dumosa' | CO2->eco2_550_amb_370 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (550 ppm)' C_desc='Ambient CO2 (~370 ppm)' | unit='mg/kg' | src='Table 1' || NOTE: species='Ambrosia dumosa' ; CO2 e=550 a=370,rebuild_2026-08-19/loladze
