row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
046_Porter_1984__ai__0,ai,046_Porter_1984,mineral_concentration,na,n,foliar,seafarer,eco2_1200_amb_330,single_cell,ratio,ambient_co2,-0.256281,,Table II,0,"element='Nitrogen (N)'->n | tissue='leaf'->foliar | cultivar='Seafarer' | CO2->eco2_1200_amb_330 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (1200 ppm), 7 days' C_desc='Ambient CO2 (330 ppm), 7 days' | unit='%' | src='Table II' || NOTE: cultivar='Seafarer' ; CO2 e=1200 a=330",ai-decode-v3
046_Porter_1984__ai__1,ai,046_Porter_1984,mineral_concentration,na,n,foliar,seafarer,eco2_1200_amb_330,single_cell,ratio,ambient_co2,-0.312329,,Table II,0,"element='Nitrogen (N)'->n | tissue='leaf'->foliar | cultivar='Seafarer' | CO2->eco2_1200_amb_330 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (1200 ppm), 14 days' C_desc='Ambient CO2 (330 ppm), 14 days' | unit='%' | src='Table II' || NOTE: cultivar='Seafarer' ; CO2 e=1200 a=330",ai-decode-v3
046_Porter_1984__ai__2,ai,046_Porter_1984,mineral_concentration,na,p,foliar,seafarer,eco2_1200_amb_330,single_cell,ratio,ambient_co2,-0.205882,,Table II,0,"element='Phosphorus (P)'->p | tissue='leaf'->foliar | cultivar='Seafarer' | CO2->eco2_1200_amb_330 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (1200 ppm), 7 days' C_desc='Ambient CO2 (330 ppm), 7 days' | unit='%' | src='Table II' || NOTE: cultivar='Seafarer' ; CO2 e=1200 a=330",ai-decode-v3
046_Porter_1984__ai__3,ai,046_Porter_1984,mineral_concentration,na,p,foliar,seafarer,eco2_1200_amb_330,single_cell,ratio,ambient_co2,-0.342857,,Table II,0,"element='Phosphorus (P)'->p | tissue='leaf'->foliar | cultivar='Seafarer' | CO2->eco2_1200_amb_330 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (1200 ppm), 14 days' C_desc='Ambient CO2 (330 ppm), 14 days' | unit='%' | src='Table II' || NOTE: cultivar='Seafarer' ; CO2 e=1200 a=330",ai-decode-v3
046_Porter_1984__ai__4,ai,046_Porter_1984,mineral_concentration,na,k,foliar,seafarer,eco2_1200_amb_330,single_cell,ratio,ambient_co2,-0.189474,,Table II,0,"element='Potassium (K)'->k | tissue='leaf'->foliar | cultivar='Seafarer' | CO2->eco2_1200_amb_330 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (1200 ppm), 7 days' C_desc='Ambient CO2 (330 ppm), 7 days' | unit='%' | src='Table II' || NOTE: cultivar='Seafarer' ; CO2 e=1200 a=330",ai-decode-v3
046_Porter_1984__ai__5,ai,046_Porter_1984,mineral_concentration,na,k,foliar,seafarer,eco2_1200_amb_330,single_cell,ratio,ambient_co2,-0.24911,,Table II,0,"element='Potassium (K)'->k | tissue='leaf'->foliar | cultivar='Seafarer' | CO2->eco2_1200_amb_330 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (1200 ppm), 14 days' C_desc='Ambient CO2 (330 ppm), 14 days' | unit='%' | src='Table II' || NOTE: cultivar='Seafarer' ; CO2 e=1200 a=330",ai-decode-v3
046_Porter_1984__ai__6,ai,046_Porter_1984,mineral_concentration,na,ca,foliar,seafarer,eco2_1200_amb_330,single_cell,ratio,ambient_co2,-0.254386,,Table II,0,"element='Calcium (Ca)'->ca | tissue='leaf'->foliar | cultivar='Seafarer' | CO2->eco2_1200_amb_330 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (1200 ppm), 7 days' C_desc='Ambient CO2 (330 ppm), 7 days' | unit='%' | src='Table II' || NOTE: cultivar='Seafarer' ; CO2 e=1200 a=330",ai-decode-v3
046_Porter_1984__ai__7,ai,046_Porter_1984,mineral_concentration,na,ca,foliar,seafarer,eco2_1200_amb_330,single_cell,ratio,ambient_co2,-0.375691,,Table II,0,"element='Calcium (Ca)'->ca | tissue='leaf'->foliar | cultivar='Seafarer' | CO2->eco2_1200_amb_330 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (1200 ppm), 14 days' C_desc='Ambient CO2 (330 ppm), 14 days' | unit='%' | src='Table II' || NOTE: cultivar='Seafarer' ; CO2 e=1200 a=330",ai-decode-v3
046_Porter_1984__ai__8,ai,046_Porter_1984,mineral_concentration,na,mg,foliar,seafarer,eco2_1200_amb_330,single_cell,ratio,ambient_co2,-0.297297,,Table II,0,"element='Magnesium (Mg)'->mg | tissue='leaf'->foliar | cultivar='Seafarer' | CO2->eco2_1200_amb_330 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (1200 ppm), 7 days' C_desc='Ambient CO2 (330 ppm), 7 days' | unit='%' | src='Table II' || NOTE: cultivar='Seafarer' ; CO2 e=1200 a=330",ai-decode-v3
046_Porter_1984__ai__9,ai,046_Porter_1984,mineral_concentration,na,mg,foliar,seafarer,eco2_1200_amb_330,single_cell,ratio,ambient_co2,-0.397727,,Table II,0,"element='Magnesium (Mg)'->mg | tissue='leaf'->foliar | cultivar='Seafarer' | CO2->eco2_1200_amb_330 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (1200 ppm), 14 days' C_desc='Ambient CO2 (330 ppm), 14 days' | unit='%' | src='Table II' || NOTE: cultivar='Seafarer' ; CO2 e=1200 a=330",ai-decode-v3
