row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
047_Rodenkirchen_2009__ai__0,ai,047_Rodenkirchen_2009,mineral_concentration,na,n,above_ground,,eco2_700_amb_400,single_cell,ratio,ambient_co2,0,,Figure 1,1,"element='N'->n | tissue='shoot'->above_ground | no species/cultivar -> blank | CO2->eco2_700_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='eCO2 (700 ppm), P. croceum' C_desc='aCO2 (400 ppm), P. croceum' | unit='ug/g' | src='Figure 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; no species/cultivar -> blank ; CO2 e=700 a=400",rebuild_2026-08-19/loladze
047_Rodenkirchen_2009__ai__1,ai,047_Rodenkirchen_2009,mineral_concentration,na,n,above_ground,,eco2_700_amb_400,single_cell,ratio,ambient_co2,0.0588,,Figure 1,1,"element='N'->n | tissue='shoot'->above_ground | no species/cultivar -> blank | CO2->eco2_700_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='eCO2+N (700 ppm+N), P. croceum' C_desc='aCO2+N (400 ppm+N), P. croceum' | unit='ug/g' | src='Figure 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; no species/cultivar -> blank ; CO2 e=700 a=400",rebuild_2026-08-19/loladze
047_Rodenkirchen_2009__ai__2,ai,047_Rodenkirchen_2009,mineral_concentration,na,n,edible,,eco2_700_amb_400,single_cell,ratio,ambient_co2,-0.0667,,Figure 1,1,"element='N'->n | tissue='root'->edible | no species/cultivar -> blank | CO2->eco2_700_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='eCO2 (700 ppm), P. croceum' C_desc='aCO2 (400 ppm), P. croceum' | unit='ug/g' | src='Figure 1' || NOTE: storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 e=700 a=400",rebuild_2026-08-19/loladze
047_Rodenkirchen_2009__ai__3,ai,047_Rodenkirchen_2009,mineral_concentration,na,n,edible,,eco2_700_amb_400,single_cell,ratio,ambient_co2,-0.0196,,Figure 1,1,"element='N'->n | tissue='root'->edible | no species/cultivar -> blank | CO2->eco2_700_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='eCO2+N (700 ppm+N), P. croceum' C_desc='aCO2+N (400 ppm+N), P. croceum' | unit='ug/g' | src='Figure 1' || NOTE: storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 e=700 a=400",rebuild_2026-08-19/loladze
047_Rodenkirchen_2009__ai__4,ai,047_Rodenkirchen_2009,mineral_concentration,na,n,total_plant,,eco2_700_amb_400,single_cell,ratio,ambient_co2,0,,Figure 1,1,"element='N'->n | tissue='total plant'->total_plant | no species/cultivar -> blank | CO2->eco2_700_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='eCO2 (700 ppm), P. croceum' C_desc='aCO2 (400 ppm), P. croceum' | unit='ug/g' | src='Figure 1' || NOTE: tissue outside closed list: 'total plant' ; no species/cultivar -> blank ; CO2 e=700 a=400",rebuild_2026-08-19/loladze
047_Rodenkirchen_2009__ai__5,ai,047_Rodenkirchen_2009,mineral_concentration,na,n,total_plant,,eco2_700_amb_400,single_cell,ratio,ambient_co2,-0.0196,,Figure 1,1,"element='N'->n | tissue='total plant'->total_plant | no species/cultivar -> blank | CO2->eco2_700_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='eCO2+N (700 ppm+N), P. croceum' C_desc='aCO2+N (400 ppm+N), P. croceum' | unit='ug/g' | src='Figure 1' || NOTE: tissue outside closed list: 'total plant' ; no species/cultivar -> blank ; CO2 e=700 a=400",rebuild_2026-08-19/loladze
047_Rodenkirchen_2009__ai__6,ai,047_Rodenkirchen_2009,mineral_concentration,na,n,above_ground,,eco2_700_amb_400,single_cell,ratio,ambient_co2,0,,Figure 1,1,"element='N'->n | tissue='shoot'->above_ground | no species/cultivar -> blank | CO2->eco2_700_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='eCO2 (700 ppm), T. submollis' C_desc='aCO2 (400 ppm), T. submollis' | unit='ug/g' | src='Figure 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; no species/cultivar -> blank ; CO2 e=700 a=400",rebuild_2026-08-19/loladze
047_Rodenkirchen_2009__ai__7,ai,047_Rodenkirchen_2009,mineral_concentration,na,n,above_ground,,eco2_700_amb_400,single_cell,ratio,ambient_co2,0.0652,,Figure 1,1,"element='N'->n | tissue='shoot'->above_ground | no species/cultivar -> blank | CO2->eco2_700_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='eCO2+N (700 ppm+N), T. submollis' C_desc='aCO2+N (400 ppm+N), T. submollis' | unit='ug/g' | src='Figure 1' || NOTE: shoot/stem-class -> above_ground (GT convention) ; no species/cultivar -> blank ; CO2 e=700 a=400",rebuild_2026-08-19/loladze
047_Rodenkirchen_2009__ai__8,ai,047_Rodenkirchen_2009,mineral_concentration,na,n,edible,,eco2_700_amb_400,single_cell,ratio,ambient_co2,-0.0286,,Figure 1,1,"element='N'->n | tissue='root'->edible | no species/cultivar -> blank | CO2->eco2_700_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='eCO2 (700 ppm), T. submollis' C_desc='aCO2 (400 ppm), T. submollis' | unit='ug/g' | src='Figure 1' || NOTE: storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 e=700 a=400",rebuild_2026-08-19/loladze
047_Rodenkirchen_2009__ai__9,ai,047_Rodenkirchen_2009,mineral_concentration,na,n,edible,,eco2_700_amb_400,single_cell,ratio,ambient_co2,0.02,,Figure 1,1,"element='N'->n | tissue='root'->edible | no species/cultivar -> blank | CO2->eco2_700_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='eCO2+N (700 ppm+N), T. submollis' C_desc='aCO2+N (400 ppm+N), T. submollis' | unit='ug/g' | src='Figure 1' || NOTE: storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 e=700 a=400",rebuild_2026-08-19/loladze
047_Rodenkirchen_2009__ai__10,ai,047_Rodenkirchen_2009,mineral_concentration,na,n,total_plant,,eco2_700_amb_400,single_cell,ratio,ambient_co2,-0.02,,Figure 1,1,"element='N'->n | tissue='total plant'->total_plant | no species/cultivar -> blank | CO2->eco2_700_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='eCO2 (700 ppm), T. submollis' C_desc='aCO2 (400 ppm), T. submollis' | unit='ug/g' | src='Figure 1' || NOTE: tissue outside closed list: 'total plant' ; no species/cultivar -> blank ; CO2 e=700 a=400",rebuild_2026-08-19/loladze
