row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
048_Khan_2013__ai__0,ai,048_Khan_2013,mineral_concentration,na,c,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.4027,,Table 4,0,"element='C'->c | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Astra, mature' C_desc='400 umol/mol CO2, Astra, mature' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__1,ai,048_Khan_2013,mineral_concentration,na,c,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.3314,,Table 4,0,"element='C'->c | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Eureka, mature' C_desc='400 umol/mol CO2, Eureka, mature' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__2,ai,048_Khan_2013,mineral_concentration,na,n,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.1829,,Table 4,0,"element='N'->n | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Astra, mature' C_desc='400 umol/mol CO2, Astra, mature' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__3,ai,048_Khan_2013,mineral_concentration,na,n,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.1378,,Table 4,0,"element='N'->n | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Eureka, mature' C_desc='400 umol/mol CO2, Eureka, mature' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__4,ai,048_Khan_2013,mineral_concentration,na,,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.2778,,Table 4,0,"element='H'->(blank) | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Astra, mature' C_desc='400 umol/mol CO2, Astra, mature' | unit='%' | src='Table 4' || NOTE: element not in closed mineral list (undeterminable symbol): 'H' ; no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__5,ai,048_Khan_2013,mineral_concentration,na,,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.2033,,Table 4,0,"element='H'->(blank) | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Eureka, mature' C_desc='400 umol/mol CO2, Eureka, mature' | unit='%' | src='Table 4' || NOTE: element not in closed mineral list (undeterminable symbol): 'H' ; no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__6,ai,048_Khan_2013,mineral_concentration,na,s,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.0541,,Table 4,0,"element='S'->s | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Astra, mature' C_desc='400 umol/mol CO2, Astra, mature' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__7,ai,048_Khan_2013,mineral_concentration,na,s,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.0755,,Table 4,0,"element='S'->s | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Eureka, mature' C_desc='400 umol/mol CO2, Eureka, mature' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__8,ai,048_Khan_2013,mineral_concentration,na,ca,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.0769,,Table 4,0,"element='Ca'->ca | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Astra, mature' C_desc='400 umol/mol CO2, Astra, mature' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__9,ai,048_Khan_2013,mineral_concentration,na,ca,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.0714,,Table 4,0,"element='Ca'->ca | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Eureka, mature' C_desc='400 umol/mol CO2, Eureka, mature' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__10,ai,048_Khan_2013,mineral_concentration,na,mg,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.0548,,Table 4,0,"element='Mg'->mg | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Astra, mature' C_desc='400 umol/mol CO2, Astra, mature' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__11,ai,048_Khan_2013,mineral_concentration,na,mg,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.2222,,Table 4,0,"element='Mg'->mg | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Eureka, mature' C_desc='400 umol/mol CO2, Eureka, mature' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__12,ai,048_Khan_2013,mineral_concentration,na,k,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.0043,,Table 4,0,"element='K'->k | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Astra, mature' C_desc='400 umol/mol CO2, Astra, mature' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__13,ai,048_Khan_2013,mineral_concentration,na,k,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.0022,,Table 4,0,"element='K'->k | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Eureka, mature' C_desc='400 umol/mol CO2, Eureka, mature' | unit='%' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__14,ai,048_Khan_2013,mineral_concentration,na,zn,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.2836,,Table 4,0,"element='Zn'->zn | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Astra, mature' C_desc='400 umol/mol CO2, Astra, mature' | unit='ug/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__15,ai,048_Khan_2013,mineral_concentration,na,zn,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.1402,,Table 4,0,"element='Zn'->zn | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Eureka, mature' C_desc='400 umol/mol CO2, Eureka, mature' | unit='ug/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__16,ai,048_Khan_2013,mineral_concentration,na,mn,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.0777,,Table 4,0,"element='Mn'->mn | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Astra, mature' C_desc='400 umol/mol CO2, Astra, mature' | unit='ug/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__17,ai,048_Khan_2013,mineral_concentration,na,mn,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.0423,,Table 4,0,"element='Mn'->mn | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Eureka, mature' C_desc='400 umol/mol CO2, Eureka, mature' | unit='ug/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__18,ai,048_Khan_2013,mineral_concentration,na,fe,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.0303,,Table 4,0,"element='Fe'->fe | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Astra, mature' C_desc='400 umol/mol CO2, Astra, mature' | unit='ug/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
048_Khan_2013__ai__19,ai,048_Khan_2013,mineral_concentration,na,fe,edible,,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.1316,,Table 4,0,"element='Fe'->fe | tissue='fruit'->edible | no species/cultivar -> blank | CO2->eco2_1000_amb_400 | lvl_suffix=[] tp_suffix=[] | T_desc='1000 umol/mol CO2, Eureka, mature' C_desc='400 umol/mol CO2, Eureka, mature' | unit='ug/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 e=1000 a=400",rebuild_2026-08-19/loladze
