row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
049_Singh_2013__ai__0,ai,049_Singh_2013,mineral_concentration,na,,grain,,co2_unresolved__y2009_10,single_cell,ratio,ambient_co2,0.0684,,Table 3,0,"element='oil'->(blank) | tissue='seed'->grain | no species/cultivar -> blank | CO2->co2_unresolved__y2009_10 | lvl_suffix=[] tp_suffix=['y2009_10'] | T_desc='NF+CO2 (500+/-50 ppm CO2)' C_desc='NF (nonfiltered air, ambient CO2)' | unit='%' | src='Table 3' || NOTE: element not in closed mineral list (undeterminable symbol): 'oil' ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='NF+CO2 (500+/-50 ppm CO2)' c='NF (nonfiltered air, ambient CO2)') ; year='2009-10'->y2009_10",rebuild_2026-08-19/loladze
049_Singh_2013__ai__1,ai,049_Singh_2013,mineral_concentration,na,,grain,,co2_unresolved__y2010_11,single_cell,ratio,ambient_co2,0.0639,,Table 3,0,"element='oil'->(blank) | tissue='seed'->grain | no species/cultivar -> blank | CO2->co2_unresolved__y2010_11 | lvl_suffix=[] tp_suffix=['y2010_11'] | T_desc='NF+CO2 (500+/-50 ppm CO2)' C_desc='NF (nonfiltered air, ambient CO2)' | unit='%' | src='Table 3' || NOTE: element not in closed mineral list (undeterminable symbol): 'oil' ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='NF+CO2 (500+/-50 ppm CO2)' c='NF (nonfiltered air, ambient CO2)') ; year='2010-11'->y2010_11",rebuild_2026-08-19/loladze
049_Singh_2013__ai__2,ai,049_Singh_2013,mineral_concentration,na,,grain,,co2_unresolved__y2009_10,single_cell,ratio,ambient_co2,-0.0556,,Table 3,0,"element='protein'->(blank) | tissue='seed'->grain | no species/cultivar -> blank | CO2->co2_unresolved__y2009_10 | lvl_suffix=[] tp_suffix=['y2009_10'] | T_desc='NF+CO2 (500+/-50 ppm CO2)' C_desc='NF (nonfiltered air, ambient CO2)' | unit='%' | src='Table 3' || NOTE: non-mineral variable (no element symbol): 'protein' ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='NF+CO2 (500+/-50 ppm CO2)' c='NF (nonfiltered air, ambient CO2)') ; year='2009-10'->y2009_10",rebuild_2026-08-19/loladze
049_Singh_2013__ai__3,ai,049_Singh_2013,mineral_concentration,na,,grain,,co2_unresolved__y2010_11,single_cell,ratio,ambient_co2,-0.0574,,Table 3,0,"element='protein'->(blank) | tissue='seed'->grain | no species/cultivar -> blank | CO2->co2_unresolved__y2010_11 | lvl_suffix=[] tp_suffix=['y2010_11'] | T_desc='NF+CO2 (500+/-50 ppm CO2)' C_desc='NF (nonfiltered air, ambient CO2)' | unit='%' | src='Table 3' || NOTE: non-mineral variable (no element symbol): 'protein' ; no species/cultivar -> blank ; CO2 ppm undeterminable (td='NF+CO2 (500+/-50 ppm CO2)' c='NF (nonfiltered air, ambient CO2)') ; year='2010-11'->y2010_11",rebuild_2026-08-19/loladze
049_Singh_2013__ai__4,ai,049_Singh_2013,mineral_concentration,na,ca,grain,,co2_unresolved__y2009_10,single_cell,ratio,ambient_co2,-0.122,,Table 4,0,"element='Ca'->ca | tissue='seed'->grain | no species/cultivar -> blank | CO2->co2_unresolved__y2009_10 | lvl_suffix=[] tp_suffix=['y2009_10'] | T_desc='NF+CO2 (500+/-50 ppm CO2)' C_desc='NF (nonfiltered air, ambient CO2)' | unit='mg/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='NF+CO2 (500+/-50 ppm CO2)' c='NF (nonfiltered air, ambient CO2)') ; year='2009-10'->y2009_10",rebuild_2026-08-19/loladze
049_Singh_2013__ai__5,ai,049_Singh_2013,mineral_concentration,na,ca,grain,,co2_unresolved__y2010_11,single_cell,ratio,ambient_co2,-0.0488,,Table 4,0,"element='Ca'->ca | tissue='seed'->grain | no species/cultivar -> blank | CO2->co2_unresolved__y2010_11 | lvl_suffix=[] tp_suffix=['y2010_11'] | T_desc='NF+CO2 (500+/-50 ppm CO2)' C_desc='NF (nonfiltered air, ambient CO2)' | unit='mg/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='NF+CO2 (500+/-50 ppm CO2)' c='NF (nonfiltered air, ambient CO2)') ; year='2010-11'->y2010_11",rebuild_2026-08-19/loladze
049_Singh_2013__ai__6,ai,049_Singh_2013,mineral_concentration,na,mg,grain,,co2_unresolved__y2009_10,single_cell,ratio,ambient_co2,-0.0606,,Table 4,0,"element='Mg'->mg | tissue='seed'->grain | no species/cultivar -> blank | CO2->co2_unresolved__y2009_10 | lvl_suffix=[] tp_suffix=['y2009_10'] | T_desc='NF+CO2 (500+/-50 ppm CO2)' C_desc='NF (nonfiltered air, ambient CO2)' | unit='mg/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='NF+CO2 (500+/-50 ppm CO2)' c='NF (nonfiltered air, ambient CO2)') ; year='2009-10'->y2009_10",rebuild_2026-08-19/loladze
049_Singh_2013__ai__7,ai,049_Singh_2013,mineral_concentration,na,mg,grain,,co2_unresolved__y2010_11,single_cell,ratio,ambient_co2,-0.0857,,Table 4,0,"element='Mg'->mg | tissue='seed'->grain | no species/cultivar -> blank | CO2->co2_unresolved__y2010_11 | lvl_suffix=[] tp_suffix=['y2010_11'] | T_desc='NF+CO2 (500+/-50 ppm CO2)' C_desc='NF (nonfiltered air, ambient CO2)' | unit='mg/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='NF+CO2 (500+/-50 ppm CO2)' c='NF (nonfiltered air, ambient CO2)') ; year='2010-11'->y2010_11",rebuild_2026-08-19/loladze
049_Singh_2013__ai__8,ai,049_Singh_2013,mineral_concentration,na,s,grain,,co2_unresolved__y2009_10,single_cell,ratio,ambient_co2,-0.0682,,Table 4,0,"element='S'->s | tissue='seed'->grain | no species/cultivar -> blank | CO2->co2_unresolved__y2009_10 | lvl_suffix=[] tp_suffix=['y2009_10'] | T_desc='NF+CO2 (500+/-50 ppm CO2)' C_desc='NF (nonfiltered air, ambient CO2)' | unit='mg/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='NF+CO2 (500+/-50 ppm CO2)' c='NF (nonfiltered air, ambient CO2)') ; year='2009-10'->y2009_10",rebuild_2026-08-19/loladze
049_Singh_2013__ai__9,ai,049_Singh_2013,mineral_concentration,na,s,grain,,co2_unresolved__y2010_11,single_cell,ratio,ambient_co2,-0.0851,,Table 4,0,"element='S'->s | tissue='seed'->grain | no species/cultivar -> blank | CO2->co2_unresolved__y2010_11 | lvl_suffix=[] tp_suffix=['y2010_11'] | T_desc='NF+CO2 (500+/-50 ppm CO2)' C_desc='NF (nonfiltered air, ambient CO2)' | unit='mg/g' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='NF+CO2 (500+/-50 ppm CO2)' c='NF (nonfiltered air, ambient CO2)') ; year='2010-11'->y2010_11",rebuild_2026-08-19/loladze
049_Singh_2013__ai__10,ai,049_Singh_2013,mineral_concentration,na,zn,grain,,co2_unresolved__y2009_10,single_cell,ratio,ambient_co2,-0.119,,Table 4,0,"element='Zn'->zn | tissue='seed'->grain | no species/cultivar -> blank | CO2->co2_unresolved__y2009_10 | lvl_suffix=[] tp_suffix=['y2009_10'] | T_desc='NF+CO2 (500+/-50 ppm CO2)' C_desc='NF (nonfiltered air, ambient CO2)' | unit='mg/kg' | src='Table 4' || NOTE: no species/cultivar -> blank ; CO2 ppm undeterminable (td='NF+CO2 (500+/-50 ppm CO2)' c='NF (nonfiltered air, ambient CO2)') ; year='2009-10'->y2009_10",rebuild_2026-08-19/loladze
