row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
050_Polley_2011__ai__0,ai,050_Polley_2011,mineral_concentration,na,k,above_ground,combined_biomass,pooled,pooled,ratio,ambient_co2,0.1777,,Table 3,0,"element='K'->k | tissue='aboveground tiller'->above_ground | species='combined biomass (Bouteloua+Schizachyrium+Sorghastrum)' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=['y2008'] | T_desc='480 umol/mol CO2, Austin soil, 2008' C_desc='280 umol/mol CO2, Austin soil, 2008' | unit='ug/g' | src='Table 3' || NOTE: species='combined biomass (Bouteloua+Schizachyrium+Sorghastrum)' [pooled] ; CO2 e=480 a=280 ; year='2008'->y2008",rebuild_2026-08-19/loladze
050_Polley_2011__ai__1,ai,050_Polley_2011,mineral_concentration,na,ca,above_ground,combined_biomass,pooled,pooled,ratio,ambient_co2,-0.0727,,Table 3,0,"element='Ca'->ca | tissue='aboveground tiller'->above_ground | species='combined biomass (Bouteloua+Schizachyrium+Sorghastrum)' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=['y2008'] | T_desc='480 umol/mol CO2, Austin soil, 2008' C_desc='280 umol/mol CO2, Austin soil, 2008' | unit='ug/g' | src='Table 3' || NOTE: species='combined biomass (Bouteloua+Schizachyrium+Sorghastrum)' [pooled] ; CO2 e=480 a=280 ; year='2008'->y2008",rebuild_2026-08-19/loladze
050_Polley_2011__ai__2,ai,050_Polley_2011,mineral_concentration,na,p,above_ground,combined_biomass,pooled,pooled,ratio,ambient_co2,-0.115,,Table 3,0,"element='P'->p | tissue='aboveground tiller'->above_ground | species='combined biomass (Bouteloua+Schizachyrium+Sorghastrum)' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=['y2008'] | T_desc='480 umol/mol CO2, Austin soil, 2008' C_desc='280 umol/mol CO2, Austin soil, 2008' | unit='ug/g' | src='Table 3' || NOTE: species='combined biomass (Bouteloua+Schizachyrium+Sorghastrum)' [pooled] ; CO2 e=480 a=280 ; year='2008'->y2008",rebuild_2026-08-19/loladze
050_Polley_2011__ai__3,ai,050_Polley_2011,mineral_concentration,na,mg,above_ground,combined_biomass,pooled,pooled,ratio,ambient_co2,0.3121,,Table 3,0,"element='Mg'->mg | tissue='aboveground tiller'->above_ground | species='combined biomass (Bouteloua+Schizachyrium+Sorghastrum)' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=['y2008'] | T_desc='480 umol/mol CO2, Austin soil, 2008' C_desc='280 umol/mol CO2, Austin soil, 2008' | unit='ug/g' | src='Table 3' || NOTE: species='combined biomass (Bouteloua+Schizachyrium+Sorghastrum)' [pooled] ; CO2 e=480 a=280 ; year='2008'->y2008",rebuild_2026-08-19/loladze
050_Polley_2011__ai__4,ai,050_Polley_2011,mineral_concentration,na,mn,above_ground,combined_biomass,pooled,pooled,ratio,ambient_co2,0.0669,,Table 3,0,"element='Mn'->mn | tissue='aboveground tiller'->above_ground | species='combined biomass (Bouteloua+Schizachyrium+Sorghastrum)' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=['y2008'] | T_desc='480 umol/mol CO2, Austin soil, 2008' C_desc='280 umol/mol CO2, Austin soil, 2008' | unit='ug/g' | src='Table 3' || NOTE: species='combined biomass (Bouteloua+Schizachyrium+Sorghastrum)' [pooled] ; CO2 e=480 a=280 ; year='2008'->y2008",rebuild_2026-08-19/loladze
050_Polley_2011__ai__5,ai,050_Polley_2011,mineral_concentration,na,k,above_ground,combined_biomass,pooled,pooled,ratio,ambient_co2,0.1968,,Table 3,0,"element='K'->k | tissue='aboveground tiller'->above_ground | species='combined biomass (Bouteloua+Schizachyrium+Sorghastrum)' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=['y2009'] | T_desc='480 umol/mol CO2, Austin soil, 2009' C_desc='280 umol/mol CO2, Austin soil, 2009' | unit='ug/g' | src='Table 3' || NOTE: species='combined biomass (Bouteloua+Schizachyrium+Sorghastrum)' [pooled] ; CO2 e=480 a=280 ; year='2009'->y2009",rebuild_2026-08-19/loladze
050_Polley_2011__ai__6,ai,050_Polley_2011,mineral_concentration,na,ca,above_ground,combined_biomass,pooled,pooled,ratio,ambient_co2,0.1243,,Table 3,0,"element='Ca'->ca | tissue='aboveground tiller'->above_ground | species='combined biomass (Bouteloua+Schizachyrium+Sorghastrum)' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=['y2009'] | T_desc='480 umol/mol CO2, Austin soil, 2009' C_desc='280 umol/mol CO2, Austin soil, 2009' | unit='ug/g' | src='Table 3' || NOTE: species='combined biomass (Bouteloua+Schizachyrium+Sorghastrum)' [pooled] ; CO2 e=480 a=280 ; year='2009'->y2009",rebuild_2026-08-19/loladze
050_Polley_2011__ai__7,ai,050_Polley_2011,mineral_concentration,na,p,above_ground,combined_biomass,pooled,pooled,ratio,ambient_co2,0.097,,Table 3,0,"element='P'->p | tissue='aboveground tiller'->above_ground | species='combined biomass (Bouteloua+Schizachyrium+Sorghastrum)' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=['y2009'] | T_desc='480 umol/mol CO2, Austin soil, 2009' C_desc='280 umol/mol CO2, Austin soil, 2009' | unit='ug/g' | src='Table 3' || NOTE: species='combined biomass (Bouteloua+Schizachyrium+Sorghastrum)' [pooled] ; CO2 e=480 a=280 ; year='2009'->y2009",rebuild_2026-08-19/loladze
050_Polley_2011__ai__8,ai,050_Polley_2011,mineral_concentration,na,mg,above_ground,combined_biomass,pooled,pooled,ratio,ambient_co2,0.3447,,Table 3,0,"element='Mg'->mg | tissue='aboveground tiller'->above_ground | species='combined biomass (Bouteloua+Schizachyrium+Sorghastrum)' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=['y2009'] | T_desc='480 umol/mol CO2, Austin soil, 2009' C_desc='280 umol/mol CO2, Austin soil, 2009' | unit='ug/g' | src='Table 3' || NOTE: species='combined biomass (Bouteloua+Schizachyrium+Sorghastrum)' [pooled] ; CO2 e=480 a=280 ; year='2009'->y2009",rebuild_2026-08-19/loladze
050_Polley_2011__ai__9,ai,050_Polley_2011,mineral_concentration,na,mn,above_ground,combined_biomass,pooled,pooled,ratio,ambient_co2,-0.0055,,Table 3,0,"element='Mn'->mn | tissue='aboveground tiller'->above_ground | species='combined biomass (Bouteloua+Schizachyrium+Sorghastrum)' [pooled] | CO2->pooled | lvl_suffix=[] tp_suffix=['y2009'] | T_desc='480 umol/mol CO2, Austin soil, 2009' C_desc='280 umol/mol CO2, Austin soil, 2009' | unit='ug/g' | src='Table 3' || NOTE: species='combined biomass (Bouteloua+Schizachyrium+Sorghastrum)' [pooled] ; CO2 e=480 a=280 ; year='2009'->y2009",rebuild_2026-08-19/loladze
