row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
051_Niu_2013__ai__0,ai,051_Niu_2013,mineral_concentration,na,p,foliar,n3__p0,eco2_50_amb_50,single_cell,ratio,ambient_co2,-0.212121,,Supplementary Figure S2a; SPAD values mentioned in text,1,"element='chlorophyll content SPAD readings under P-deficient conditions'->p | tissue='leaf'->foliar | no species/cultivar -> blank | CO2->eco2_50_amb_50 | lvl_suffix=['n3', 'p0'] tp_suffix=[] | T_desc='Elevated CO2 (800±50 µl/l)' C_desc='Ambient CO2 (350±50 µl/l)' | unit='SPAD units' | src='Supplementary Figure S2a; SPAD values mentioned in text' || NOTE: no species/cultivar -> blank ; CO2 e=50 a=50 ; N='NO3-'->n3 ; P='P-deficient (0.5 µM NaH2PO4)'->p0",ai-decode-v3
051_Niu_2013__ai__1,ai,051_Niu_2013,mineral_concentration,na,,above_ground,n3,eco2_800_amb_350,single_cell,ratio,ambient_co2,0.184211,,Figure 1b,1,element='shoot fresh biomass'->(blank) | tissue='shoot'->above_ground | no species/cultivar -> blank | CO2->eco2_800_amb_350 | lvl_suffix=['n3'] tp_suffix=[] | T_desc='Elevated CO2 (800 µl l-1)' C_desc='Ambient CO2 (350 µl l-1)' | unit='g/plant' | src='Figure 1b' || NOTE: non-mineral variable (no element symbol): 'shoot fresh biomass' ; shoot/stem-class -> above_ground (GT convention) ; no species/cultivar -> blank ; CO2 e=800 a=350 ; N='NO3-'->n3,ai-decode-v3
051_Niu_2013__ai__2,ai,051_Niu_2013,mineral_concentration,na,,edible,n3,eco2_800_amb_350,single_cell,ratio,ambient_co2,0.136364,,Figure 1c,1,element='root fresh biomass'->(blank) | tissue='root'->edible | no species/cultivar -> blank | CO2->eco2_800_amb_350 | lvl_suffix=['n3'] tp_suffix=[] | T_desc='Elevated CO2 (800 µl l-1)' C_desc='Ambient CO2 (350 µl l-1)' | unit='g/plant' | src='Figure 1c' || NOTE: non-mineral variable (no element symbol): 'root fresh biomass' ; storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 e=800 a=350 ; N='NO3-'->n3,ai-decode-v3
051_Niu_2013__ai__3,ai,051_Niu_2013,mineral_concentration,na,p,above_ground,n3,eco2_800_amb_350,single_cell,ratio,ambient_co2,0.214286,,Figure 1d,1,element='P concentration in shoots (mg/g DW)'->p | tissue='shoot'->above_ground | no species/cultivar -> blank | CO2->eco2_800_amb_350 | lvl_suffix=['n3'] tp_suffix=[] | T_desc='Elevated CO2 (800 µl l-1)' C_desc='Ambient CO2 (350 µl l-1)' | unit='mg/g DW' | src='Figure 1d' || NOTE: shoot/stem-class -> above_ground (GT convention) ; no species/cultivar -> blank ; CO2 e=800 a=350 ; N='NO3-'->n3,ai-decode-v3
051_Niu_2013__ai__4,ai,051_Niu_2013,mineral_concentration,na,p,edible,n3,eco2_800_amb_350,single_cell,ratio,ambient_co2,0.2,,Figure 1e,1,element='P concentration in roots (mg/g DW)'->p | tissue='root'->edible | no species/cultivar -> blank | CO2->eco2_800_amb_350 | lvl_suffix=['n3'] tp_suffix=[] | T_desc='Elevated CO2 (800 µl l-1)' C_desc='Ambient CO2 (350 µl l-1)' | unit='mg/g DW' | src='Figure 1e' || NOTE: storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 e=800 a=350 ; N='NO3-'->n3,ai-decode-v3
051_Niu_2013__ai__5,ai,051_Niu_2013,mineral_concentration,na,p,above_ground,n3,eco2_800_amb_350,single_cell,ratio,ambient_co2,0.25,,Figure 1f,1,element='total P content per plant'->p | tissue='whole plant'->above_ground | no species/cultivar -> blank | CO2->eco2_800_amb_350 | lvl_suffix=['n3'] tp_suffix=[] | T_desc='Elevated CO2 (800 µl l-1)' C_desc='Ambient CO2 (350 µl l-1)' | unit='mg/plant' | src='Figure 1f' || NOTE: no species/cultivar -> blank ; CO2 e=800 a=350 ; N='NO3-'->n3,ai-decode-v3
051_Niu_2013__ai__6,ai,051_Niu_2013,mineral_concentration,na,p,edible,n3,eco2_800_amb_350,single_cell,ratio,ambient_co2,0.25,,Figure 1g,1,element='P absorbed per weight of roots'->p | tissue='root'->edible | no species/cultivar -> blank | CO2->eco2_800_amb_350 | lvl_suffix=['n3'] tp_suffix=[] | T_desc='Elevated CO2 (800 µl l-1)' C_desc='Ambient CO2 (350 µl l-1)' | unit='mg/g DW' | src='Figure 1g' || NOTE: storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 e=800 a=350 ; N='NO3-'->n3,ai-decode-v3
051_Niu_2013__ai__7,ai,051_Niu_2013,mineral_concentration,na,,above_ground,n3,eco2_800_amb_350,single_cell,ratio,ambient_co2,0.157895,,Figure 3a,1,element='acid phosphatase activity in shoots'->(blank) | tissue='shoot'->above_ground | no species/cultivar -> blank | CO2->eco2_800_amb_350 | lvl_suffix=['n3'] tp_suffix=[] | T_desc='Elevated CO2 (800 µl l-1)' C_desc='Ambient CO2 (350 µl l-1)' | unit='mol/g FW/min' | src='Figure 3a' || NOTE: non-mineral variable (no element symbol): 'acid phosphatase activity in shoots' ; shoot/stem-class -> above_ground (GT convention) ; no species/cultivar -> blank ; CO2 e=800 a=350 ; N='NO3-'->n3,ai-decode-v3
051_Niu_2013__ai__8,ai,051_Niu_2013,mineral_concentration,na,,edible,n3,eco2_800_amb_350,single_cell,ratio,ambient_co2,0.15,,Figure 3b,1,element='acid phosphatase activity in roots'->(blank) | tissue='root'->edible | no species/cultivar -> blank | CO2->eco2_800_amb_350 | lvl_suffix=['n3'] tp_suffix=[] | T_desc='Elevated CO2 (800 µl l-1)' C_desc='Ambient CO2 (350 µl l-1)' | unit='mol/g FW/min' | src='Figure 3b' || NOTE: non-mineral variable (no element symbol): 'acid phosphatase activity in roots' ; storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 e=800 a=350 ; N='NO3-'->n3,ai-decode-v3
051_Niu_2013__ai__9,ai,051_Niu_2013,mineral_concentration,na,,edible,n3,eco2_800_amb_350,single_cell,ratio,ambient_co2,0.35,,Figure 5b,1,element='NO fluorescence intensity in root tip'->(blank) | tissue='root'->edible | no species/cultivar -> blank | CO2->eco2_800_amb_350 | lvl_suffix=['n3'] tp_suffix=[] | T_desc='Elevated CO2 (800 µl l-1)' C_desc='Ambient CO2 (350 µl l-1)' | unit='relative fluorescence' | src='Figure 5b' || NOTE: non-mineral variable (no element symbol): 'NO fluorescence intensity in root tip' ; storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 e=800 a=350 ; N='NO3-'->n3,ai-decode-v3
051_Niu_2013__ai__10,ai,051_Niu_2013,mineral_concentration,na,,edible,n3,eco2_800_amb_350,single_cell,ratio,ambient_co2,0.5,,Figure 5b,1,element='NO fluorescence intensity in root-hair zone'->(blank) | tissue='root'->edible | no species/cultivar -> blank | CO2->eco2_800_amb_350 | lvl_suffix=['n3'] tp_suffix=[] | T_desc='Elevated CO2 (800 µl l-1)' C_desc='Ambient CO2 (350 µl l-1)' | unit='relative fluorescence' | src='Figure 5b' || NOTE: non-mineral variable (no element symbol): 'NO fluorescence intensity in root-hair zone' ; storage-root tissue -> edible (GT convention) ; no species/cultivar -> blank ; CO2 e=800 a=350 ; N='NO3-'->n3,ai-decode-v3
