row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
058_ONeill_1987__ai__0,ai,058_ONeill_1987,mineral_concentration,na,n,above_ground,,eco2_692_amb_367,single_cell,ratio,ambient_co2,0.169118,,Table 2,0,element='N (total content mg/plant)'->n | tissue='whole plant'->above_ground | no species/cultivar -> blank | CO2->eco2_692_amb_367 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (692 µl l-1)' C_desc='Ambient CO2 (367 µl l-1)' | unit='mg/plant' | src='Table 2' || NOTE: no species/cultivar -> blank ; CO2 e=692 a=367,ai-decode-v3
058_ONeill_1987__ai__1,ai,058_ONeill_1987,mineral_concentration,na,s,above_ground,,eco2_692_amb_367,single_cell,ratio,ambient_co2,0.342105,,Table 2,0,element='S (total content mg/plant)'->s | tissue='whole plant'->above_ground | no species/cultivar -> blank | CO2->eco2_692_amb_367 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (692 µl l-1)' C_desc='Ambient CO2 (367 µl l-1)' | unit='mg/plant' | src='Table 2' || NOTE: no species/cultivar -> blank ; CO2 e=692 a=367,ai-decode-v3
058_ONeill_1987__ai__2,ai,058_ONeill_1987,mineral_concentration,na,b,above_ground,,eco2_692_amb_367,single_cell,ratio,ambient_co2,0.48,,Table 2,0,element='B (total content mg/plant)'->b | tissue='whole plant'->above_ground | no species/cultivar -> blank | CO2->eco2_692_amb_367 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (692 µl l-1)' C_desc='Ambient CO2 (367 µl l-1)' | unit='mg/plant' | src='Table 2' || NOTE: no species/cultivar -> blank ; CO2 e=692 a=367,ai-decode-v3
058_ONeill_1987__ai__3,ai,058_ONeill_1987,mineral_concentration,na,p,above_ground,,eco2_692_amb_367,single_cell,ratio,ambient_co2,0.409836,,Table 2,0,element='P (total content mg/plant)'->p | tissue='whole plant'->above_ground | no species/cultivar -> blank | CO2->eco2_692_amb_367 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (692 µl l-1)' C_desc='Ambient CO2 (367 µl l-1)' | unit='mg/plant' | src='Table 2' || NOTE: no species/cultivar -> blank ; CO2 e=692 a=367,ai-decode-v3
058_ONeill_1987__ai__4,ai,058_ONeill_1987,mineral_concentration,na,k,above_ground,,eco2_692_amb_367,single_cell,ratio,ambient_co2,0.649269,,Table 2,0,element='K (total content mg/plant)'->k | tissue='whole plant'->above_ground | no species/cultivar -> blank | CO2->eco2_692_amb_367 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (692 µl l-1)' C_desc='Ambient CO2 (367 µl l-1)' | unit='mg/plant' | src='Table 2' || NOTE: no species/cultivar -> blank ; CO2 e=692 a=367,ai-decode-v3
058_ONeill_1987__ai__5,ai,058_ONeill_1987,mineral_concentration,na,cu,above_ground,,eco2_692_amb_367,single_cell,ratio,ambient_co2,0.660194,,Table 2,0,element='Cu (total content mg/plant)'->cu | tissue='whole plant'->above_ground | no species/cultivar -> blank | CO2->eco2_692_amb_367 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (692 µl l-1)' C_desc='Ambient CO2 (367 µl l-1)' | unit='mg/plant' | src='Table 2' || NOTE: no species/cultivar -> blank ; CO2 e=692 a=367,ai-decode-v3
058_ONeill_1987__ai__6,ai,058_ONeill_1987,mineral_concentration,na,al,above_ground,,eco2_692_amb_367,single_cell,ratio,ambient_co2,0.811659,,Table 2,0,element='Al (total content mg/plant)'->al | tissue='whole plant'->above_ground | no species/cultivar -> blank | CO2->eco2_692_amb_367 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (692 µl l-1)' C_desc='Ambient CO2 (367 µl l-1)' | unit='mg/plant' | src='Table 2' || NOTE: no species/cultivar -> blank ; CO2 e=692 a=367,ai-decode-v3
058_ONeill_1987__ai__7,ai,058_ONeill_1987,mineral_concentration,na,fe,above_ground,,eco2_692_amb_367,single_cell,ratio,ambient_co2,0.554264,,Table 2,0,element='Fe (total content mg/plant)'->fe | tissue='whole plant'->above_ground | no species/cultivar -> blank | CO2->eco2_692_amb_367 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (692 µl l-1)' C_desc='Ambient CO2 (367 µl l-1)' | unit='mg/plant' | src='Table 2' || NOTE: no species/cultivar -> blank ; CO2 e=692 a=367,ai-decode-v3
058_ONeill_1987__ai__8,ai,058_ONeill_1987,mineral_concentration,na,ca,above_ground,,eco2_692_amb_367,single_cell,ratio,ambient_co2,0.5,,Table 2,0,element='Ca (total content mg/plant)'->ca | tissue='whole plant'->above_ground | no species/cultivar -> blank | CO2->eco2_692_amb_367 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (692 µl l-1)' C_desc='Ambient CO2 (367 µl l-1)' | unit='mg/plant' | src='Table 2' || NOTE: no species/cultivar -> blank ; CO2 e=692 a=367,ai-decode-v3
058_ONeill_1987__ai__9,ai,058_ONeill_1987,mineral_concentration,na,mg,above_ground,,eco2_692_amb_367,single_cell,ratio,ambient_co2,0.5,,Table 2,0,element='Mg (total content mg/plant)'->mg | tissue='whole plant'->above_ground | no species/cultivar -> blank | CO2->eco2_692_amb_367 | lvl_suffix=[] tp_suffix=[] | T_desc='Elevated CO2 (692 µl l-1)' C_desc='Ambient CO2 (367 µl l-1)' | unit='mg/plant' | src='Table 2' || NOTE: no species/cultivar -> blank ; CO2 e=692 a=367,ai-decode-v3
