row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__003_Baslam_2012__r361,gt,003_Baslam_2012,mineral_concentration,na,c,foliar,brm__inner_nm,eco2_700_amb_392,single_cell,ratio,ambient_co2,0.122137,,Loladze CO2 Dataset row 361,0,"Species=""Lactuca sativa 'BRM'""->brm__inner_nm | Tissue='foliar'->foliar | Element='C'->c | eCO2=700 aCO2=392->eco2_700_amb_392 | AdditionalInfo='inner NM leaves' | (E-A)/A=0.122137405 | n_species_in_ref=2 | ref='Baslam et al 2012'",gt-decode-v2
gt__003_Baslam_2012__r362,gt,003_Baslam_2012,mineral_concentration,na,ca,foliar,brm__inner_nm,eco2_700_amb_392,single_cell,ratio,ambient_co2,0.391304,,Loladze CO2 Dataset row 362,0,"Species=""Lactuca sativa 'BRM'""->brm__inner_nm | Tissue='foliar'->foliar | Element='Ca'->ca | eCO2=700 aCO2=392->eco2_700_amb_392 | AdditionalInfo='inner NM leaves' | (E-A)/A=0.391304 | n_species_in_ref=2 | ref='Baslam et al 2012'",gt-decode-v2
gt__003_Baslam_2012__r363,gt,003_Baslam_2012,mineral_concentration,na,cu,foliar,brm__inner_nm,eco2_700_amb_392,single_cell,ratio,ambient_co2,-0.111111,,Loladze CO2 Dataset row 363,0,"Species=""Lactuca sativa 'BRM'""->brm__inner_nm | Tissue='foliar'->foliar | Element='Cu'->cu | eCO2=700 aCO2=392->eco2_700_amb_392 | AdditionalInfo='inner NM leaves' | (E-A)/A=-0.111111 | n_species_in_ref=2 | ref='Baslam et al 2012'",gt-decode-v2
gt__003_Baslam_2012__r364,gt,003_Baslam_2012,mineral_concentration,na,fe,foliar,brm__inner_nm,eco2_700_amb_392,single_cell,ratio,ambient_co2,-0.770950,,Loladze CO2 Dataset row 364,0,"Species=""Lactuca sativa 'BRM'""->brm__inner_nm | Tissue='foliar'->foliar | Element='Fe'->fe | eCO2=700 aCO2=392->eco2_700_amb_392 | AdditionalInfo='inner NM leaves' | (E-A)/A=-0.77095 | n_species_in_ref=2 | ref='Baslam et al 2012'",gt-decode-v2
gt__003_Baslam_2012__r365,gt,003_Baslam_2012,mineral_concentration,na,k,foliar,brm__inner_nm,eco2_700_amb_392,single_cell,ratio,ambient_co2,0.119048,,Loladze CO2 Dataset row 365,0,"Species=""Lactuca sativa 'BRM'""->brm__inner_nm | Tissue='foliar'->foliar | Element='K'->k | eCO2=700 aCO2=392->eco2_700_amb_392 | AdditionalInfo='inner NM leaves' | (E-A)/A=0.119048 | n_species_in_ref=2 | ref='Baslam et al 2012'",gt-decode-v2
gt__003_Baslam_2012__r366,gt,003_Baslam_2012,mineral_concentration,na,mg,foliar,brm__inner_nm,eco2_700_amb_392,single_cell,ratio,ambient_co2,0.083333,,Loladze CO2 Dataset row 366,0,"Species=""Lactuca sativa 'BRM'""->brm__inner_nm | Tissue='foliar'->foliar | Element='Mg'->mg | eCO2=700 aCO2=392->eco2_700_amb_392 | AdditionalInfo='inner NM leaves' | (E-A)/A=0.083333 | n_species_in_ref=2 | ref='Baslam et al 2012'",gt-decode-v2
gt__003_Baslam_2012__r367,gt,003_Baslam_2012,mineral_concentration,na,mn,foliar,brm__inner_nm,eco2_700_amb_392,single_cell,ratio,ambient_co2,0.400000,,Loladze CO2 Dataset row 367,0,"Species=""Lactuca sativa 'BRM'""->brm__inner_nm | Tissue='foliar'->foliar | Element='Mn'->mn | eCO2=700 aCO2=392->eco2_700_amb_392 | AdditionalInfo='inner NM leaves' | (E-A)/A=0.4 | n_species_in_ref=2 | ref='Baslam et al 2012'",gt-decode-v2
gt__003_Baslam_2012__r368,gt,003_Baslam_2012,mineral_concentration,na,n,foliar,brm__inner_nm,eco2_700_amb_392,single_cell,ratio,ambient_co2,0.190476,,Loladze CO2 Dataset row 368,0,"Species=""Lactuca sativa 'BRM'""->brm__inner_nm | Tissue='foliar'->foliar | Element='N'->n | eCO2=700 aCO2=392->eco2_700_amb_392 | AdditionalInfo='inner NM leaves' | (E-A)/A=0.190476 | n_species_in_ref=2 | ref='Baslam et al 2012'",gt-decode-v2
gt__003_Baslam_2012__r369,gt,003_Baslam_2012,mineral_concentration,na,p,foliar,brm__inner_nm,eco2_700_amb_392,single_cell,ratio,ambient_co2,0.062500,,Loladze CO2 Dataset row 369,0,"Species=""Lactuca sativa 'BRM'""->brm__inner_nm | Tissue='foliar'->foliar | Element='P'->p | eCO2=700 aCO2=392->eco2_700_amb_392 | AdditionalInfo='inner NM leaves' | (E-A)/A=0.0625 | n_species_in_ref=2 | ref='Baslam et al 2012'",gt-decode-v2
gt__003_Baslam_2012__r370,gt,003_Baslam_2012,mineral_concentration,na,zn,foliar,brm__inner_nm,eco2_700_amb_392,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 370,0,"Species=""Lactuca sativa 'BRM'""->brm__inner_nm | Tissue='foliar'->foliar | Element='Zn'->zn | eCO2=700 aCO2=392->eco2_700_amb_392 | AdditionalInfo='inner NM leaves' | (E-A)/A=0 | n_species_in_ref=2 | ref='Baslam et al 2012'",gt-decode-v2
gt__003_Baslam_2012__r377,gt,003_Baslam_2012,mineral_concentration,na,c,foliar,mv__inner_nm,eco2_700_amb_392,single_cell,ratio,ambient_co2,-0.107884,,Loladze CO2 Dataset row 377,0,"Species=""Lactuca sativa 'MV'""->mv__inner_nm | Tissue='foliar'->foliar | Element='C'->c | eCO2=700 aCO2=392->eco2_700_amb_392 | AdditionalInfo='inner NM leaves' | (E-A)/A=-0.107883817 | n_species_in_ref=2 | ref='Baslam et al 2012'",gt-decode-v2
