row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__004_Finzi_2001__r10,gt,004_Finzi_2001,mineral_concentration,na,c,foliar,acer_rubrum,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,0.002200,,Loladze CO2 Dataset row 10,0,Species='Acer rubrum'->acer_rubrum | Tissue='foliar'->foliar | Element='C'->c | eCO2=560 aCO2=360->eco2_560_amb_360__y1998 | AdditionalInfo='1998' | (E-A)/A=0.0022 | n_species_in_ref=5 | ref='Finzi et al 2001',gt-decode-v2
gt__004_Finzi_2001__r11,gt,004_Finzi_2001,mineral_concentration,na,n,foliar,acer_rubrum,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,-0.025300,,Loladze CO2 Dataset row 11,0,Species='Acer rubrum'->acer_rubrum | Tissue='foliar'->foliar | Element='N'->n | eCO2=560 aCO2=360->eco2_560_amb_360__y1998 | AdditionalInfo='1998' | (E-A)/A=-0.0253 | n_species_in_ref=5 | ref='Finzi et al 2001',gt-decode-v2
gt__004_Finzi_2001__r12,gt,004_Finzi_2001,mineral_concentration,na,p,foliar,acer_rubrum,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,0.058300,,Loladze CO2 Dataset row 12,0,Species='Acer rubrum'->acer_rubrum | Tissue='foliar'->foliar | Element='P'->p | eCO2=560 aCO2=360->eco2_560_amb_360__y1998 | AdditionalInfo='1998' | (E-A)/A=0.0583 | n_species_in_ref=5 | ref='Finzi et al 2001',gt-decode-v2
gt__004_Finzi_2001__r134,gt,004_Finzi_2001,mineral_concentration,na,c,foliar,cercis_canadensis,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,-0.011000,,Loladze CO2 Dataset row 134,0,Species='Cercis canadensis'->cercis_canadensis | Tissue='foliar'->foliar | Element='C'->c | eCO2=560 aCO2=360->eco2_560_amb_360__y1998 | AdditionalInfo='1998' | (E-A)/A=-0.011 | n_species_in_ref=5 | ref='Finzi et al 2001',gt-decode-v2
gt__004_Finzi_2001__r135,gt,004_Finzi_2001,mineral_concentration,na,n,foliar,cercis_canadensis,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,-0.165400,,Loladze CO2 Dataset row 135,0,Species='Cercis canadensis'->cercis_canadensis | Tissue='foliar'->foliar | Element='N'->n | eCO2=560 aCO2=360->eco2_560_amb_360__y1998 | AdditionalInfo='1998' | (E-A)/A=-0.1654 | n_species_in_ref=5 | ref='Finzi et al 2001',gt-decode-v2
gt__004_Finzi_2001__r136,gt,004_Finzi_2001,mineral_concentration,na,p,foliar,cercis_canadensis,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,-0.131900,,Loladze CO2 Dataset row 136,0,Species='Cercis canadensis'->cercis_canadensis | Tissue='foliar'->foliar | Element='P'->p | eCO2=560 aCO2=360->eco2_560_amb_360__y1998 | AdditionalInfo='1998' | (E-A)/A=-0.1319 | n_species_in_ref=5 | ref='Finzi et al 2001',gt-decode-v2
gt__004_Finzi_2001__r176,gt,004_Finzi_2001,mineral_concentration,na,c,foliar,cornus_florida,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,0.007100,,Loladze CO2 Dataset row 176,0,Species='Cornus florida'->cornus_florida | Tissue='foliar'->foliar | Element='C'->c | eCO2=560 aCO2=360->eco2_560_amb_360__y1998 | AdditionalInfo='1998' | (E-A)/A=0.0071 | n_species_in_ref=5 | ref='Finzi et al 2001',gt-decode-v2
gt__004_Finzi_2001__r177,gt,004_Finzi_2001,mineral_concentration,na,n,foliar,cornus_florida,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,0.025200,,Loladze CO2 Dataset row 177,0,Species='Cornus florida'->cornus_florida | Tissue='foliar'->foliar | Element='N'->n | eCO2=560 aCO2=360->eco2_560_amb_360__y1998 | AdditionalInfo='1998' | (E-A)/A=0.0252 | n_species_in_ref=5 | ref='Finzi et al 2001',gt-decode-v2
gt__004_Finzi_2001__r178,gt,004_Finzi_2001,mineral_concentration,na,p,foliar,cornus_florida,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,0.036400,,Loladze CO2 Dataset row 178,0,Species='Cornus florida'->cornus_florida | Tissue='foliar'->foliar | Element='P'->p | eCO2=560 aCO2=360->eco2_560_amb_360__y1998 | AdditionalInfo='1998' | (E-A)/A=0.0364 | n_species_in_ref=5 | ref='Finzi et al 2001',gt-decode-v2
gt__004_Finzi_2001__r413,gt,004_Finzi_2001,mineral_concentration,na,c,foliar,liquidambar_styraciflua,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,0.018000,,Loladze CO2 Dataset row 413,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua | Tissue='foliar'->foliar | Element='C'->c | eCO2=560 aCO2=360->eco2_560_amb_360__y1998 | AdditionalInfo='1998' | (E-A)/A=0.018 | n_species_in_ref=5 | ref='Finzi et al 2001',gt-decode-v2
gt__004_Finzi_2001__r414,gt,004_Finzi_2001,mineral_concentration,na,n,foliar,liquidambar_styraciflua,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,-0.130400,,Loladze CO2 Dataset row 414,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua | Tissue='foliar'->foliar | Element='N'->n | eCO2=560 aCO2=360->eco2_560_amb_360__y1998 | AdditionalInfo='1998' | (E-A)/A=-0.1304 | n_species_in_ref=5 | ref='Finzi et al 2001',gt-decode-v2
gt__004_Finzi_2001__r415,gt,004_Finzi_2001,mineral_concentration,na,p,foliar,liquidambar_styraciflua,eco2_560_amb_360__y1998,single_cell,ratio,ambient_co2,-0.110200,,Loladze CO2 Dataset row 415,0,Species='Liquidambar styraciflua'->liquidambar_styraciflua | Tissue='foliar'->foliar | Element='P'->p | eCO2=560 aCO2=360->eco2_560_amb_360__y1998 | AdditionalInfo='1998' | (E-A)/A=-0.1102 | n_species_in_ref=5 | ref='Finzi et al 2001',gt-decode-v2
