row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__005_Niinemets_1999__r890,gt,005_Niinemets_1999,mineral_concentration,na,ca,foliar,,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.004700,,Loladze CO2 Dataset row 890,0,Species='Quercus suber'->(blank) | Tissue='foliar'->foliar | Element='Ca'->ca | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='8+8 OTC' | (E-A)/A=-0.0047 | n_species_in_ref=1 | ref='Niinemets et al 1999' || UNDETERMINABLE_COLLISION: 2 GT rows share this canonical key with differing means; no descriptor/Additional-Info coordinate recovers the distinction (not guessed per BIAS RULES) -> AMBIGUOUS,gt-decode-v2
gt__005_Niinemets_1999__r891,gt,005_Niinemets_1999,mineral_concentration,na,ca,foliar,,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.323300,,Loladze CO2 Dataset row 891,0,Species='Quercus suber'->(blank) | Tissue='foliar'->foliar | Element='Ca'->ca | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='8+8 OTC' | (E-A)/A=-0.3233 | n_species_in_ref=1 | ref='Niinemets et al 1999' || UNDETERMINABLE_COLLISION: 2 GT rows share this canonical key with differing means; no descriptor/Additional-Info coordinate recovers the distinction (not guessed per BIAS RULES) -> AMBIGUOUS,gt-decode-v2
gt__005_Niinemets_1999__r892,gt,005_Niinemets_1999,mineral_concentration,na,k,foliar,,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.221600,,Loladze CO2 Dataset row 892,0,Species='Quercus suber'->(blank) | Tissue='foliar'->foliar | Element='K'->k | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='8+8 OTC' | (E-A)/A=-0.2216 | n_species_in_ref=1 | ref='Niinemets et al 1999' || UNDETERMINABLE_COLLISION: 2 GT rows share this canonical key with differing means; no descriptor/Additional-Info coordinate recovers the distinction (not guessed per BIAS RULES) -> AMBIGUOUS,gt-decode-v2
gt__005_Niinemets_1999__r893,gt,005_Niinemets_1999,mineral_concentration,na,k,foliar,,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.223900,,Loladze CO2 Dataset row 893,0,Species='Quercus suber'->(blank) | Tissue='foliar'->foliar | Element='K'->k | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='8+8 OTC' | (E-A)/A=-0.2239 | n_species_in_ref=1 | ref='Niinemets et al 1999' || UNDETERMINABLE_COLLISION: 2 GT rows share this canonical key with differing means; no descriptor/Additional-Info coordinate recovers the distinction (not guessed per BIAS RULES) -> AMBIGUOUS,gt-decode-v2
gt__005_Niinemets_1999__r894,gt,005_Niinemets_1999,mineral_concentration,na,mg,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.195600,,Loladze CO2 Dataset row 894,0,Species='Quercus suber'->highn | Tissue='foliar'->foliar | Element='Mg'->mg | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='high N' | (E-A)/A=-0.1956 | n_species_in_ref=1 | ref='Niinemets et al 1999',gt-decode-v2
gt__005_Niinemets_1999__r895,gt,005_Niinemets_1999,mineral_concentration,na,mg,foliar,lown,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.353100,,Loladze CO2 Dataset row 895,0,Species='Quercus suber'->lown | Tissue='foliar'->foliar | Element='Mg'->mg | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='low N' | (E-A)/A=-0.3531 | n_species_in_ref=1 | ref='Niinemets et al 1999',gt-decode-v2
gt__005_Niinemets_1999__r896,gt,005_Niinemets_1999,mineral_concentration,na,n,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.219900,,Loladze CO2 Dataset row 896,0,Species='Quercus suber'->highn | Tissue='foliar'->foliar | Element='N'->n | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='high N' | (E-A)/A=-0.2199 | n_species_in_ref=1 | ref='Niinemets et al 1999',gt-decode-v2
gt__005_Niinemets_1999__r897,gt,005_Niinemets_1999,mineral_concentration,na,n,foliar,lown,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.075600,,Loladze CO2 Dataset row 897,0,Species='Quercus suber'->lown | Tissue='foliar'->foliar | Element='N'->n | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='low N' | (E-A)/A=-0.0756 | n_species_in_ref=1 | ref='Niinemets et al 1999',gt-decode-v2
gt__005_Niinemets_1999__r898,gt,005_Niinemets_1999,mineral_concentration,na,p,foliar,highn,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.528100,,Loladze CO2 Dataset row 898,0,Species='Quercus suber'->highn | Tissue='foliar'->foliar | Element='P'->p | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='high N' | (E-A)/A=-0.5281 | n_species_in_ref=1 | ref='Niinemets et al 1999',gt-decode-v2
gt__005_Niinemets_1999__r899,gt,005_Niinemets_1999,mineral_concentration,na,p,foliar,lown,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.402500,,Loladze CO2 Dataset row 899,0,Species='Quercus suber'->lown | Tissue='foliar'->foliar | Element='P'->p | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='low N' | (E-A)/A=-0.4025 | n_species_in_ref=1 | ref='Niinemets et al 1999',gt-decode-v2
