row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__006_Azam_2013__r106,gt,006_Azam_2013,mineral_concentration,na,c,edible,grabe,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.208200,,Loladze CO2 Dataset row 106,0,"Species=""Brassica rapa 'Grabe'""->grabe | Tissue='tuber'->edible | Element='C'->c | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.2082 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r107,gt,006_Azam_2013,mineral_concentration,na,ca,edible,grabe,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.095000,,Loladze CO2 Dataset row 107,0,"Species=""Brassica rapa 'Grabe'""->grabe | Tissue='tuber'->edible | Element='Ca'->ca | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.095 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r108,gt,006_Azam_2013,mineral_concentration,na,cd,edible,grabe,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.034200,,Loladze CO2 Dataset row 108,0,"Species=""Brassica rapa 'Grabe'""->grabe | Tissue='tuber'->edible | Element='Cd'->cd | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.0342 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r109,gt,006_Azam_2013,mineral_concentration,na,cr,edible,grabe,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.154600,,Loladze CO2 Dataset row 109,0,"Species=""Brassica rapa 'Grabe'""->grabe | Tissue='tuber'->edible | Element='Cr'->cr | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.1546 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r110,gt,006_Azam_2013,mineral_concentration,na,cu,edible,grabe,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.159200,,Loladze CO2 Dataset row 110,0,"Species=""Brassica rapa 'Grabe'""->grabe | Tissue='tuber'->edible | Element='Cu'->cu | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.1592 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r111,gt,006_Azam_2013,mineral_concentration,na,fe,edible,grabe,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.186700,,Loladze CO2 Dataset row 111,0,"Species=""Brassica rapa 'Grabe'""->grabe | Tissue='tuber'->edible | Element='Fe'->fe | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.1867 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r112,gt,006_Azam_2013,mineral_concentration,na,k,edible,grabe,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.024500,,Loladze CO2 Dataset row 112,0,"Species=""Brassica rapa 'Grabe'""->grabe | Tissue='tuber'->edible | Element='K'->k | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.0245 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r113,gt,006_Azam_2013,mineral_concentration,na,mg,edible,grabe,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.037400,,Loladze CO2 Dataset row 113,0,"Species=""Brassica rapa 'Grabe'""->grabe | Tissue='tuber'->edible | Element='Mg'->mg | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.0374 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r114,gt,006_Azam_2013,mineral_concentration,na,mn,edible,grabe,eco2_1000_amb_400,single_cell,ratio,ambient_co2,0.101800,,Loladze CO2 Dataset row 114,0,"Species=""Brassica rapa 'Grabe'""->grabe | Tissue='tuber'->edible | Element='Mn'->mn | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=0.1018 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r115,gt,006_Azam_2013,mineral_concentration,na,n,edible,grabe,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.181700,,Loladze CO2 Dataset row 115,0,"Species=""Brassica rapa 'Grabe'""->grabe | Tissue='tuber'->edible | Element='N'->n | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.1817 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
gt__006_Azam_2013__r116,gt,006_Azam_2013,mineral_concentration,na,ni,edible,grabe,eco2_1000_amb_400,single_cell,ratio,ambient_co2,-0.041100,,Loladze CO2 Dataset row 116,0,"Species=""Brassica rapa 'Grabe'""->grabe | Tissue='tuber'->edible | Element='Ni'->ni | eCO2=1000 aCO2=400->eco2_1000_amb_400 | AdditionalInfo='' | (E-A)/A=-0.0411 | n_species_in_ref=3 | ref='Azam et al 2013'",gt-decode-v2
