row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__010_Li_2010__r1368,gt,010_Li_2010,mineral_concentration,na,ca,grain,triso,eco2_537_amb_387__y2004_2006,single_cell,ratio,ambient_co2,-0.030000,,Loladze CO2 Dataset row 1368,0,"Species=""Triticum aestivum 'Triso'""->triso | Tissue='grain'->grain | Element='Ca'->ca | eCO2=537 aCO2=387->eco2_537_amb_387__y2004_2006 | AdditionalInfo='2004-2006, mini-FACE' | (E-A)/A=-0.03 | n_species_in_ref=1 | ref='Hogy et al 2009'",gt-decode-v2
gt__010_Li_2010__r1369,gt,010_Li_2010,mineral_concentration,na,cd,grain,triso,eco2_537_amb_387__y2004_2006,single_cell,ratio,ambient_co2,-0.140000,,Loladze CO2 Dataset row 1369,0,"Species=""Triticum aestivum 'Triso'""->triso | Tissue='grain'->grain | Element='Cd'->cd | eCO2=537 aCO2=387->eco2_537_amb_387__y2004_2006 | AdditionalInfo='2004-2006, mini-FACE' | (E-A)/A=-0.14 | n_species_in_ref=1 | ref='Hogy et al 2009'",gt-decode-v2
gt__010_Li_2010__r1370,gt,010_Li_2010,mineral_concentration,na,cr,grain,triso,eco2_537_amb_387__y2004_2006,single_cell,ratio,ambient_co2,0.032000,,Loladze CO2 Dataset row 1370,0,"Species=""Triticum aestivum 'Triso'""->triso | Tissue='grain'->grain | Element='Cr'->cr | eCO2=537 aCO2=387->eco2_537_amb_387__y2004_2006 | AdditionalInfo='2004-2006, mini-FACE' | (E-A)/A=0.032 | n_species_in_ref=1 | ref='Hogy et al 2009'",gt-decode-v2
gt__010_Li_2010__r1371,gt,010_Li_2010,mineral_concentration,na,fe,grain,triso,eco2_537_amb_387__y2004_2006,single_cell,ratio,ambient_co2,-0.082000,,Loladze CO2 Dataset row 1371,0,"Species=""Triticum aestivum 'Triso'""->triso | Tissue='grain'->grain | Element='Fe'->fe | eCO2=537 aCO2=387->eco2_537_amb_387__y2004_2006 | AdditionalInfo='2004-2006, mini-FACE' | (E-A)/A=-0.082 | n_species_in_ref=1 | ref='Hogy et al 2009'",gt-decode-v2
gt__010_Li_2010__r1372,gt,010_Li_2010,mineral_concentration,na,k,grain,triso,eco2_537_amb_387__y2004_2006,single_cell,ratio,ambient_co2,0.038000,,Loladze CO2 Dataset row 1372,0,"Species=""Triticum aestivum 'Triso'""->triso | Tissue='grain'->grain | Element='K'->k | eCO2=537 aCO2=387->eco2_537_amb_387__y2004_2006 | AdditionalInfo='2004-2006, mini-FACE' | (E-A)/A=0.038 | n_species_in_ref=1 | ref='Hogy et al 2009'",gt-decode-v2
gt__010_Li_2010__r1373,gt,010_Li_2010,mineral_concentration,na,mg,grain,triso,eco2_537_amb_387__y2004_2006,single_cell,ratio,ambient_co2,-0.020000,,Loladze CO2 Dataset row 1373,0,"Species=""Triticum aestivum 'Triso'""->triso | Tissue='grain'->grain | Element='Mg'->mg | eCO2=537 aCO2=387->eco2_537_amb_387__y2004_2006 | AdditionalInfo='2004-2006, mini-FACE' | (E-A)/A=-0.02 | n_species_in_ref=1 | ref='Hogy et al 2009'",gt-decode-v2
gt__010_Li_2010__r1374,gt,010_Li_2010,mineral_concentration,na,mn,grain,triso,eco2_537_amb_387__y2004_2006,single_cell,ratio,ambient_co2,-0.037000,,Loladze CO2 Dataset row 1374,0,"Species=""Triticum aestivum 'Triso'""->triso | Tissue='grain'->grain | Element='Mn'->mn | eCO2=537 aCO2=387->eco2_537_amb_387__y2004_2006 | AdditionalInfo='2004-2006, mini-FACE' | (E-A)/A=-0.037 | n_species_in_ref=1 | ref='Hogy et al 2009'",gt-decode-v2
gt__010_Li_2010__r1375,gt,010_Li_2010,mineral_concentration,na,mo,grain,triso,eco2_537_amb_387__y2004_2006,single_cell,ratio,ambient_co2,0.085000,,Loladze CO2 Dataset row 1375,0,"Species=""Triticum aestivum 'Triso'""->triso | Tissue='grain'->grain | Element='Mo'->mo | eCO2=537 aCO2=387->eco2_537_amb_387__y2004_2006 | AdditionalInfo='2004-2006, mini-FACE' | (E-A)/A=0.085 | n_species_in_ref=1 | ref='Hogy et al 2009'",gt-decode-v2
gt__010_Li_2010__r1376,gt,010_Li_2010,mineral_concentration,na,na,grain,triso,eco2_537_amb_387__y2004_2006,single_cell,ratio,ambient_co2,0.160000,,Loladze CO2 Dataset row 1376,0,"Species=""Triticum aestivum 'Triso'""->triso | Tissue='grain'->grain | Element='Na'->na | eCO2=537 aCO2=387->eco2_537_amb_387__y2004_2006 | AdditionalInfo='2004-2006, mini-FACE' | (E-A)/A=0.16 | n_species_in_ref=1 | ref='Hogy et al 2009'",gt-decode-v2
gt__010_Li_2010__r1377,gt,010_Li_2010,mineral_concentration,na,ni,grain,triso,eco2_537_amb_387__y2004_2006,single_cell,ratio,ambient_co2,-0.025000,,Loladze CO2 Dataset row 1377,0,"Species=""Triticum aestivum 'Triso'""->triso | Tissue='grain'->grain | Element='Ni'->ni | eCO2=537 aCO2=387->eco2_537_amb_387__y2004_2006 | AdditionalInfo='2004-2006, mini-FACE' | (E-A)/A=-0.025 | n_species_in_ref=1 | ref='Hogy et al 2009'",gt-decode-v2
gt__010_Li_2010__r1378,gt,010_Li_2010,mineral_concentration,na,p,grain,triso,eco2_537_amb_387__y2004_2006,single_cell,ratio,ambient_co2,-0.008000,,Loladze CO2 Dataset row 1378,0,"Species=""Triticum aestivum 'Triso'""->triso | Tissue='grain'->grain | Element='P'->p | eCO2=537 aCO2=387->eco2_537_amb_387__y2004_2006 | AdditionalInfo='2004-2006, mini-FACE' | (E-A)/A=-0.008 | n_species_in_ref=1 | ref='Hogy et al 2009'",gt-decode-v2
