row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__011_Huluka_1994__r263,gt,011_Huluka_1994,mineral_concentration,na,b,foliar,deltapine_77,eco2_550_amb_370__doy247,single_cell,ratio,ambient_co2,0.052600,,Loladze CO2 Dataset row 263,0,"Species=""Gossypium hirsutum 'Deltapine 77'""->deltapine_77 | Tissue='foliar'->foliar | Element='B'->b | eCO2=550 aCO2=370->eco2_550_amb_370__doy247 | AdditionalInfo='DOY 247' | (E-A)/A=0.0526 | n_species_in_ref=1 | ref='Huluka et al 1994'",gt-decode-v2
gt__011_Huluka_1994__r264,gt,011_Huluka_1994,mineral_concentration,na,c,foliar,deltapine_77,eco2_550_amb_370__doy247,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 264,0,"Species=""Gossypium hirsutum 'Deltapine 77'""->deltapine_77 | Tissue='foliar'->foliar | Element='C'->c | eCO2=550 aCO2=370->eco2_550_amb_370__doy247 | AdditionalInfo='DOY 247' | (E-A)/A=0 | n_species_in_ref=1 | ref='Huluka et al 1994'",gt-decode-v2
gt__011_Huluka_1994__r265,gt,011_Huluka_1994,mineral_concentration,na,ca,foliar,deltapine_77,eco2_550_amb_370__doy247,single_cell,ratio,ambient_co2,-0.009900,,Loladze CO2 Dataset row 265,0,"Species=""Gossypium hirsutum 'Deltapine 77'""->deltapine_77 | Tissue='foliar'->foliar | Element='Ca'->ca | eCO2=550 aCO2=370->eco2_550_amb_370__doy247 | AdditionalInfo='DOY 247' | (E-A)/A=-0.0099 | n_species_in_ref=1 | ref='Huluka et al 1994'",gt-decode-v2
gt__011_Huluka_1994__r266,gt,011_Huluka_1994,mineral_concentration,na,cu,foliar,deltapine_77,eco2_550_amb_370__doy247,single_cell,ratio,ambient_co2,-0.275400,,Loladze CO2 Dataset row 266,0,"Species=""Gossypium hirsutum 'Deltapine 77'""->deltapine_77 | Tissue='foliar'->foliar | Element='Cu'->cu | eCO2=550 aCO2=370->eco2_550_amb_370__doy247 | AdditionalInfo='DOY 247' | (E-A)/A=-0.2754 | n_species_in_ref=1 | ref='Huluka et al 1994'",gt-decode-v2
gt__011_Huluka_1994__r267,gt,011_Huluka_1994,mineral_concentration,na,fe,foliar,deltapine_77,eco2_550_amb_370__doy247,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 267,0,"Species=""Gossypium hirsutum 'Deltapine 77'""->deltapine_77 | Tissue='foliar'->foliar | Element='Fe'->fe | eCO2=550 aCO2=370->eco2_550_amb_370__doy247 | AdditionalInfo='DOY 247' | (E-A)/A=0 | n_species_in_ref=1 | ref='Huluka et al 1994'",gt-decode-v2
gt__011_Huluka_1994__r268,gt,011_Huluka_1994,mineral_concentration,na,k,foliar,deltapine_77,eco2_550_amb_370__doy247,single_cell,ratio,ambient_co2,-0.082600,,Loladze CO2 Dataset row 268,0,"Species=""Gossypium hirsutum 'Deltapine 77'""->deltapine_77 | Tissue='foliar'->foliar | Element='K'->k | eCO2=550 aCO2=370->eco2_550_amb_370__doy247 | AdditionalInfo='DOY 247' | (E-A)/A=-0.0826 | n_species_in_ref=1 | ref='Huluka et al 1994'",gt-decode-v2
gt__011_Huluka_1994__r269,gt,011_Huluka_1994,mineral_concentration,na,mg,foliar,deltapine_77,eco2_550_amb_370__doy247,single_cell,ratio,ambient_co2,-0.074100,,Loladze CO2 Dataset row 269,0,"Species=""Gossypium hirsutum 'Deltapine 77'""->deltapine_77 | Tissue='foliar'->foliar | Element='Mg'->mg | eCO2=550 aCO2=370->eco2_550_amb_370__doy247 | AdditionalInfo='DOY 247' | (E-A)/A=-0.0741 | n_species_in_ref=1 | ref='Huluka et al 1994'",gt-decode-v2
gt__011_Huluka_1994__r270,gt,011_Huluka_1994,mineral_concentration,na,mn,foliar,deltapine_77,eco2_550_amb_370__doy247,single_cell,ratio,ambient_co2,-0.038500,,Loladze CO2 Dataset row 270,0,"Species=""Gossypium hirsutum 'Deltapine 77'""->deltapine_77 | Tissue='foliar'->foliar | Element='Mn'->mn | eCO2=550 aCO2=370->eco2_550_amb_370__doy247 | AdditionalInfo='DOY 247' | (E-A)/A=-0.0385 | n_species_in_ref=1 | ref='Huluka et al 1994'",gt-decode-v2
gt__011_Huluka_1994__r271,gt,011_Huluka_1994,mineral_concentration,na,mo,foliar,deltapine_77,eco2_550_amb_370__doy247,single_cell,ratio,ambient_co2,0.315900,,Loladze CO2 Dataset row 271,0,"Species=""Gossypium hirsutum 'Deltapine 77'""->deltapine_77 | Tissue='foliar'->foliar | Element='Mo'->mo | eCO2=550 aCO2=370->eco2_550_amb_370__doy247 | AdditionalInfo='DOY 247' | (E-A)/A=0.3159 | n_species_in_ref=1 | ref='Huluka et al 1994'",gt-decode-v2
gt__011_Huluka_1994__r272,gt,011_Huluka_1994,mineral_concentration,na,n,foliar,deltapine_77,eco2_550_amb_370__doy247,single_cell,ratio,ambient_co2,-0.236600,,Loladze CO2 Dataset row 272,0,"Species=""Gossypium hirsutum 'Deltapine 77'""->deltapine_77 | Tissue='foliar'->foliar | Element='N'->n | eCO2=550 aCO2=370->eco2_550_amb_370__doy247 | AdditionalInfo='DOY 247' | (E-A)/A=-0.2366 | n_species_in_ref=1 | ref='Huluka et al 1994'",gt-decode-v2
gt__011_Huluka_1994__r273,gt,011_Huluka_1994,mineral_concentration,na,p,foliar,deltapine_77,eco2_550_amb_370__doy247,single_cell,ratio,ambient_co2,-0.187000,,Loladze CO2 Dataset row 273,0,"Species=""Gossypium hirsutum 'Deltapine 77'""->deltapine_77 | Tissue='foliar'->foliar | Element='P'->p | eCO2=550 aCO2=370->eco2_550_amb_370__doy247 | AdditionalInfo='DOY 247' | (E-A)/A=-0.187 | n_species_in_ref=1 | ref='Huluka et al 1994'",gt-decode-v2
gt__011_Huluka_1994__r274,gt,011_Huluka_1994,mineral_concentration,na,si,foliar,deltapine_77,eco2_550_amb_370__doy247,single_cell,ratio,ambient_co2,0.282100,,Loladze CO2 Dataset row 274,0,"Species=""Gossypium hirsutum 'Deltapine 77'""->deltapine_77 | Tissue='foliar'->foliar | Element='Si'->si | eCO2=550 aCO2=370->eco2_550_amb_370__doy247 | AdditionalInfo='DOY 247' | (E-A)/A=0.2821 | n_species_in_ref=1 | ref='Huluka et al 1994'",gt-decode-v2
gt__011_Huluka_1994__r275,gt,011_Huluka_1994,mineral_concentration,na,zn,foliar,deltapine_77,eco2_550_amb_370__doy247,single_cell,ratio,ambient_co2,-0.230800,,Loladze CO2 Dataset row 275,0,"Species=""Gossypium hirsutum 'Deltapine 77'""->deltapine_77 | Tissue='foliar'->foliar | Element='Zn'->zn | eCO2=550 aCO2=370->eco2_550_amb_370__doy247 | AdditionalInfo='DOY 247' | (E-A)/A=-0.2308 | n_species_in_ref=1 | ref='Huluka et al 1994'",gt-decode-v2
