row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__014_Lieffering_2004__r574,gt,014_Lieffering_2004,mineral_concentration,na,b,grain,akitakomachi,eco2_625_amb_365,single_cell,ratio,ambient_co2,0.340000,,Loladze CO2 Dataset row 574,0,"Species=""Oryza sativa 'Akitakomachi'""->akitakomachi | Tissue='grain'->grain | Element='B'->b | eCO2=625 aCO2=365->eco2_625_amb_365 | AdditionalInfo='' | (E-A)/A=0.34 | n_species_in_ref=1 | ref='Lieffering et al 2004'",gt-decode-v2
gt__014_Lieffering_2004__r575,gt,014_Lieffering_2004,mineral_concentration,na,b,grain,akitakomachi,eco2_570_amb_365,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 575,0,"Species=""Oryza sativa 'Akitakomachi'""->akitakomachi | Tissue='grain'->grain | Element='B'->b | eCO2=570 aCO2=365->eco2_570_amb_365 | AdditionalInfo='' | (E-A)/A=0 | n_species_in_ref=1 | ref='Lieffering et al 2004'",gt-decode-v2
gt__014_Lieffering_2004__r576,gt,014_Lieffering_2004,mineral_concentration,na,cu,grain,akitakomachi,eco2_570_amb_365,single_cell,ratio,ambient_co2,0.413400,,Loladze CO2 Dataset row 576,0,"Species=""Oryza sativa 'Akitakomachi'""->akitakomachi | Tissue='grain'->grain | Element='Cu'->cu | eCO2=570 aCO2=365->eco2_570_amb_365 | AdditionalInfo='' | (E-A)/A=0.4134 | n_species_in_ref=1 | ref='Lieffering et al 2004'",gt-decode-v2
gt__014_Lieffering_2004__r577,gt,014_Lieffering_2004,mineral_concentration,na,cu,grain,akitakomachi,eco2_625_amb_365,single_cell,ratio,ambient_co2,0.050000,,Loladze CO2 Dataset row 577,0,"Species=""Oryza sativa 'Akitakomachi'""->akitakomachi | Tissue='grain'->grain | Element='Cu'->cu | eCO2=625 aCO2=365->eco2_625_amb_365 | AdditionalInfo='' | (E-A)/A=0.05 | n_species_in_ref=1 | ref='Lieffering et al 2004'",gt-decode-v2
gt__014_Lieffering_2004__r578,gt,014_Lieffering_2004,mineral_concentration,na,fe,grain,akitakomachi,eco2_570_amb_365,single_cell,ratio,ambient_co2,0.676500,,Loladze CO2 Dataset row 578,0,"Species=""Oryza sativa 'Akitakomachi'""->akitakomachi | Tissue='grain'->grain | Element='Fe'->fe | eCO2=570 aCO2=365->eco2_570_amb_365 | AdditionalInfo='' | (E-A)/A=0.6765 | n_species_in_ref=1 | ref='Lieffering et al 2004'",gt-decode-v2
gt__014_Lieffering_2004__r579,gt,014_Lieffering_2004,mineral_concentration,na,fe,grain,akitakomachi,eco2_625_amb_365,single_cell,ratio,ambient_co2,0.051100,,Loladze CO2 Dataset row 579,0,"Species=""Oryza sativa 'Akitakomachi'""->akitakomachi | Tissue='grain'->grain | Element='Fe'->fe | eCO2=625 aCO2=365->eco2_625_amb_365 | AdditionalInfo='' | (E-A)/A=0.0511 | n_species_in_ref=1 | ref='Lieffering et al 2004'",gt-decode-v2
gt__014_Lieffering_2004__r580,gt,014_Lieffering_2004,mineral_concentration,na,k,grain,akitakomachi,eco2_570_amb_365,single_cell,ratio,ambient_co2,0.019000,,Loladze CO2 Dataset row 580,0,"Species=""Oryza sativa 'Akitakomachi'""->akitakomachi | Tissue='grain'->grain | Element='K'->k | eCO2=570 aCO2=365->eco2_570_amb_365 | AdditionalInfo='' | (E-A)/A=0.019 | n_species_in_ref=1 | ref='Lieffering et al 2004'",gt-decode-v2
gt__014_Lieffering_2004__r581,gt,014_Lieffering_2004,mineral_concentration,na,k,grain,akitakomachi,eco2_625_amb_365,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 581,0,"Species=""Oryza sativa 'Akitakomachi'""->akitakomachi | Tissue='grain'->grain | Element='K'->k | eCO2=625 aCO2=365->eco2_625_amb_365 | AdditionalInfo='' | (E-A)/A=0 | n_species_in_ref=1 | ref='Lieffering et al 2004'",gt-decode-v2
gt__014_Lieffering_2004__r582,gt,014_Lieffering_2004,mineral_concentration,na,mg,grain,akitakomachi,eco2_570_amb_365,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 582,0,"Species=""Oryza sativa 'Akitakomachi'""->akitakomachi | Tissue='grain'->grain | Element='Mg'->mg | eCO2=570 aCO2=365->eco2_570_amb_365 | AdditionalInfo='' | (E-A)/A=0 | n_species_in_ref=1 | ref='Lieffering et al 2004'",gt-decode-v2
gt__014_Lieffering_2004__r583,gt,014_Lieffering_2004,mineral_concentration,na,mg,grain,akitakomachi,eco2_625_amb_365,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 583,0,"Species=""Oryza sativa 'Akitakomachi'""->akitakomachi | Tissue='grain'->grain | Element='Mg'->mg | eCO2=625 aCO2=365->eco2_625_amb_365 | AdditionalInfo='' | (E-A)/A=0 | n_species_in_ref=1 | ref='Lieffering et al 2004'",gt-decode-v2
gt__014_Lieffering_2004__r584,gt,014_Lieffering_2004,mineral_concentration,na,mn,grain,akitakomachi,eco2_625_amb_365,single_cell,ratio,ambient_co2,0.127700,,Loladze CO2 Dataset row 584,0,"Species=""Oryza sativa 'Akitakomachi'""->akitakomachi | Tissue='grain'->grain | Element='Mn'->mn | eCO2=625 aCO2=365->eco2_625_amb_365 | AdditionalInfo='' | (E-A)/A=0.1277 | n_species_in_ref=1 | ref='Lieffering et al 2004'",gt-decode-v2
gt__014_Lieffering_2004__r585,gt,014_Lieffering_2004,mineral_concentration,na,mn,grain,akitakomachi,eco2_570_amb_365,single_cell,ratio,ambient_co2,0.051100,,Loladze CO2 Dataset row 585,0,"Species=""Oryza sativa 'Akitakomachi'""->akitakomachi | Tissue='grain'->grain | Element='Mn'->mn | eCO2=570 aCO2=365->eco2_570_amb_365 | AdditionalInfo='' | (E-A)/A=0.0511 | n_species_in_ref=1 | ref='Lieffering et al 2004'",gt-decode-v2
gt__014_Lieffering_2004__r586,gt,014_Lieffering_2004,mineral_concentration,na,mo,grain,akitakomachi,eco2_625_amb_365,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 586,0,"Species=""Oryza sativa 'Akitakomachi'""->akitakomachi | Tissue='grain'->grain | Element='Mo'->mo | eCO2=625 aCO2=365->eco2_625_amb_365 | AdditionalInfo='' | (E-A)/A=0 | n_species_in_ref=1 | ref='Lieffering et al 2004'",gt-decode-v2
