row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__017_Fangmeier_2002__r971,gt,017_Fangmeier_2002,mineral_concentration,na,ca,above_ground,bintje__o3,eco2_680_amb_375,single_cell,ratio,ambient_co2,0.107100,,Loladze CO2 Dataset row 971,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__o3 | Tissue='above ground'->above_ground | Element='Ca'->ca | eCO2=680 aCO2=375->eco2_680_amb_375 | AdditionalInfo='1 GI, SB, TE locations,  O3' | (E-A)/A=0.1071 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r972,gt,017_Fangmeier_2002,mineral_concentration,na,ca,edible,bintje__o3,eco2_680_amb_360,single_cell,ratio,ambient_co2,0.026400,,Loladze CO2 Dataset row 972,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__o3 | Tissue='tuber'->edible | Element='Ca'->ca | eCO2=680 aCO2=360->eco2_680_amb_360 | AdditionalInfo='1 JO,GI,GO,SB, TE loc., O3' | (E-A)/A=0.0264 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r973,gt,017_Fangmeier_2002,mineral_concentration,na,ca,above_ground,bintje__nf,eco2_680_amb_375,single_cell,ratio,ambient_co2,-0.087200,,Loladze CO2 Dataset row 973,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__nf | Tissue='above ground'->above_ground | Element='Ca'->ca | eCO2=680 aCO2=375->eco2_680_amb_375 | AdditionalInfo='GI, SB, TE loc., NF' | (E-A)/A=-0.0872 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r974,gt,017_Fangmeier_2002,mineral_concentration,na,ca,edible,bintje__nf,eco2_680_amb_360,single_cell,ratio,ambient_co2,-0.066200,,Loladze CO2 Dataset row 974,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__nf | Tissue='tuber'->edible | Element='Ca'->ca | eCO2=680 aCO2=360->eco2_680_amb_360 | AdditionalInfo='JO,GI,GO,SB, TE loc., NF' | (E-A)/A=-0.0662 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r975,gt,017_Fangmeier_2002,mineral_concentration,na,fe,above_ground,bintje__o3,eco2_680_amb_375,single_cell,ratio,ambient_co2,-0.387200,,Loladze CO2 Dataset row 975,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__o3 | Tissue='above ground'->above_ground | Element='Fe'->fe | eCO2=680 aCO2=375->eco2_680_amb_375 | AdditionalInfo='2 GI, SB, TE locations,  O3' | (E-A)/A=-0.3872 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r976,gt,017_Fangmeier_2002,mineral_concentration,na,fe,edible,bintje__o3,eco2_680_amb_360,single_cell,ratio,ambient_co2,0.077200,,Loladze CO2 Dataset row 976,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__o3 | Tissue='tuber'->edible | Element='Fe'->fe | eCO2=680 aCO2=360->eco2_680_amb_360 | AdditionalInfo='2 JO,GI,GO,SB, TE loc., O3' | (E-A)/A=0.0772 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r977,gt,017_Fangmeier_2002,mineral_concentration,na,fe,above_ground,bintje__nf,eco2_680_amb_375,single_cell,ratio,ambient_co2,-0.229300,,Loladze CO2 Dataset row 977,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__nf | Tissue='above ground'->above_ground | Element='Fe'->fe | eCO2=680 aCO2=375->eco2_680_amb_375 | AdditionalInfo='GI, SB, TE loc., NF' | (E-A)/A=-0.2293 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r978,gt,017_Fangmeier_2002,mineral_concentration,na,fe,edible,bintje__nf,eco2_680_amb_360,single_cell,ratio,ambient_co2,-0.116992,,Loladze CO2 Dataset row 978,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__nf | Tissue='tuber'->edible | Element='Fe'->fe | eCO2=680 aCO2=360->eco2_680_amb_360 | AdditionalInfo='JO,GI,GO,SB, TE loc., NF' | (E-A)/A=-0.116992 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r979,gt,017_Fangmeier_2002,mineral_concentration,na,k,above_ground,bintje__o3,eco2_680_amb_375,single_cell,ratio,ambient_co2,0.046100,,Loladze CO2 Dataset row 979,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__o3 | Tissue='above ground'->above_ground | Element='K'->k | eCO2=680 aCO2=375->eco2_680_amb_375 | AdditionalInfo='3 GI, SB, TE locations,  O3' | (E-A)/A=0.0461 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r980,gt,017_Fangmeier_2002,mineral_concentration,na,k,edible,bintje__o3,eco2_680_amb_360,single_cell,ratio,ambient_co2,-0.030200,,Loladze CO2 Dataset row 980,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__o3 | Tissue='tuber'->edible | Element='K'->k | eCO2=680 aCO2=360->eco2_680_amb_360 | AdditionalInfo='3 JO,GI,GO,SB, TE loc., O3' | (E-A)/A=-0.0302 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
gt__017_Fangmeier_2002__r981,gt,017_Fangmeier_2002,mineral_concentration,na,k,above_ground,bintje__nf,eco2_680_amb_375,single_cell,ratio,ambient_co2,-0.082300,,Loladze CO2 Dataset row 981,0,"Species=""Solanum tuberosum 'Bintje'""->bintje__nf | Tissue='above ground'->above_ground | Element='K'->k | eCO2=680 aCO2=375->eco2_680_amb_375 | AdditionalInfo='GI, SB, TE loc., NF' | (E-A)/A=-0.0823 | n_species_in_ref=1 | ref='Fangmeier et al  2002'",gt-decode-v2
