row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__019_Baxter_1994__r13,gt,019_Baxter_1994,mineral_concentration,na,ca,foliar,agrostis_capillaris,eco2_680_amb_340,single_cell,ratio,ambient_co2,0.072100,,Loladze CO2 Dataset row 13,0,Species='Agrostis capillaris'->agrostis_capillaris | Tissue='foliar'->foliar | Element='Ca'->ca | eCO2=680 aCO2=340->eco2_680_amb_340 | AdditionalInfo='' | (E-A)/A=0.0721 | n_species_in_ref=3 | ref='Baxter et al 1994',gt-decode-v2
gt__019_Baxter_1994__r14,gt,019_Baxter_1994,mineral_concentration,na,k,foliar,agrostis_capillaris,eco2_680_amb_340,single_cell,ratio,ambient_co2,-0.159700,,Loladze CO2 Dataset row 14,0,Species='Agrostis capillaris'->agrostis_capillaris | Tissue='foliar'->foliar | Element='K'->k | eCO2=680 aCO2=340->eco2_680_amb_340 | AdditionalInfo='' | (E-A)/A=-0.1597 | n_species_in_ref=3 | ref='Baxter et al 1994',gt-decode-v2
gt__019_Baxter_1994__r15,gt,019_Baxter_1994,mineral_concentration,na,mg,foliar,agrostis_capillaris,eco2_680_amb_340,single_cell,ratio,ambient_co2,-0.274100,,Loladze CO2 Dataset row 15,0,Species='Agrostis capillaris'->agrostis_capillaris | Tissue='foliar'->foliar | Element='Mg'->mg | eCO2=680 aCO2=340->eco2_680_amb_340 | AdditionalInfo='' | (E-A)/A=-0.2741 | n_species_in_ref=3 | ref='Baxter et al 1994',gt-decode-v2
gt__019_Baxter_1994__r16,gt,019_Baxter_1994,mineral_concentration,na,n,foliar,agrostis_capillaris,eco2_680_amb_340,single_cell,ratio,ambient_co2,-0.129700,,Loladze CO2 Dataset row 16,0,Species='Agrostis capillaris'->agrostis_capillaris | Tissue='foliar'->foliar | Element='N'->n | eCO2=680 aCO2=340->eco2_680_amb_340 | AdditionalInfo='' | (E-A)/A=-0.1297 | n_species_in_ref=3 | ref='Baxter et al 1994',gt-decode-v2
gt__019_Baxter_1994__r17,gt,019_Baxter_1994,mineral_concentration,na,p,foliar,agrostis_capillaris,eco2_680_amb_340,single_cell,ratio,ambient_co2,0.087200,,Loladze CO2 Dataset row 17,0,Species='Agrostis capillaris'->agrostis_capillaris | Tissue='foliar'->foliar | Element='P'->p | eCO2=680 aCO2=340->eco2_680_amb_340 | AdditionalInfo='' | (E-A)/A=0.0872 | n_species_in_ref=3 | ref='Baxter et al 1994',gt-decode-v2
gt__019_Baxter_1994__r223,gt,019_Baxter_1994,mineral_concentration,na,ca,foliar,festuca_vivipara,eco2_680_amb_340,single_cell,ratio,ambient_co2,-0.221900,,Loladze CO2 Dataset row 223,0,Species='Festuca vivipara'->festuca_vivipara | Tissue='foliar'->foliar | Element='Ca'->ca | eCO2=680 aCO2=340->eco2_680_amb_340 | AdditionalInfo='' | (E-A)/A=-0.2219 | n_species_in_ref=3 | ref='Baxter et al 1994',gt-decode-v2
gt__019_Baxter_1994__r224,gt,019_Baxter_1994,mineral_concentration,na,k,foliar,festuca_vivipara,eco2_680_amb_340,single_cell,ratio,ambient_co2,-0.125400,,Loladze CO2 Dataset row 224,0,Species='Festuca vivipara'->festuca_vivipara | Tissue='foliar'->foliar | Element='K'->k | eCO2=680 aCO2=340->eco2_680_amb_340 | AdditionalInfo='' | (E-A)/A=-0.1254 | n_species_in_ref=3 | ref='Baxter et al 1994',gt-decode-v2
gt__019_Baxter_1994__r225,gt,019_Baxter_1994,mineral_concentration,na,mg,foliar,festuca_vivipara,eco2_680_amb_340,single_cell,ratio,ambient_co2,-0.056100,,Loladze CO2 Dataset row 225,0,Species='Festuca vivipara'->festuca_vivipara | Tissue='foliar'->foliar | Element='Mg'->mg | eCO2=680 aCO2=340->eco2_680_amb_340 | AdditionalInfo='' | (E-A)/A=-0.0561 | n_species_in_ref=3 | ref='Baxter et al 1994',gt-decode-v2
gt__019_Baxter_1994__r226,gt,019_Baxter_1994,mineral_concentration,na,n,foliar,festuca_vivipara,eco2_680_amb_340,single_cell,ratio,ambient_co2,-0.264900,,Loladze CO2 Dataset row 226,0,Species='Festuca vivipara'->festuca_vivipara | Tissue='foliar'->foliar | Element='N'->n | eCO2=680 aCO2=340->eco2_680_amb_340 | AdditionalInfo='' | (E-A)/A=-0.2649 | n_species_in_ref=3 | ref='Baxter et al 1994',gt-decode-v2
gt__019_Baxter_1994__r227,gt,019_Baxter_1994,mineral_concentration,na,p,foliar,festuca_vivipara,eco2_680_amb_340,single_cell,ratio,ambient_co2,-0.219500,,Loladze CO2 Dataset row 227,0,Species='Festuca vivipara'->festuca_vivipara | Tissue='foliar'->foliar | Element='P'->p | eCO2=680 aCO2=340->eco2_680_amb_340 | AdditionalInfo='' | (E-A)/A=-0.2195 | n_species_in_ref=3 | ref='Baxter et al 1994',gt-decode-v2
gt__019_Baxter_1994__r826,gt,019_Baxter_1994,mineral_concentration,na,ca,foliar,poa_alpina,eco2_680_amb_340,single_cell,ratio,ambient_co2,-0.114700,,Loladze CO2 Dataset row 826,0,Species='Poa alpina'->poa_alpina | Tissue='foliar'->foliar | Element='Ca'->ca | eCO2=680 aCO2=340->eco2_680_amb_340 | AdditionalInfo='' | (E-A)/A=-0.1147 | n_species_in_ref=3 | ref='Baxter et al 1994',gt-decode-v2
