row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__020_Overdieck_1993__r3,gt,020_Overdieck_1993,mineral_concentration,na,ca,above_ground,acer_pseudoplatanus,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.111100,,Loladze CO2 Dataset row 3,0,Species='Acer pseudoplatanus'->acer_pseudoplatanus | Tissue='above ground'->above_ground | Element='Ca'->ca | eCO2=650 aCO2=390->eco2_650_amb_390 | AdditionalInfo='' | (E-A)/A=-0.1111 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r4,gt,020_Overdieck_1993,mineral_concentration,na,fe,above_ground,acer_pseudoplatanus,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.066100,,Loladze CO2 Dataset row 4,0,Species='Acer pseudoplatanus'->acer_pseudoplatanus | Tissue='above ground'->above_ground | Element='Fe'->fe | eCO2=650 aCO2=390->eco2_650_amb_390 | AdditionalInfo='' | (E-A)/A=-0.0661 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r5,gt,020_Overdieck_1993,mineral_concentration,na,k,above_ground,acer_pseudoplatanus,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.096800,,Loladze CO2 Dataset row 5,0,Species='Acer pseudoplatanus'->acer_pseudoplatanus | Tissue='above ground'->above_ground | Element='K'->k | eCO2=650 aCO2=390->eco2_650_amb_390 | AdditionalInfo='' | (E-A)/A=-0.0968 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r6,gt,020_Overdieck_1993,mineral_concentration,na,mg,above_ground,acer_pseudoplatanus,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.090900,,Loladze CO2 Dataset row 6,0,Species='Acer pseudoplatanus'->acer_pseudoplatanus | Tissue='above ground'->above_ground | Element='Mg'->mg | eCO2=650 aCO2=390->eco2_650_amb_390 | AdditionalInfo='' | (E-A)/A=-0.0909 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r7,gt,020_Overdieck_1993,mineral_concentration,na,mn,above_ground,acer_pseudoplatanus,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.202500,,Loladze CO2 Dataset row 7,0,Species='Acer pseudoplatanus'->acer_pseudoplatanus | Tissue='above ground'->above_ground | Element='Mn'->mn | eCO2=650 aCO2=390->eco2_650_amb_390 | AdditionalInfo='' | (E-A)/A=-0.2025 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r8,gt,020_Overdieck_1993,mineral_concentration,na,n,above_ground,acer_pseudoplatanus,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.171900,,Loladze CO2 Dataset row 8,0,Species='Acer pseudoplatanus'->acer_pseudoplatanus | Tissue='above ground'->above_ground | Element='N'->n | eCO2=650 aCO2=390->eco2_650_amb_390 | AdditionalInfo='' | (E-A)/A=-0.1719 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r9,gt,020_Overdieck_1993,mineral_concentration,na,p,above_ground,acer_pseudoplatanus,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.066700,,Loladze CO2 Dataset row 9,0,Species='Acer pseudoplatanus'->acer_pseudoplatanus | Tissue='above ground'->above_ground | Element='P'->p | eCO2=650 aCO2=390->eco2_650_amb_390 | AdditionalInfo='' | (E-A)/A=-0.0667 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r199,gt,020_Overdieck_1993,mineral_concentration,na,ca,above_ground,fagus_sylvatica,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.134000,,Loladze CO2 Dataset row 199,0,Species='Fagus sylvatica'->fagus_sylvatica | Tissue='above ground'->above_ground | Element='Ca'->ca | eCO2=650 aCO2=390->eco2_650_amb_390 | AdditionalInfo='' | (E-A)/A=-0.134 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r200,gt,020_Overdieck_1993,mineral_concentration,na,fe,above_ground,fagus_sylvatica,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.049800,,Loladze CO2 Dataset row 200,0,Species='Fagus sylvatica'->fagus_sylvatica | Tissue='above ground'->above_ground | Element='Fe'->fe | eCO2=650 aCO2=390->eco2_650_amb_390 | AdditionalInfo='' | (E-A)/A=-0.0498 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r201,gt,020_Overdieck_1993,mineral_concentration,na,k,above_ground,fagus_sylvatica,eco2_650_amb_390,single_cell,ratio,ambient_co2,0.031300,,Loladze CO2 Dataset row 201,0,Species='Fagus sylvatica'->fagus_sylvatica | Tissue='above ground'->above_ground | Element='K'->k | eCO2=650 aCO2=390->eco2_650_amb_390 | AdditionalInfo='' | (E-A)/A=0.0313 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r202,gt,020_Overdieck_1993,mineral_concentration,na,mg,above_ground,fagus_sylvatica,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.157900,,Loladze CO2 Dataset row 202,0,Species='Fagus sylvatica'->fagus_sylvatica | Tissue='above ground'->above_ground | Element='Mg'->mg | eCO2=650 aCO2=390->eco2_650_amb_390 | AdditionalInfo='' | (E-A)/A=-0.1579 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r203,gt,020_Overdieck_1993,mineral_concentration,na,mn,above_ground,fagus_sylvatica,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.105000,,Loladze CO2 Dataset row 203,0,Species='Fagus sylvatica'->fagus_sylvatica | Tissue='above ground'->above_ground | Element='Mn'->mn | eCO2=650 aCO2=390->eco2_650_amb_390 | AdditionalInfo='' | (E-A)/A=-0.105 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r204,gt,020_Overdieck_1993,mineral_concentration,na,n,above_ground,fagus_sylvatica,eco2_650_amb_390,single_cell,ratio,ambient_co2,-0.100000,,Loladze CO2 Dataset row 204,0,Species='Fagus sylvatica'->fagus_sylvatica | Tissue='above ground'->above_ground | Element='N'->n | eCO2=650 aCO2=390->eco2_650_amb_390 | AdditionalInfo='' | (E-A)/A=-0.1 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r205,gt,020_Overdieck_1993,mineral_concentration,na,p,above_ground,fagus_sylvatica,eco2_650_amb_390,single_cell,ratio,ambient_co2,0.071400,,Loladze CO2 Dataset row 205,0,Species='Fagus sylvatica'->fagus_sylvatica | Tissue='above ground'->above_ground | Element='P'->p | eCO2=650 aCO2=390->eco2_650_amb_390 | AdditionalInfo='' | (E-A)/A=0.0714 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r217,gt,020_Overdieck_1993,mineral_concentration,na,ca,above_ground,festuca_pratensis,eco2_620_amb_300,single_cell,ratio,ambient_co2,-0.095300,,Loladze CO2 Dataset row 217,0,Species='Festuca pratensis'->festuca_pratensis | Tissue='above ground'->above_ground | Element='Ca'->ca | eCO2=620 aCO2=300->eco2_620_amb_300 | AdditionalInfo='' | (E-A)/A=-0.0953 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r218,gt,020_Overdieck_1993,mineral_concentration,na,k,above_ground,festuca_pratensis,eco2_620_amb_300,single_cell,ratio,ambient_co2,-0.077200,,Loladze CO2 Dataset row 218,0,Species='Festuca pratensis'->festuca_pratensis | Tissue='above ground'->above_ground | Element='K'->k | eCO2=620 aCO2=300->eco2_620_amb_300 | AdditionalInfo='' | (E-A)/A=-0.0772 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
gt__020_Overdieck_1993__r219,gt,020_Overdieck_1993,mineral_concentration,na,mg,above_ground,festuca_pratensis,eco2_620_amb_300,single_cell,ratio,ambient_co2,-0.049600,,Loladze CO2 Dataset row 219,0,Species='Festuca pratensis'->festuca_pratensis | Tissue='above ground'->above_ground | Element='Mg'->mg | eCO2=620 aCO2=300->eco2_620_amb_300 | AdditionalInfo='' | (E-A)/A=-0.0496 | n_species_in_ref=6 | ref='Overdieck 1993',gt-decode-v2
