row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__021_Wilsey_1994__r1107,gt,021_Wilsey_1994,mineral_concentration,na,b,foliar,,eco2_700_amb_370,single_cell,ratio,ambient_co2,-0.132400,,Loladze CO2 Dataset row 1107,0,Species='Sporobolus kentrophyllus'->(blank) | Tissue='foliar'->foliar | Element='B'->b | eCO2=700 aCO2=370->eco2_700_amb_370 | AdditionalInfo='' | (E-A)/A=-0.1324 | n_species_in_ref=1 | ref='Wilsey et al 1994',gt-decode-v2
gt__021_Wilsey_1994__r1108,gt,021_Wilsey_1994,mineral_concentration,na,ca,foliar,,eco2_700_amb_370,single_cell,ratio,ambient_co2,-0.006600,,Loladze CO2 Dataset row 1108,0,Species='Sporobolus kentrophyllus'->(blank) | Tissue='foliar'->foliar | Element='Ca'->ca | eCO2=700 aCO2=370->eco2_700_amb_370 | AdditionalInfo='' | (E-A)/A=-0.0066 | n_species_in_ref=1 | ref='Wilsey et al 1994',gt-decode-v2
gt__021_Wilsey_1994__r1109,gt,021_Wilsey_1994,mineral_concentration,na,co,foliar,,eco2_700_amb_370,single_cell,ratio,ambient_co2,0.117600,,Loladze CO2 Dataset row 1109,0,Species='Sporobolus kentrophyllus'->(blank) | Tissue='foliar'->foliar | Element='Co'->co | eCO2=700 aCO2=370->eco2_700_amb_370 | AdditionalInfo='' | (E-A)/A=0.1176 | n_species_in_ref=1 | ref='Wilsey et al 1994',gt-decode-v2
gt__021_Wilsey_1994__r1110,gt,021_Wilsey_1994,mineral_concentration,na,cu,foliar,,eco2_700_amb_370,single_cell,ratio,ambient_co2,-0.136400,,Loladze CO2 Dataset row 1110,0,Species='Sporobolus kentrophyllus'->(blank) | Tissue='foliar'->foliar | Element='Cu'->cu | eCO2=700 aCO2=370->eco2_700_amb_370 | AdditionalInfo='' | (E-A)/A=-0.1364 | n_species_in_ref=1 | ref='Wilsey et al 1994',gt-decode-v2
gt__021_Wilsey_1994__r1111,gt,021_Wilsey_1994,mineral_concentration,na,fe,foliar,,eco2_700_amb_370,single_cell,ratio,ambient_co2,0.148400,,Loladze CO2 Dataset row 1111,0,Species='Sporobolus kentrophyllus'->(blank) | Tissue='foliar'->foliar | Element='Fe'->fe | eCO2=700 aCO2=370->eco2_700_amb_370 | AdditionalInfo='' | (E-A)/A=0.1484 | n_species_in_ref=1 | ref='Wilsey et al 1994',gt-decode-v2
gt__021_Wilsey_1994__r1112,gt,021_Wilsey_1994,mineral_concentration,na,k,foliar,,eco2_700_amb_370,single_cell,ratio,ambient_co2,0.036200,,Loladze CO2 Dataset row 1112,0,Species='Sporobolus kentrophyllus'->(blank) | Tissue='foliar'->foliar | Element='K'->k | eCO2=700 aCO2=370->eco2_700_amb_370 | AdditionalInfo='' | (E-A)/A=0.0362 | n_species_in_ref=1 | ref='Wilsey et al 1994',gt-decode-v2
gt__021_Wilsey_1994__r1113,gt,021_Wilsey_1994,mineral_concentration,na,mg,foliar,,eco2_700_amb_370,single_cell,ratio,ambient_co2,-0.032900,,Loladze CO2 Dataset row 1113,0,Species='Sporobolus kentrophyllus'->(blank) | Tissue='foliar'->foliar | Element='Mg'->mg | eCO2=700 aCO2=370->eco2_700_amb_370 | AdditionalInfo='' | (E-A)/A=-0.0329 | n_species_in_ref=1 | ref='Wilsey et al 1994',gt-decode-v2
gt__021_Wilsey_1994__r1114,gt,021_Wilsey_1994,mineral_concentration,na,mn,foliar,,eco2_700_amb_370,single_cell,ratio,ambient_co2,-0.042600,,Loladze CO2 Dataset row 1114,0,Species='Sporobolus kentrophyllus'->(blank) | Tissue='foliar'->foliar | Element='Mn'->mn | eCO2=700 aCO2=370->eco2_700_amb_370 | AdditionalInfo='' | (E-A)/A=-0.0426 | n_species_in_ref=1 | ref='Wilsey et al 1994',gt-decode-v2
gt__021_Wilsey_1994__r1115,gt,021_Wilsey_1994,mineral_concentration,na,mo,foliar,,eco2_700_amb_370,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 1115,0,Species='Sporobolus kentrophyllus'->(blank) | Tissue='foliar'->foliar | Element='Mo'->mo | eCO2=700 aCO2=370->eco2_700_amb_370 | AdditionalInfo='' | (E-A)/A=0 | n_species_in_ref=1 | ref='Wilsey et al 1994',gt-decode-v2
gt__021_Wilsey_1994__r1116,gt,021_Wilsey_1994,mineral_concentration,na,n,foliar,,eco2_700_amb_370,single_cell,ratio,ambient_co2,0.000600,,Loladze CO2 Dataset row 1116,0,Species='Sporobolus kentrophyllus'->(blank) | Tissue='foliar'->foliar | Element='N'->n | eCO2=700 aCO2=370->eco2_700_amb_370 | AdditionalInfo='' | (E-A)/A=0.0006 | n_species_in_ref=1 | ref='Wilsey et al 1994',gt-decode-v2
gt__021_Wilsey_1994__r1117,gt,021_Wilsey_1994,mineral_concentration,na,na,foliar,,eco2_700_amb_370,single_cell,ratio,ambient_co2,-0.004800,,Loladze CO2 Dataset row 1117,0,Species='Sporobolus kentrophyllus'->(blank) | Tissue='foliar'->foliar | Element='Na'->na | eCO2=700 aCO2=370->eco2_700_amb_370 | AdditionalInfo='' | (E-A)/A=-0.0048 | n_species_in_ref=1 | ref='Wilsey et al 1994',gt-decode-v2
