row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__025_Guo_2011__r668,gt,025_Guo_2011,mineral_concentration,na,cd,grain,wu_xiang_jing__cd_0,eco2_570_amb_370__h2006,single_cell,ratio,ambient_co2,0.109000,,Loladze CO2 Dataset row 668,0,"Species=""Oryza sativa 'Wu Xiang jing'""->wu_xiang_jing__cd_0 | Tissue='grain'->grain | Element='Cd'->cd | eCO2=570 aCO2=370->eco2_570_amb_370__h2006 | AdditionalInfo='Cd=0, 2006 harvest' | (E-A)/A=0.109 | n_species_in_ref=2 | ref='Guo et al 2013'",gt-decode-v2
gt__025_Guo_2011__r669,gt,025_Guo_2011,mineral_concentration,na,cd,above_ground,wu_xiang_jing__cd_0,eco2_570_amb_370__h2006,single_cell,ratio,ambient_co2,0.012000,,Loladze CO2 Dataset row 669,0,"Species=""Oryza sativa 'Wu Xiang jing'""->wu_xiang_jing__cd_0 | Tissue='shoots'->above_ground | Element='Cd'->cd | eCO2=570 aCO2=370->eco2_570_amb_370__h2006 | AdditionalInfo='Cd=0, 2006 harvest' | (E-A)/A=0.012 | n_species_in_ref=2 | ref='Guo et al 2013'",gt-decode-v2
gt__025_Guo_2011__r670,gt,025_Guo_2011,mineral_concentration,na,cd,grain,wu_xiang_jing__cd_0,eco2_570_amb_370__h2007,single_cell,ratio,ambient_co2,0.034000,,Loladze CO2 Dataset row 670,0,"Species=""Oryza sativa 'Wu Xiang jing'""->wu_xiang_jing__cd_0 | Tissue='grain'->grain | Element='Cd'->cd | eCO2=570 aCO2=370->eco2_570_amb_370__h2007 | AdditionalInfo='Cd=0, 2007 harvest' | (E-A)/A=0.034 | n_species_in_ref=2 | ref='Guo et al 2013'",gt-decode-v2
gt__025_Guo_2011__r671,gt,025_Guo_2011,mineral_concentration,na,cd,above_ground,wu_xiang_jing__cd_0,eco2_570_amb_370__h2007,single_cell,ratio,ambient_co2,-0.067000,,Loladze CO2 Dataset row 671,0,"Species=""Oryza sativa 'Wu Xiang jing'""->wu_xiang_jing__cd_0 | Tissue='shoots'->above_ground | Element='Cd'->cd | eCO2=570 aCO2=370->eco2_570_amb_370__h2007 | AdditionalInfo='Cd=0, 2007 harvest' | (E-A)/A=-0.067 | n_species_in_ref=2 | ref='Guo et al 2013'",gt-decode-v2
gt__025_Guo_2011__r672,gt,025_Guo_2011,mineral_concentration,na,cu,grain,wu_xiang_jing__cu_0,eco2_570_amb_370__h2006,single_cell,ratio,ambient_co2,-0.102000,,Loladze CO2 Dataset row 672,0,"Species=""Oryza sativa 'Wu Xiang jing'""->wu_xiang_jing__cu_0 | Tissue='grain'->grain | Element='Cu'->cu | eCO2=570 aCO2=370->eco2_570_amb_370__h2006 | AdditionalInfo='Cu=0, 2006 harvest' | (E-A)/A=-0.102 | n_species_in_ref=2 | ref='Guo et al 2013'",gt-decode-v2
gt__025_Guo_2011__r673,gt,025_Guo_2011,mineral_concentration,na,cu,above_ground,wu_xiang_jing__cu_0,eco2_570_amb_370__h2006,single_cell,ratio,ambient_co2,-0.326000,,Loladze CO2 Dataset row 673,0,"Species=""Oryza sativa 'Wu Xiang jing'""->wu_xiang_jing__cu_0 | Tissue='shoots'->above_ground | Element='Cu'->cu | eCO2=570 aCO2=370->eco2_570_amb_370__h2006 | AdditionalInfo='Cu=0, 2006 harvest' | (E-A)/A=-0.326 | n_species_in_ref=2 | ref='Guo et al 2013'",gt-decode-v2
gt__025_Guo_2011__r674,gt,025_Guo_2011,mineral_concentration,na,cu,grain,wu_xiang_jing__cu_0,eco2_570_amb_370__h2007,single_cell,ratio,ambient_co2,-0.252000,,Loladze CO2 Dataset row 674,0,"Species=""Oryza sativa 'Wu Xiang jing'""->wu_xiang_jing__cu_0 | Tissue='grain'->grain | Element='Cu'->cu | eCO2=570 aCO2=370->eco2_570_amb_370__h2007 | AdditionalInfo='Cu=0, 2007 harvest' | (E-A)/A=-0.252 | n_species_in_ref=2 | ref='Guo et al 2013'",gt-decode-v2
gt__025_Guo_2011__r675,gt,025_Guo_2011,mineral_concentration,na,cu,above_ground,wu_xiang_jing__cu_0,eco2_570_amb_370__h2007,single_cell,ratio,ambient_co2,-0.176000,,Loladze CO2 Dataset row 675,0,"Species=""Oryza sativa 'Wu Xiang jing'""->wu_xiang_jing__cu_0 | Tissue='shoots'->above_ground | Element='Cu'->cu | eCO2=570 aCO2=370->eco2_570_amb_370__h2007 | AdditionalInfo='Cu=0, 2007 harvest' | (E-A)/A=-0.176 | n_species_in_ref=2 | ref='Guo et al 2013'",gt-decode-v2
gt__025_Guo_2011__r1450,gt,025_Guo_2011,mineral_concentration,na,cd,grain,yangmai__cd_0,eco2_570_amb_370__h2007,single_cell,ratio,ambient_co2,-0.020000,,Loladze CO2 Dataset row 1450,0,"Species=""Triticum aestivum 'Yangmai'""->yangmai__cd_0 | Tissue='grain'->grain | Element='Cd'->cd | eCO2=570 aCO2=370->eco2_570_amb_370__h2007 | AdditionalInfo='Cd=0, 2007 harvest' | (E-A)/A=-0.02 | n_species_in_ref=2 | ref='Guo et al 2013'",gt-decode-v2
gt__025_Guo_2011__r1451,gt,025_Guo_2011,mineral_concentration,na,cd,above_ground,yangmai__cd_0,eco2_570_amb_370__h2007,single_cell,ratio,ambient_co2,0.146000,,Loladze CO2 Dataset row 1451,0,"Species=""Triticum aestivum 'Yangmai'""->yangmai__cd_0 | Tissue='shoots'->above_ground | Element='Cd'->cd | eCO2=570 aCO2=370->eco2_570_amb_370__h2007 | AdditionalInfo='Cd=0, 2007 harvest' | (E-A)/A=0.146 | n_species_in_ref=2 | ref='Guo et al 2013'",gt-decode-v2
gt__025_Guo_2011__r1452,gt,025_Guo_2011,mineral_concentration,na,cd,grain,yangmai__cd_0,eco2_570_amb_370__h2008,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 1452,0,"Species=""Triticum aestivum 'Yangmai'""->yangmai__cd_0 | Tissue='grain'->grain | Element='Cd'->cd | eCO2=570 aCO2=370->eco2_570_amb_370__h2008 | AdditionalInfo='Cd=0, 2008 harvest' | (E-A)/A=0 | n_species_in_ref=2 | ref='Guo et al 2013'",gt-decode-v2
gt__025_Guo_2011__r1453,gt,025_Guo_2011,mineral_concentration,na,cd,above_ground,yangmai__cd_0,eco2_570_amb_370__h2008,single_cell,ratio,ambient_co2,0.076000,,Loladze CO2 Dataset row 1453,0,"Species=""Triticum aestivum 'Yangmai'""->yangmai__cd_0 | Tissue='shoots'->above_ground | Element='Cd'->cd | eCO2=570 aCO2=370->eco2_570_amb_370__h2008 | AdditionalInfo='Cd=0, 2008 harvest' | (E-A)/A=0.076 | n_species_in_ref=2 | ref='Guo et al 2013'",gt-decode-v2
