row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__026_Seneweera_1997__r614,gt,026_Seneweera_1997,mineral_concentration,na,ca,foliar,jarrah,pooled,pooled,ratio,ambient_co2,0.163900,,Loladze CO2 Dataset row 614,0,"Species=""Oryza sativa 'Jarrah'""->jarrah | Tissue='blades'->foliar | Element='Ca'->ca | eCO2=700 aCO2=350->pooled | AdditionalInfo='avg over 6 P treatments' | (E-A)/A=0.1639 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r615,gt,026_Seneweera_1997,mineral_concentration,na,ca,grain,jarrah__p0,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.019000,,Loladze CO2 Dataset row 615,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p0 | Tissue='grain'->grain | Element='Ca'->ca | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 0 mg/kg' | (E-A)/A=0.019 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r616,gt,026_Seneweera_1997,mineral_concentration,na,ca,grain,jarrah__p120,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.002000,,Loladze CO2 Dataset row 616,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p120 | Tissue='grain'->grain | Element='Ca'->ca | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 120 mg/kg' | (E-A)/A=0.002 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r617,gt,026_Seneweera_1997,mineral_concentration,na,ca,grain,jarrah__p240,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.017000,,Loladze CO2 Dataset row 617,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p240 | Tissue='grain'->grain | Element='Ca'->ca | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 240 mg/kg' | (E-A)/A=0.017 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r618,gt,026_Seneweera_1997,mineral_concentration,na,ca,grain,jarrah__p30,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.030000,,Loladze CO2 Dataset row 618,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p30 | Tissue='grain'->grain | Element='Ca'->ca | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 30 mg/kg' | (E-A)/A=0.03 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r619,gt,026_Seneweera_1997,mineral_concentration,na,ca,grain,jarrah__p480,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.054000,,Loladze CO2 Dataset row 619,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p480 | Tissue='grain'->grain | Element='Ca'->ca | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 480 mg/kg' | (E-A)/A=0.054 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r620,gt,026_Seneweera_1997,mineral_concentration,na,ca,grain,jarrah__p60,eco2_700_amb_350,single_cell,ratio,ambient_co2,0.032000,,Loladze CO2 Dataset row 620,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p60 | Tissue='grain'->grain | Element='Ca'->ca | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 60 mg/kg' | (E-A)/A=0.032 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r621,gt,026_Seneweera_1997,mineral_concentration,na,fe,grain,jarrah__p0,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.022000,,Loladze CO2 Dataset row 621,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p0 | Tissue='grain'->grain | Element='Fe'->fe | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 0 mg/kg' | (E-A)/A=-0.022 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r622,gt,026_Seneweera_1997,mineral_concentration,na,fe,grain,jarrah__p120,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.081000,,Loladze CO2 Dataset row 622,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p120 | Tissue='grain'->grain | Element='Fe'->fe | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 120 mg/kg' | (E-A)/A=-0.081 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r623,gt,026_Seneweera_1997,mineral_concentration,na,fe,grain,jarrah__p240,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.202000,,Loladze CO2 Dataset row 623,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p240 | Tissue='grain'->grain | Element='Fe'->fe | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 240 mg/kg' | (E-A)/A=-0.202 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r624,gt,026_Seneweera_1997,mineral_concentration,na,fe,grain,jarrah__p30,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.005000,,Loladze CO2 Dataset row 624,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p30 | Tissue='grain'->grain | Element='Fe'->fe | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 30 mg/kg' | (E-A)/A=-0.005 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r625,gt,026_Seneweera_1997,mineral_concentration,na,fe,grain,jarrah__p480,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.604000,,Loladze CO2 Dataset row 625,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p480 | Tissue='grain'->grain | Element='Fe'->fe | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 480 mg/kg' | (E-A)/A=-0.604 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r626,gt,026_Seneweera_1997,mineral_concentration,na,fe,grain,jarrah__p60,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.134000,,Loladze CO2 Dataset row 626,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p60 | Tissue='grain'->grain | Element='Fe'->fe | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 60 mg/kg' | (E-A)/A=-0.134 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r627,gt,026_Seneweera_1997,mineral_concentration,na,n,foliar,jarrah,pooled,pooled,ratio,ambient_co2,-0.097200,,Loladze CO2 Dataset row 627,0,"Species=""Oryza sativa 'Jarrah'""->jarrah | Tissue='blades'->foliar | Element='N'->n | eCO2=700 aCO2=350->pooled | AdditionalInfo='avg over 6 P treatments' | (E-A)/A=-0.0972 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
gt__026_Seneweera_1997__r628,gt,026_Seneweera_1997,mineral_concentration,na,n,grain,jarrah__p0,eco2_700_amb_350,single_cell,ratio,ambient_co2,-0.222200,,Loladze CO2 Dataset row 628,0,"Species=""Oryza sativa 'Jarrah'""->jarrah__p0 | Tissue='grain'->grain | Element='N'->n | eCO2=700 aCO2=350->eco2_700_amb_350 | AdditionalInfo='P 0 mg/kg' | (E-A)/A=-0.2222 | n_species_in_ref=1 | ref='Seneweera & Conroy 1997'",gt-decode-v2
