row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__029_Kuehny_1991__r137,gt,029_Kuehny_1991,mineral_concentration,na,b,foliar,,eco2_675_amb_350__spring,single_cell,ratio,ambient_co2,-0.099000,,Loladze CO2 Dataset row 137,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='B'->b | eCO2=675 aCO2=350->eco2_675_amb_350__spring | AdditionalInfo='spring' | (E-A)/A=-0.099 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
gt__029_Kuehny_1991__r138,gt,029_Kuehny_1991,mineral_concentration,na,b,foliar,,eco2_675_amb_350__winter,single_cell,ratio,ambient_co2,-0.000200,,Loladze CO2 Dataset row 138,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='B'->b | eCO2=675 aCO2=350->eco2_675_amb_350__winter | AdditionalInfo='winter' | (E-A)/A=-0.0002 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
gt__029_Kuehny_1991__r139,gt,029_Kuehny_1991,mineral_concentration,na,ca,foliar,,eco2_675_amb_350__spring,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 139,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='Ca'->ca | eCO2=675 aCO2=350->eco2_675_amb_350__spring | AdditionalInfo='spring' | (E-A)/A=0 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
gt__029_Kuehny_1991__r140,gt,029_Kuehny_1991,mineral_concentration,na,ca,foliar,,eco2_675_amb_350__winter,single_cell,ratio,ambient_co2,-0.062000,,Loladze CO2 Dataset row 140,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='Ca'->ca | eCO2=675 aCO2=350->eco2_675_amb_350__winter | AdditionalInfo='winter' | (E-A)/A=-0.062 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
gt__029_Kuehny_1991__r141,gt,029_Kuehny_1991,mineral_concentration,na,cu,foliar,,eco2_675_amb_350__spring,single_cell,ratio,ambient_co2,-0.059000,,Loladze CO2 Dataset row 141,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='Cu'->cu | eCO2=675 aCO2=350->eco2_675_amb_350__spring | AdditionalInfo='spring' | (E-A)/A=-0.059 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
gt__029_Kuehny_1991__r142,gt,029_Kuehny_1991,mineral_concentration,na,cu,foliar,,eco2_675_amb_350__winter,single_cell,ratio,ambient_co2,-0.049000,,Loladze CO2 Dataset row 142,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='Cu'->cu | eCO2=675 aCO2=350->eco2_675_amb_350__winter | AdditionalInfo='winter' | (E-A)/A=-0.049 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
gt__029_Kuehny_1991__r143,gt,029_Kuehny_1991,mineral_concentration,na,fe,foliar,,eco2_675_amb_350__spring,single_cell,ratio,ambient_co2,-0.030000,,Loladze CO2 Dataset row 143,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='Fe'->fe | eCO2=675 aCO2=350->eco2_675_amb_350__spring | AdditionalInfo='spring' | (E-A)/A=-0.03 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
gt__029_Kuehny_1991__r144,gt,029_Kuehny_1991,mineral_concentration,na,fe,foliar,,eco2_675_amb_350__winter,single_cell,ratio,ambient_co2,0.081000,,Loladze CO2 Dataset row 144,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='Fe'->fe | eCO2=675 aCO2=350->eco2_675_amb_350__winter | AdditionalInfo='winter' | (E-A)/A=0.081 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
gt__029_Kuehny_1991__r145,gt,029_Kuehny_1991,mineral_concentration,na,k,foliar,,eco2_675_amb_350__spring,single_cell,ratio,ambient_co2,-0.017000,,Loladze CO2 Dataset row 145,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='K'->k | eCO2=675 aCO2=350->eco2_675_amb_350__spring | AdditionalInfo='spring' | (E-A)/A=-0.017 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
gt__029_Kuehny_1991__r146,gt,029_Kuehny_1991,mineral_concentration,na,k,foliar,,eco2_675_amb_350__winter,single_cell,ratio,ambient_co2,-0.042000,,Loladze CO2 Dataset row 146,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='K'->k | eCO2=675 aCO2=350->eco2_675_amb_350__winter | AdditionalInfo='winter' | (E-A)/A=-0.042 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
gt__029_Kuehny_1991__r147,gt,029_Kuehny_1991,mineral_concentration,na,mg,foliar,,eco2_675_amb_350__spring,single_cell,ratio,ambient_co2,-0.050000,,Loladze CO2 Dataset row 147,0,Species='Chrysanthemum morifolium'->(blank) | Tissue='foliar'->foliar | Element='Mg'->mg | eCO2=675 aCO2=350->eco2_675_amb_350__spring | AdditionalInfo='spring' | (E-A)/A=-0.05 | n_species_in_ref=1 | ref='Kuehny et al 1991',gt-decode-v2
