row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__030_Wroblewitz_2013__r341,gt,030_Wroblewitz_2013,mineral_concentration,na,cu,grain,theresa__n100,eco2_550_amb_380__y2000,single_cell,ratio,ambient_co2,-0.078800,,Loladze CO2 Dataset row 341,0,"Species=""Hordeum vulgare 'Theresa'""->theresa__n100 | Tissue='grain'->grain | Element='Cu'->cu | eCO2=550 aCO2=380->eco2_550_amb_380__y2000 | AdditionalInfo='N100, 2000' | (E-A)/A=-0.0788 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r342,gt,030_Wroblewitz_2013,mineral_concentration,na,cu,grain,theresa__n100,eco2_550_amb_380__y2003,single_cell,ratio,ambient_co2,-0.180700,,Loladze CO2 Dataset row 342,0,"Species=""Hordeum vulgare 'Theresa'""->theresa__n100 | Tissue='grain'->grain | Element='Cu'->cu | eCO2=550 aCO2=380->eco2_550_amb_380__y2003 | AdditionalInfo='N100, 2003' | (E-A)/A=-0.1807 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r343,gt,030_Wroblewitz_2013,mineral_concentration,na,cu,grain,theresa__n50,eco2_550_amb_380__y2000,single_cell,ratio,ambient_co2,-0.568400,,Loladze CO2 Dataset row 343,0,"Species=""Hordeum vulgare 'Theresa'""->theresa__n50 | Tissue='grain'->grain | Element='Cu'->cu | eCO2=550 aCO2=380->eco2_550_amb_380__y2000 | AdditionalInfo='N50, 2000' | (E-A)/A=-0.5684 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r344,gt,030_Wroblewitz_2013,mineral_concentration,na,cu,grain,theresa__n50,eco2_550_amb_380__y2003,single_cell,ratio,ambient_co2,-0.102200,,Loladze CO2 Dataset row 344,0,"Species=""Hordeum vulgare 'Theresa'""->theresa__n50 | Tissue='grain'->grain | Element='Cu'->cu | eCO2=550 aCO2=380->eco2_550_amb_380__y2003 | AdditionalInfo='N50, 2003' | (E-A)/A=-0.1022 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r345,gt,030_Wroblewitz_2013,mineral_concentration,na,fe,grain,theresa__n100,eco2_550_amb_380__y2000,single_cell,ratio,ambient_co2,0.295000,,Loladze CO2 Dataset row 345,0,"Species=""Hordeum vulgare 'Theresa'""->theresa__n100 | Tissue='grain'->grain | Element='Fe'->fe | eCO2=550 aCO2=380->eco2_550_amb_380__y2000 | AdditionalInfo='N100, 2000' | (E-A)/A=0.295 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r346,gt,030_Wroblewitz_2013,mineral_concentration,na,fe,grain,theresa__n100,eco2_550_amb_380__y2003,single_cell,ratio,ambient_co2,-0.036300,,Loladze CO2 Dataset row 346,0,"Species=""Hordeum vulgare 'Theresa'""->theresa__n100 | Tissue='grain'->grain | Element='Fe'->fe | eCO2=550 aCO2=380->eco2_550_amb_380__y2003 | AdditionalInfo='N100, 2003' | (E-A)/A=-0.0363 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r347,gt,030_Wroblewitz_2013,mineral_concentration,na,fe,grain,theresa__n50,eco2_550_amb_380__y2000,single_cell,ratio,ambient_co2,0.325300,,Loladze CO2 Dataset row 347,0,"Species=""Hordeum vulgare 'Theresa'""->theresa__n50 | Tissue='grain'->grain | Element='Fe'->fe | eCO2=550 aCO2=380->eco2_550_amb_380__y2000 | AdditionalInfo='N50, 2000' | (E-A)/A=0.3253 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r348,gt,030_Wroblewitz_2013,mineral_concentration,na,fe,grain,theresa__n50,eco2_550_amb_380__y2003,single_cell,ratio,ambient_co2,0.044200,,Loladze CO2 Dataset row 348,0,"Species=""Hordeum vulgare 'Theresa'""->theresa__n50 | Tissue='grain'->grain | Element='Fe'->fe | eCO2=550 aCO2=380->eco2_550_amb_380__y2003 | AdditionalInfo='N50, 2003' | (E-A)/A=0.0442 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r349,gt,030_Wroblewitz_2013,mineral_concentration,na,mn,grain,theresa__n100,eco2_550_amb_380__y2000,single_cell,ratio,ambient_co2,-0.173700,,Loladze CO2 Dataset row 349,0,"Species=""Hordeum vulgare 'Theresa'""->theresa__n100 | Tissue='grain'->grain | Element='Mn'->mn | eCO2=550 aCO2=380->eco2_550_amb_380__y2000 | AdditionalInfo='N100, 2000' | (E-A)/A=-0.1737 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r350,gt,030_Wroblewitz_2013,mineral_concentration,na,mn,grain,theresa__n100,eco2_550_amb_380__y2003,single_cell,ratio,ambient_co2,-0.157900,,Loladze CO2 Dataset row 350,0,"Species=""Hordeum vulgare 'Theresa'""->theresa__n100 | Tissue='grain'->grain | Element='Mn'->mn | eCO2=550 aCO2=380->eco2_550_amb_380__y2003 | AdditionalInfo='N100, 2003' | (E-A)/A=-0.1579 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r351,gt,030_Wroblewitz_2013,mineral_concentration,na,mn,grain,theresa__n50,eco2_550_amb_380__y2000,single_cell,ratio,ambient_co2,0.715900,,Loladze CO2 Dataset row 351,0,"Species=""Hordeum vulgare 'Theresa'""->theresa__n50 | Tissue='grain'->grain | Element='Mn'->mn | eCO2=550 aCO2=380->eco2_550_amb_380__y2000 | AdditionalInfo='N50, 2000' | (E-A)/A=0.7159 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r352,gt,030_Wroblewitz_2013,mineral_concentration,na,mn,grain,theresa__n50,eco2_550_amb_380__y2003,single_cell,ratio,ambient_co2,-0.204700,,Loladze CO2 Dataset row 352,0,"Species=""Hordeum vulgare 'Theresa'""->theresa__n50 | Tissue='grain'->grain | Element='Mn'->mn | eCO2=550 aCO2=380->eco2_550_amb_380__y2003 | AdditionalInfo='N50, 2003' | (E-A)/A=-0.2047 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r353,gt,030_Wroblewitz_2013,mineral_concentration,na,na,grain,theresa__n100,eco2_550_amb_380__y2000,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 353,0,"Species=""Hordeum vulgare 'Theresa'""->theresa__n100 | Tissue='grain'->grain | Element='Na'->na | eCO2=550 aCO2=380->eco2_550_amb_380__y2000 | AdditionalInfo='N100, 2000' | (E-A)/A=0 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r354,gt,030_Wroblewitz_2013,mineral_concentration,na,na,grain,theresa__n100,eco2_550_amb_380__y2003,single_cell,ratio,ambient_co2,0.000000,,Loladze CO2 Dataset row 354,0,"Species=""Hordeum vulgare 'Theresa'""->theresa__n100 | Tissue='grain'->grain | Element='Na'->na | eCO2=550 aCO2=380->eco2_550_amb_380__y2003 | AdditionalInfo='N100, 2003' | (E-A)/A=0 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r355,gt,030_Wroblewitz_2013,mineral_concentration,na,na,grain,theresa__n50,eco2_550_amb_380__y2000,single_cell,ratio,ambient_co2,-0.069000,,Loladze CO2 Dataset row 355,0,"Species=""Hordeum vulgare 'Theresa'""->theresa__n50 | Tissue='grain'->grain | Element='Na'->na | eCO2=550 aCO2=380->eco2_550_amb_380__y2000 | AdditionalInfo='N50, 2000' | (E-A)/A=-0.069 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r356,gt,030_Wroblewitz_2013,mineral_concentration,na,na,grain,theresa__n50,eco2_550_amb_380__y2003,single_cell,ratio,ambient_co2,-0.029400,,Loladze CO2 Dataset row 356,0,"Species=""Hordeum vulgare 'Theresa'""->theresa__n50 | Tissue='grain'->grain | Element='Na'->na | eCO2=550 aCO2=380->eco2_550_amb_380__y2003 | AdditionalInfo='N50, 2003' | (E-A)/A=-0.0294 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
gt__030_Wroblewitz_2013__r357,gt,030_Wroblewitz_2013,mineral_concentration,na,zn,grain,theresa__n100,eco2_550_amb_380__y2000,single_cell,ratio,ambient_co2,-0.142300,,Loladze CO2 Dataset row 357,0,"Species=""Hordeum vulgare 'Theresa'""->theresa__n100 | Tissue='grain'->grain | Element='Zn'->zn | eCO2=550 aCO2=380->eco2_550_amb_380__y2000 | AdditionalInfo='N100, 2000' | (E-A)/A=-0.1423 | n_species_in_ref=2 | ref='Wroblewitz et al 2013'",gt-decode-v2
