row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__032_Kanowski_2001__r24,gt,032_Kanowski_2001,mineral_concentration,na,ca,foliar,alphitonia_petriei__basalt,eco2_790_amb_350,single_cell,ratio,ambient_co2,-0.030400,,Loladze CO2 Dataset row 24,0,Species='Alphitonia petriei'->alphitonia_petriei__basalt | Tissue='seedlings'->foliar | Element='Ca'->ca | eCO2=790 aCO2=350->eco2_790_amb_350 | AdditionalInfo='Basalt' | (E-A)/A=-0.0304 | n_species_in_ref=2 | ref='Kanowski 2001',gt-decode-v2
gt__032_Kanowski_2001__r25,gt,032_Kanowski_2001,mineral_concentration,na,ca,foliar,alphitonia_petriei__rhyolite,eco2_790_amb_350,single_cell,ratio,ambient_co2,-0.014100,,Loladze CO2 Dataset row 25,0,Species='Alphitonia petriei'->alphitonia_petriei__rhyolite | Tissue='seedlings'->foliar | Element='Ca'->ca | eCO2=790 aCO2=350->eco2_790_amb_350 | AdditionalInfo='Rhyolite' | (E-A)/A=-0.0141 | n_species_in_ref=2 | ref='Kanowski 2001',gt-decode-v2
gt__032_Kanowski_2001__r26,gt,032_Kanowski_2001,mineral_concentration,na,k,foliar,alphitonia_petriei__basalt,eco2_790_amb_350,single_cell,ratio,ambient_co2,-0.023600,,Loladze CO2 Dataset row 26,0,Species='Alphitonia petriei'->alphitonia_petriei__basalt | Tissue='seedlings'->foliar | Element='K'->k | eCO2=790 aCO2=350->eco2_790_amb_350 | AdditionalInfo='Basalt' | (E-A)/A=-0.0236 | n_species_in_ref=2 | ref='Kanowski 2001',gt-decode-v2
gt__032_Kanowski_2001__r27,gt,032_Kanowski_2001,mineral_concentration,na,k,foliar,alphitonia_petriei__rhyolite,eco2_790_amb_350,single_cell,ratio,ambient_co2,0.014400,,Loladze CO2 Dataset row 27,0,Species='Alphitonia petriei'->alphitonia_petriei__rhyolite | Tissue='seedlings'->foliar | Element='K'->k | eCO2=790 aCO2=350->eco2_790_amb_350 | AdditionalInfo='Rhyolite' | (E-A)/A=0.0144 | n_species_in_ref=2 | ref='Kanowski 2001',gt-decode-v2
gt__032_Kanowski_2001__r28,gt,032_Kanowski_2001,mineral_concentration,na,n,foliar,alphitonia_petriei__basalt,eco2_790_amb_350,single_cell,ratio,ambient_co2,-0.262400,,Loladze CO2 Dataset row 28,0,Species='Alphitonia petriei'->alphitonia_petriei__basalt | Tissue='seedlings'->foliar | Element='N'->n | eCO2=790 aCO2=350->eco2_790_amb_350 | AdditionalInfo='Basalt' | (E-A)/A=-0.2624 | n_species_in_ref=2 | ref='Kanowski 2001',gt-decode-v2
gt__032_Kanowski_2001__r29,gt,032_Kanowski_2001,mineral_concentration,na,n,foliar,alphitonia_petriei__rhyolite,eco2_790_amb_350,single_cell,ratio,ambient_co2,-0.234800,,Loladze CO2 Dataset row 29,0,Species='Alphitonia petriei'->alphitonia_petriei__rhyolite | Tissue='seedlings'->foliar | Element='N'->n | eCO2=790 aCO2=350->eco2_790_amb_350 | AdditionalInfo='Rhyolite' | (E-A)/A=-0.2348 | n_species_in_ref=2 | ref='Kanowski 2001',gt-decode-v2
gt__032_Kanowski_2001__r30,gt,032_Kanowski_2001,mineral_concentration,na,na,foliar,alphitonia_petriei__basalt,eco2_790_amb_350,single_cell,ratio,ambient_co2,-0.491000,,Loladze CO2 Dataset row 30,0,Species='Alphitonia petriei'->alphitonia_petriei__basalt | Tissue='seedlings'->foliar | Element='Na'->na | eCO2=790 aCO2=350->eco2_790_amb_350 | AdditionalInfo='Basalt' | (E-A)/A=-0.491 | n_species_in_ref=2 | ref='Kanowski 2001',gt-decode-v2
gt__032_Kanowski_2001__r31,gt,032_Kanowski_2001,mineral_concentration,na,na,foliar,alphitonia_petriei__rhyolite,eco2_790_amb_350,single_cell,ratio,ambient_co2,-0.383400,,Loladze CO2 Dataset row 31,0,Species='Alphitonia petriei'->alphitonia_petriei__rhyolite | Tissue='seedlings'->foliar | Element='Na'->na | eCO2=790 aCO2=350->eco2_790_amb_350 | AdditionalInfo='Rhyolite' | (E-A)/A=-0.3834 | n_species_in_ref=2 | ref='Kanowski 2001',gt-decode-v2
gt__032_Kanowski_2001__r32,gt,032_Kanowski_2001,mineral_concentration,na,p,foliar,alphitonia_petriei__basalt,eco2_790_amb_350,single_cell,ratio,ambient_co2,0.034600,,Loladze CO2 Dataset row 32,0,Species='Alphitonia petriei'->alphitonia_petriei__basalt | Tissue='seedlings'->foliar | Element='P'->p | eCO2=790 aCO2=350->eco2_790_amb_350 | AdditionalInfo='Basalt' | (E-A)/A=0.0346 | n_species_in_ref=2 | ref='Kanowski 2001',gt-decode-v2
gt__032_Kanowski_2001__r33,gt,032_Kanowski_2001,mineral_concentration,na,p,foliar,alphitonia_petriei__rhyolite,eco2_790_amb_350,single_cell,ratio,ambient_co2,-0.092300,,Loladze CO2 Dataset row 33,0,Species='Alphitonia petriei'->alphitonia_petriei__rhyolite | Tissue='seedlings'->foliar | Element='P'->p | eCO2=790 aCO2=350->eco2_790_amb_350 | AdditionalInfo='Rhyolite' | (E-A)/A=-0.0923 | n_species_in_ref=2 | ref='Kanowski 2001',gt-decode-v2
