row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__033_Johnson_2003__r848,gt,033_Johnson_2003,mineral_concentration,na,b,foliar,quercus_geminata,eco2_725_amb_375,single_cell,ratio,ambient_co2,-0.258100,,Loladze CO2 Dataset row 848,0,Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='B'->b | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=-0.2581 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
gt__033_Johnson_2003__r849,gt,033_Johnson_2003,mineral_concentration,na,ca,foliar,quercus_geminata,eco2_725_amb_375,single_cell,ratio,ambient_co2,-0.114300,,Loladze CO2 Dataset row 849,0,Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='Ca'->ca | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=-0.1143 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
gt__033_Johnson_2003__r850,gt,033_Johnson_2003,mineral_concentration,na,cu,foliar,quercus_geminata,eco2_725_amb_375,single_cell,ratio,ambient_co2,-0.018900,,Loladze CO2 Dataset row 850,0,Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='Cu'->cu | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=-0.0189 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
gt__033_Johnson_2003__r851,gt,033_Johnson_2003,mineral_concentration,na,fe,foliar,quercus_geminata,eco2_725_amb_375,single_cell,ratio,ambient_co2,-0.166700,,Loladze CO2 Dataset row 851,0,Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='Fe'->fe | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=-0.1667 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
gt__033_Johnson_2003__r852,gt,033_Johnson_2003,mineral_concentration,na,k,foliar,quercus_geminata,eco2_725_amb_375,single_cell,ratio,ambient_co2,0.040800,,Loladze CO2 Dataset row 852,0,Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='K'->k | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=0.0408 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
gt__033_Johnson_2003__r853,gt,033_Johnson_2003,mineral_concentration,na,mg,foliar,quercus_geminata,eco2_725_amb_375,single_cell,ratio,ambient_co2,-0.200000,,Loladze CO2 Dataset row 853,0,Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='Mg'->mg | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=-0.2 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
gt__033_Johnson_2003__r854,gt,033_Johnson_2003,mineral_concentration,na,mn,foliar,quercus_geminata,eco2_725_amb_375,single_cell,ratio,ambient_co2,0.406800,,Loladze CO2 Dataset row 854,0,Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='Mn'->mn | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=0.4068 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
gt__033_Johnson_2003__r855,gt,033_Johnson_2003,mineral_concentration,na,n,foliar,quercus_geminata,eco2_725_amb_375,single_cell,ratio,ambient_co2,-0.088500,,Loladze CO2 Dataset row 855,0,Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='N'->n | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=-0.0885 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
gt__033_Johnson_2003__r856,gt,033_Johnson_2003,mineral_concentration,na,p,foliar,quercus_geminata,eco2_725_amb_375,single_cell,ratio,ambient_co2,-0.150000,,Loladze CO2 Dataset row 856,0,Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='P'->p | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=-0.15 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
gt__033_Johnson_2003__r857,gt,033_Johnson_2003,mineral_concentration,na,s,foliar,quercus_geminata,eco2_725_amb_375,single_cell,ratio,ambient_co2,-0.085400,,Loladze CO2 Dataset row 857,0,Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='S'->s | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=-0.0854 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
gt__033_Johnson_2003__r858,gt,033_Johnson_2003,mineral_concentration,na,zn,foliar,quercus_geminata,eco2_725_amb_375,single_cell,ratio,ambient_co2,0.083300,,Loladze CO2 Dataset row 858,0,Species='Quercus geminata'->quercus_geminata | Tissue='foliar'->foliar | Element='Zn'->zn | eCO2=725 aCO2=375->eco2_725_amb_375 | AdditionalInfo='' | (E-A)/A=0.0833 | n_species_in_ref=2 | ref='Johnson et al 2003',gt-decode-v2
